Rank,Team,2006,Last 3,Last 1,Home,Away,2005
1,Sac State,7.9,2,11,8.4,7.5,4.6
2,Kennesaw St,7.3,-1.3,-19,5.7,8.4,2.2
3,Memphis,7.1,4,3,8.3,5.8,5.5
4,VCU,6.9,5.3,10,7.7,6.1,2.1
5,VA Military,6.7,-2.7,-3,12.8,3.9,-6.8
6,Clemson,6,1,0,7.2,4.4,7.8
7,Houston,6,0,-8,11.6,1.8,6.7
8,Tennessee,5.9,6.3,3,3.5,8,5.4
9,Charlotte,5.8,8.3,11,5.3,6.2,5.5
10,Ball State,5.6,10.7,19,9.3,2.6,2
11,Seton Hall,5.5,-0.7,-13,8.5,1.5,1.6
12,Cincinnati,5.4,-3.7,2,7.5,2.3,2.1
13,NW State,5,13.3,18,5.3,4.9,2
14,Davidson,4.9,9.3,-1,11.7,0.8,-0.3
15,Miami (FL),4.8,3,-3,7.7,2,3.3
16,Mississippi,4.7,-1.7,-10,6.9,2.5,-0.2
17,N Carolina,4.7,11,11,7.5,2.4,0.6
18,Wisconsin,4.6,3.7,2,7.5,1.5,3.7
19,UCLA,4.6,-1,11,6.8,2.3,1.1
20,Stony Brook,4.6,5.3,5,4.3,4.8,1.5
21,Villanova,4.5,-0.7,3,4.2,4.8,6.8
22,LA Tech,4.5,5.7,14,4.3,4.6,3.9
23,Marquette,4.4,1.7,8,5.3,3.2,-2.7
24,UNLV,4.3,8,21,5.2,3.3,2.4
25,GA Tech,4.2,10,-5,7.2,0.3,-0.6
26,Toledo,4.2,8.3,5,8.8,1.8,3.2
27,Kent State,4.2,8,6,5.6,3.3,5.6
28,Old Dominion,4.1,7,6,5.8,2.2,2.9
29,TX El Paso,4.1,-4.3,10,2.7,6,1.5
30,Holy Cross,4,-3.7,0,6.9,1.7,2.4
31,Niagara,4,4,-6,6.5,2.1,1.6
32,Kansas,3.8,-4,8,7.6,-0.1,1.6
33,Drake,3.7,-1.3,-5,5.6,2.1,2.6
34,Morehead St,3.7,-0.7,-4,5.9,1.5,-5.5
35,Illinois,3.6,-2.3,-7,5.6,1.8,5.1
36,Louisville,3.6,-1.3,-1,7.1,-1.1,0.9
37,Oklahoma,3.5,0,-4,4.9,1.1,4.7
38,Loyola Mymt,3.5,2.3,5,4.9,2.5,4.3
39,WI-Milwkee,3.4,3.3,6,8.2,-0.5,4.9
40,S Mississippi,3.4,3,-4,4.7,2,-0.5
41,Connecticut,3.3,4,4,5,0.2,0.8
42,Georgia,3.3,6.7,-1,3.6,2.9,2.3
43,Missouri,3.3,3,5,4.8,0.5,-0.9
44,Indiana,3.2,0,2,6.6,-0.1,0.4
45,Missouri St,3.2,3.7,9,5.2,1.2,1.7
46,Oregon,3.2,-8.7,-2,6.1,0.5,2.2
