Rank,Team,2007,Last 3,Last 1,Home,Away,2006
1,Memphis,7.1,2,6,7.6,6.5,7.1
2,Clemson,7,5,14,9.7,4.4,6
3,Washington,6.5,4,9,7.8,4.6,2.9
4,Purdue,6.4,5.3,12,8.8,4.1,3
5,Tennessee,6.2,-2.7,1,8.1,4.8,5.9
6,W Virginia,6.1,6.7,5,9.6,3.6,2.8
7,Davidson,6,7,-2,8.8,4.3,4.9
8,Houston,5.9,3,-6,7.1,4.5,6
9,New Mexico,5.8,3,5,9.4,1.4,1.7
10,Kansas St,5.8,6.3,4,10.2,1.2,3.1
11,UCLA,5.7,-5.7,-5,8.7,2.3,4.6
12,N Carolina,5.4,3.3,4,8.2,3.4,4.7
13,Marquette,5.3,6,6,5.6,4.9,4.4
14,Oakland,5.1,5.7,10,7.4,3.3,2.2
15,CS Fullerton,5.1,-0.7,-11,6.2,4.4,3
16,Duke,5,-2,-9,8.9,1.5,1
17,TX El Paso,4.7,7.3,9,7.9,1.9,4.1
18,Villanova,4.5,-2,10,5.9,3.3,4.5
19,Drake,4.5,5,11,6.5,2.8,3.7
20,Winthrop,4.4,3,4,7.5,2.3,3
21,TX Christian,4.3,1,-4,6.9,1.2,0.8
22,Austin Peay,4.3,-0.7,4,5.5,3.4,2.4
23,Pittsburgh,4.2,8.3,5,6.2,2.4,1.5
24,Morgan St,4.2,-2,3,5.6,3.4,-0.5
25,Wake Forest,4.2,-2.7,-3,6.9,0.6,-0.5
26,Siena,4.1,-1.3,2,3.1,5.2,-1.2
27,Lamar,4.1,7,8,5.7,2.7,-4
28,WI-Milwkee,4.1,6,10,6,1.7,3.4
29,LIU-Brooklyn,4,13,16,5,3.2,0.6
30,S Illinois,4,1.3,13,5.4,2.8,2.7
31,W Kentucky,4,0,7,6.6,2.4,2.6
32,Texas State,4,-1.3,7,3.8,4.1,2.2
33,Mississippi,3.9,-2.7,-5,4.3,3.2,4.7
34,GA Southern,3.8,4.3,15,4.7,3.3,0.3
35,Akron,3.8,5,-5,6,2,1.7
36,N Mex State,3.8,6.7,10,7.1,-0.5,1.2
37,Alabama,3.6,-0.7,7,4.2,2.9,-1.4
38,Marshall,3.6,2,6,6.1,0.7,-0.5
39,San Diego St,3.6,0,-10,4.7,2.8,-0.1
40,Kansas,3.5,-2.7,-6,8,-0.8,3.8
41,Minnesota,3.5,-1.3,5,6.1,0.9,-5.8
42,Wisconsin,3.5,0.7,-5,5.9,1,4.6
43,Rob Morris,3.5,1.7,-9,7.4,0.4,-0.3
44,Oregon St,3.5,3.7,6,7.8,-0.9,2
45,Charlotte,3.4,6,0,2.9,3.8,5.8
46,Niagara,3.2,3.3,2,2.2,3.9,4
47,N Hampshire,3.2,3,6,4.1,2.2,-4.3
48,Manhattan,3.1,3.7,-7,2.6,3.6,2.4
49,Butler,3.1,-1,4,3.2,3,2.6
50,TN State,3.1,5,4,4.6,1.9,2.3
51,S Carolina,3.1,8.3,14,3.2,3,-0.5
52,S Mississippi,3.1,0,-11,4.8,2.2,3.4
53,UNLV,3.1,5.3,5,5.5,-0.8,4.3
54,VA Military,3,2.3,4,6.7,0.5,6.7
55,Texas,3,3,5,4.4,1.8,2.1
56,Longwood,2.9,2,7,4,2.4,-1.8
57,Missouri,2.8,4.7,1,5.5,-0.3,3.3
58,Nebraska,2.7,0,1,4.8,-0.5,-0.7
59,St Fran (NY),2.7,4.7,-8,5.4,0.2,1.6
60,Morehead St,2.6,4.3,-1,5.2,0.8,3.7
61,Florida,2.6,4,4,3.6,1.1,-0.7
62,Penn State,2.6,1.7,2,3.9,1.1,0
63,Stony Brook,2.6,8.3,13,4.6,1.1,4.6
64,Old Dominion,2.6,4.3,-1,3,2.2,4.1
65,Maryland BC,2.5,11,1,4.5,1.2,-1.8
66,Buffalo,2.4,12,5,2.3,2.6,2.6
67,Stanford,2.4,-3,2,4.5,0.6,-0.9
68,Oklahoma St,2.4,7.7,8,4.5,0.6,-0.2
69,Belmont,2.4,0.3,-3,5.7,-0.1,-3.7
70,Ball State,2.4,6.3,1,4.4,0.3,5.6
71,St Marys,2.4,0.7,-1,6.5,-1.5,2.5
72,Central Mich,2.3,6,7,3,1.9,-0.1
73,W Carolina,2.2,2.7,-2,6,-0.6,3.1
74,Navy,2.2,9.7,12,5.1,-0.2,-3.8
75,VA Tech,2.2,0,2,4.7,-0.2,3.2
76,Cal St Nrdge,2.2,-5,-11,5.3,-0.1,2.7
77,UCSB,2.2,3,1,3.5,1.2,-2.5
