Rank,Team,2004,Last 3,Last 1,Home,Away,2003
1,Houston,9.9,11,10,11.8,8.4,-1.8
2,Holy Cross,7,13.7,6,5.6,8.5,6.5
3,Murray St,6.5,6.3,4,8.1,5.2,2.4
4,Old Dominion,6.4,2,3,9.8,3.6,1.1
5,Washington,6,3.7,11,8.4,4.3,0.9
6,Villanova,5.9,7,9,5.9,5.9,-2.7
7,Air Force,5.8,-1.7,-4,7.6,4.6,1.8
8,Temple,5.7,-8.3,-12,7.3,4.5,7.7
9,CS Fullerton,5.6,8,12,6.3,5.2,3.7
10,Sac State,5.3,7.3,13,8.7,2.4,2.7
11,Oklahoma,5.2,11.3,23,9.3,1.4,5.8
12,UAB,5.2,3.7,1,7.5,3.4,5
13,Kentucky,5.1,-6.3,2,10.1,1.1,2.7
14,Charlotte,5.1,-4.7,-6,6.4,3.8,2.7
15,W Kentucky,4.9,8.3,4,7.3,2.5,2.5
16,Loyola Mymt,4.9,1,-5,5.5,4.4,-0.9
17,IUPUI,4.9,8.7,9,6.4,3.8,0.8
18,VA Tech,4.7,6.3,4,8,0.9,7.6
19,Missouri St,4.6,5.7,13,7,1.9,1.5
20,Geo Wshgtn,4.5,6.3,0,6.6,2.9,2.1
21,LA Lafayette,4.5,6,-12,6.5,3.4,0.8
22,Illinois,4.4,5,10,5.5,3.7,3.2
23,S Illinois,4.4,4.3,5,8.1,1.8,5.2
24,WI-Milwkee,4.3,5.3,4,5.3,3.6,0.7
25,Ball State,4.1,4.7,5,6.3,2.1,0.4
26,Niagara,4.1,2,-10,6.6,1.7,0.5
27,Santa Clara,4.1,0.3,0,4,4.1,1.4
28,St Peters,4,4.3,6,6,2.6,1.5
29,Col Charlestn,4,3,-2,4.5,3.2,-0.8
30,Michigan St,3.9,5,4,7.9,0.6,-1.5
31,Clemson,3.9,-3.7,-1,8.1,-0.2,-2.5
32,Iowa State,3.9,3.3,0,4.9,2.9,0.2
33,Kent State,3.9,1,-10,7.8,0.8,2.9
34,NC-Wilmgton,3.9,0,5,7.1,1.4,3
35,GA Southern,3.9,5,8,5.9,2.8,6.7
36,Cal St Nrdge,3.9,3,15,5.7,2.8,2.9
37,Binghamton,3.8,4,2,4.9,2.9,-0.9
38,Vermont,3.8,6,9,6.4,2,1.9
39,Miami (FL),3.6,5,7,4.1,2.8,2.7
40,Middle Tenn,3.5,1.7,-11,5.4,2.2,0.1
41,DePaul,3.5,6,9,2.6,4.6,0
42,SE Louisiana,3.5,-1.7,-2,4.2,3.1,4
43,Dayton,3.5,4,0,3.4,3.5,-1.1
44,TX Christian,3.5,-1.7,3,6.6,0.7,-0.5
45,IL-Chicago,3.3,5.3,21,3.2,3.4,5.9
46,Arkansas,3.3,-4.7,-11,7.3,-1.3,2.6
47,Alab A&M,3.3,0.3,1,7.4,1.2,-0.5
48,W Michigan,3.2,4,13,6.5,0.9,6.5
49,Louisville,3.1,1,0,5.6,0.9,3.4
50,Detroit,3,-0.7,-2,7.2,-0.3,2.6
51,N Carolina,3,-3,-10,5.6,1.3,5.3
52,F Dickinson,3,-1,-2,5.5,1,3.3
53,Miss Val St,3,-2,-13,5.8,1.6,7.1
54,San Fransco,2.9,8.7,12,4.5,1,1.3
55,S Methodist,2.9,-1.3,-1,6.2,-0.2,-2.6
56,McNeese St,2.9,2,5,5.3,1.1,-1.1
57,Jackson St,2.9,12,11,5.6,0.9,2.6
58,Nebraska,2.9,-4.7,4,6.6,-2.1,-0.6
59,Arizona,2.8,-4,-5,5.6,0.7,0
60,Morgan St,2.7,-2.7,-9,7.6,-0.2,-1
61,Mississippi,2.6,-6,-7,6.8,-1.3,0.5
62,NW State,2.5,3,2,4.5,0.9,-0.6
63,Boston Col,2.4,-2.3,-3,4.5,-0.3,-0.6
64,Texas Tech,2.4,-1.7,4,5,0.3,2.2
65,TX El Paso,2.4,7,-1,2.8,2.1,2.2
66,Winthrop,2.4,6.7,-7,5.2,0.2,3.1
67,Hawaii,2.3,2,-7,3,1.4,-1.1
68,U Penn,2.3,2,10,4.1,1.1,0.1
69,Wake Forest,2.3,0.3,-2,6.5,-1.6,3.9
70,Ste F Austin,2.2,2.3,-3,2.6,2,6.5
71,Idaho,2.2,-3.7,-4,1.5,2.6,3.7
72,Oklahoma St,2.2,1,6,3.5,1.2,1.3
73,Delaware St,2.2,1.7,1,3.6,1.4,-2.2
74,Coppin State,2.1,3,3,7.4,-0.3,1.6
75,Fairfield,2.1,3.7,2,4.2,0.7,2
76,Rhode Island,2,-6.7,0,1.9,2.2,2.2
77,Troy,2,1,-7,4.8,0.6,6.9
78,Pittsburgh,2,0.7,3,4.8,-2,0.5
79,Minnesota,1.9,-3.7,-2,2.6,1.1,2.2
80,Florida,1.9,1,-10,3.2,0.7,-3.6
81,Rider,1.9,-0.7,-5,5.4,-0.2,-1.2
82,W Virginia,1.9,-5.3,-14,5.1,-0.2,-1.6
83,Arizona St,1.9,2.7,6,3.3,0.1,-1.5
84,Oakland,1.9,-1.7,-1,4.5,0.6,3.9
85,USC,1.9,7.3,23,3.1,0.7,2.6
86,NC State,1.8,3.3,5,2.8,0.9,0.1
87,Central Conn,1.8,1.7,0,5.7,-1.6,3.9
88,Wagner,1.8,0.7,-2,4.8,-0.3,-2.7
89,Pepperdine,1.8,9.3,27,0.8,2.3,3.1
90,Lehigh,1.8,5,-3,1.8,1.8,-1.2
91,Manhattan,1.7,-1.3,-3,3.8,0.3,4.5
92,S Carolina,1.7,4.7,5,4.1,-1.3,3
93,Wisconsin,1.6,-2.7,-5,5.3,-1.7,5.3
94,Ohio State,1.6,-0.3,-3,6,-3.5,1.1
95,Cincinnati,1.5,3.7,14,4.1,-1.5,5
96,Stetson,1.5,-1.3,-3,5.1,-0.8,1.9
97,VCU,1.5,-4.7,-4,4,-1.8,-1.8
98,Coastal Car,1.4,-1.7,-9,4.9,-1.1,0.1
99,Indiana St,1.4,-1,1,4.8,-1.4,-0.2
100,Buffalo,1.3,0.7,11,2.3,0.6,3.8
