Rank,Player,Team,Pos,Efficiency
1,Peter Campbell,Butler Bulldogs,F,75.3%
2,Mike Freeman,Hampton Pirates,F,68.1%
3,Roy Hibbert,Georgetown Hoyas,C,67.8%
4,Derek Stockalper,Cal Poly SLO Mustangs,G,67.6%
5,Stuart Creason,Colorado St. Rams,C,67.3%
6,Josh Washington,Texas A&M CC Islanders,G,67.3%
7,Shaun Green,Utah Utes,F,66.9%
8,Stephen Sir,Northern Arizona Lumberjacks,G,66.8%
9,Florentino Valencia,Toledo Rockets,F,66.5%
10,Lee Humphrey,Florida Gators,G,66.4%
11,Rome Sanders,Florida A&M Rattlers,C,66.1%
12,Joseph Polite IV,Southeastern Louisiana Lions,C,66.0%
13,Josh Carter,Texas A&M Aggies,G,65.7%
14,Vladimir Kuljanin,NC-Wilmington Seahawks,C,65.6%
15,Lorenzo Mata,UCLA Bruins,C,65.4%
16,Paul Butorac,Eastern Washington Eagles,C,65.4%
17,Calvin Brown,Norfolk State Spartans,C,65.4%
18,Jimmy Baron,Rhode Island Rams,G,64.8%
19,Lee Cummard,Brigham Young Cougars,G,64.7%
20,Donte Minter,Appalachian St. Mountaineers,F,64.6%
21,Brandan Wright,North Carolina Tar Heels,F,64.5%
22,Levi Dyer,Illinois St. Redbirds,C,64.4%
23,Zach Andrews,Bradley Braves,F,64.3%
24,John Baumann,Columbia Lions,F,64.2%
25,Luke Nevill,Utah Utes,C,64.2%
26,Greg Dilligard,Illinois St. Redbirds,F,64.2%
27,Dan Nwaelele,Air Force Falcons,F,63.6%
28,Jonathan Wallace,Georgetown Hoyas,G,63.6%
29,Herbert Hill,Providence Friars,F,63.2%
30,Jared Dudley,Boston College Eagles,F,63.0%
31,Tony Lee,Robert Morris Colonials,G,62.7%
32,Deonte Huff,Portland St. Vikings,G,62.7%
33,Ahmad Nivins,St. Joseph's Hawks,F,62.6%
34,DeAndre Rice,Florida Atlantic Owls,G,62.5%
35,Ryan Toolson,Utah Valley Wolverines,G,62.2%
36,Jermaine Griffin,Texas-Arlington Mavericks,F,62.0%
37,Scott Dougherty,Santa Clara Broncos,G,62.0%
38,Will Thomas,George Mason Patriots,F,62.0%
39,Andrew Preston,Belmont Bruins,C,62.0%
40,Brent Wilson,Albany Great Danes,F,61.8%
41,Matt McCraw,Air Force Falcons,G,61.7%
42,Adrian Banks,Arkansas St. Red Wolves,G,61.6%
43,Greg Oden,Ohio St Buckeyes,C,61.6%
45,Mark Zoller,Pennsylvania Quakers,F,61.4%
46,Andrew Strait,Montana Grizzlies,C,61.3%
47,Jaycee Carroll,Utah St. Aggies,G,61.1%
48,Matt Lojeski,Hawaii Warriors,G,61.1%
49,Joey Dorsey,Memphis Tigers,F,61.1%
50,Dwight Brewington,Liberty Flames,G,61.0%
51,Ousmane Barro,Marquette Golden Eagles,F,61.0%
52,Richard Hendrix,Alabama Crimson Tide,F,60.9%
53,Lamar Sanders,Lamar Cardinals,F,60.9%
54,Daven Harmeling,Washington St. Cougars,F,60.8%
55,Boomer Herndon,Belmont Bruins,C,60.8%
56,Colin Falls,Notre Dame Fighting Irish,G,60.7%
57,Dan Cage,Vanderbilt Commodores,G,60.7%
58,Brandon McPherson,Valparaiso Crusaders,G,60.6%
59,Justin Cage,Xavier Musketeers,F,60.6%
59,Carl Landry,Purdue Boilermakers,F,60.6%
61,Korvotney Barber,Auburn Tigers,F,60.5%
62,Joakim Noah,Florida Gators,F,60.5%
63,Rashaun Freeman,Massachusetts Minutemen,C,60.5%
64,Mark McAndrew,Brown Bears,G,60.5%
65,Jerome Tillman,Ohio Bobcats,F,60.5%
66,Tyler McGinn,Cal Poly SLO Mustangs,F,60.4%
67,Julian Mascoll,Eastern Kentucky Colonels,F,60.4%
68,Stephane Lasme,Massachusetts Minutemen,F,60.4%
69,Chris Lofton,Tennessee Volunteers,G,60.4%
70,Carlos Monroe,Florida Atlantic Owls,F,60.3%
71,Mike Nelson,North Dakota State Bison,G,60.2%
72,Nick Dials,Akron Zips,G,60.2%
73,Blake Ahearn,Missouri St. Bears,G,60.2%
74,Aaron Wade,Sam Houston St. Bearkats,F,60.1%
75,Torrell Martin,Winthrop Eagles,G,60.1%
76,Manuel (Scooby) Johnson,Texas A&M CC Islanders,F,60.0%
76,Jeremy Clayton,Appalachian St. Mountaineers,F,60.0%
78,Samuel Haanpaa,Valparaiso Crusaders,G,59.8%
79,Casey (C.J.) Hadley,Sam Houston St. Bearkats,F,59.7%
80,Amadi McKenzie,Tennessee Tech Golden Eagles,F,59.7%
81,Cedric Smith,Texas A&M CC Islanders,F,59.7%
82,Jason Smith,Colorado St. Rams,F,59.6%
83,Chris Daniels,Texas A&M CC Islanders,C,59.6%
84,Ryan Bathie,Nicholls State Colonels,F,59.6%
85,Nick Fazekas,Nevada Wolf Pack,F,59.6%
86,Randal Falker,Southern Illinois Salukis,F,59.6%
87,Steven Rush,No.Carolina A&T Aggies,G,59.5%
88,Jeremy Crouch,Bradley Braves,G,59.4%
89,Al Horford,Florida Gators,F,59.3%
90,Drew Shubik,Sacred Heart Pioneers,G,59.3%
91,Marcus Crenshaw,Cal St. Fullerton Titans,G,59.3%
92,Reggie Williams,VMI Keydets,F,59.3%
93,David Padgett,Louisville Cardinals,C,59.2%
94,Hector Hernandez,Fresno St. Bulldogs,F,59.2%
95,Tim Pollitz,Miami (OH) Red Hawks,F,59.1%
96,Sean Denison,Santa Clara Broncos,C,59.0%
97,Josh Heytvelt,Gonzaga Bulldogs,F,59.0%
98,Erik Kangas,Oakland Golden Grizzlies,G,59.0%
99,Mario Chalmers,Kansas Jayhawks,G,59.0%
100,Frank Young,West Virginia Mountaineers,F,59.0%
101,Colin Lien,Texas-Pan American Broncs,G,58.9%
