Rank,Player,Team,Pos,Efficiency
1,Quincy Acy,Baylor Bears,F,69.7%
2,Alejo Rodriguez,Iona Gaels,F,67.7%
3,Tommy Freeman,Ohio Bobcats,F,67.6%
4,Blake Hoffarber,Minnesota Golden Gophers,G,67.3%
5,Julius Thomas,Portland St. Vikings,F,67.1%
6,Alfred Jones,Tennessee Tech Golden Eagles,F,66.9%
7,Arinze Onuaku,Syracuse Orange,F,66.8%
8,Eric Boateng,Arizona St. Sun Devils,C,66.5%
9,Brendan Knox,Auburn Tigers,C,66.3%
10,Demond Watt,Texas A&M CC Islanders,F,65.8%
11,Jeremy Evans,Western Kentucky Hilltoppers,F,65.6%
12,Jared Stohl,Portland Pilots,G,65.5%
13,Dexter Pittman,Texas Longhorns,C,65.4%
14,Tony Easley,Murray St. Racers,F,64.8%
15,Reeves Nelson,UCLA Bruins,F,64.7%
16,Tyler Cain,South Dakota Coyotes,F,64.3%
17,Chase Hallam,Denver Pioneers,F,63.4%
18,Mickey McConnell,St. Mary's Gaels,G,63.1%
19,Jackson Emery,Brigham Young Cougars,G,62.9%
20,Shane Johannsen,Northern Arizona Lumberjacks,F,62.9%
21,Edvinas Ruzgas,Texas Christian Horned Frogs,G,62.7%
22,Devon Beitzel,Northern Colorado Bears,G,62.6%
23,Eric Hayes,Maryland Terrapins,G,62.5%
24,Jeff Foote,Cornell Big Red,C,62.5%
25,Jon Avery,Indiana - Purdue Jaguars,F,62.3%
26,Travis Bledsoe,North Dakota,G,62.3%
27,Tay Waller,Auburn Tigers,G,62.3%
28,Justin Stommes,Eastern Kentucky Colonels,G,62.1%
29,John Jenkins,Vanderbilt Commodores,G,62.0%
30,Justin Dobbins,Eastern Michigan Eagles,F,61.5%
30,Brian Qvale,Montana Grizzlies,C,61.5%
32,Eli Holman,Detroit Titans,C,61.4%
33,Derrick Favors,Georgia Tech Yellow Jackets,F,61.1%
34,Dinma Odiakosa,Illinois St. Redbirds,F,61.1%
35,Jon Diebler,Ohio St Buckeyes,G,60.9%
36,Isaiah Canaan,Murray St. Racers,G,60.9%
37,Vernon Macklin,Florida Gators,F,60.7%
38,Patrick Patterson,Kentucky Wildcats,F,60.7%
39,Jordan Burgason,Lipscomb Bison,G,60.7%
40,Jason Clark,Georgetown Hoyas,G,60.6%
41,Rotnei Clarke,Arkansas Razorbacks,G,60.5%
