Rank,Player,Team,Pos,Efficiency
1,Taylor Smith,Stephen F. Austin Lumberjacks,F,69.4%
2,Dennis Ogbe,Tennessee Tech Golden Eagles,F,67.8%
3,Ian Clark,Belmont Bruins,G,67.0%
4,D.J. Stephens,Memphis Tigers,F,66.8%
5,Marshall Bjorklund,North Dakota State Bison,F,66.7%
6,Gregory Echenique,Creighton Bluejays,C,65.7%
7,Zeke Marshall,Akron Zips,C,65.5%
8,Victor Oladipo,Indiana Hoosiers,G,64.8%
9,Travis Releford,Kansas Jayhawks,G,64.6%
10,T.J. Warren,N.C. State Wolfpack,F,64.5%
11,Kelly Olynyk,Gonzaga Bulldogs,F,64.2%
12,Alex Oriakhi,Missouri Tigers,F,63.9%
13,Kevin Hartley,Gardner-Webb Runnin' Bulldogs,F,63.7%
14,Tyrus McGee,Iowa St. Cyclones,G,63.7%
15,Scott Bamforth,Weber St. Wildcats,G,63.6%
16,Eric Stutz,Eastern Kentucky Colonels,F,63.6%
17,Kevin Van Wijk,Valparaiso Crusaders,F,63.3%
18,Frank Otis,Weber St. Wildcats,F,63.0%
19,Malcolm Miller,Southern Jaguars,G,62.9%
20,Erik Murphy,Florida Gators,F,62.9%
21,Ryan Sypkens,UC Davis Aggies,G,62.4%
22,Martin Seiferth,Eastern Washington Eagles,F,62.3%
23,Doug McDermott,Creighton Bluejays,F,62.3%
24,Isaac Fotu,Hawaii Warriors,F,62.3%
25,Brett Olson,Denver Pioneers,G,62.2%
26,Willie Cauley-Stein,Kentucky Wildcats,F,62.1%
27,Sim Bhullar,New Mexico St. Aggies,C,62.1%
28,Chase Fieler,Florida Gulf Coast Eagles,F,62.0%
29,Ryan Watkins,Boise St. Broncos,F,61.9%
30,Brad Waldow,St. Mary's Gaels,F,61.8%
31,Jameel Warney,Stony Brook Seawolves,F,61.8%
32,Scott Wood,N.C. State Wolfpack,F,61.6%
33,Cory Jefferson,Baylor Bears,F,61.5%
34,Jake O'Brien,Temple Owls,F,61.2%
35,Alex Poythress,Kentucky Wildcats,F,61.1%
36,Karvel Anderson,Robert Morris Colonials,G,61.1%
37,Glenn Robinson III,Michigan Wolverines,F,61.0%
38,Joel Smith,Northeastern Huskies,G,61.0%
39,Marc Sonnen,Northern Iowa Panthers,G,61.0%
40,Fred Sturdivant,Texas Southern Tigers,F,60.7%
41,Reggie Bullock,North Carolina Tar Heels,G,60.7%
42,Taylor Broekhuis,Air Force Falcons,C,60.6%
43,Blake Jenkins,Belmont Bruins,F,60.6%
44,Jordan Hicks,Loyola-Chicago Ramblers,G,60.5%
45,Chad White,South Dakota State Jackrabbits,G,60.3%
46,Brandon Edwards,Texas-Arlington Mavericks,F,60.2%
47,Reggie Keely,Ohio Bobcats,F,60.2%
48,Jordan Hulls,Indiana Hoosiers,G,60.1%
49,Davon Marshall,Liberty Flames,G,60.0%
50,Mason Plumlee,Duke Blue Devils,F,59.9%
51,Nik Stauskas,Michigan Wolverines,G,59.9%
52,Mitch McGary,Michigan Wolverines,F,59.8%
53,Spencer Butterfield,Utah St. Aggies,G,59.8%
54,Colton Iverson,Colorado St. Rams,F,59.7%
55,Jordan Heath,Canisius Golden Griffins,F,59.6%
56,Connor Hill,Idaho Vandals,G,59.6%
57,Kyle Barone,Idaho Vandals,C,59.5%
58,Arsalan Kazemi,Oregon Ducks,F,59.5%
59,Todd Fletcher,Air Force Falcons,G,59.5%
60,Will Weeks,NC-Asheville Bulldogs,F,59.4%
61,Max Jacobsen,Northern Arizona Lumberjacks,F,59.4%
62,Tony Johnson,Lafayette Leopards,G,59.4%
63,Kinu Rochford,Fairleigh Dickinson Knights,F,59.2%
64,A.J. Davis,James Madison Dukes,G,59.2%
65,Fred Hunter,Nicholls State Colonels,G,59.1%
66,Troy Daniels,VCU Rams,G,59.1%
67,Tymell Murphy,Florida International Golden Panthers,F,59.1%
68,Beau Levesque,St. Mary's Gaels,F,59.0%
69,Eric Moreland,Oregon St. Beavers,F,59.0%
70,Isaac Sosa,Canisius Golden Griffins,G,59.0%
71,Jordan Harks,Central Arkansas Bears,F,58.9%
72,Tarik Black,Memphis Tigers,F,58.9%
73,Ricardo Glenn,South Carolina Upstate Spartans,F,58.8%
74,Neil Watson,Southern Miss Golden Eagles,G,58.8%
75,Davante Gardner,Marquette Golden Eagles,F,58.8%
76,Kyle Boswell,UC Santa Barbara Gauchos,G,58.7%
77,Reginald Buckner,Mississippi Rebels,F,58.7%
78,Ben McLemore,Kansas Jayhawks,G,58.6%
79,Patric Young,Florida Gators,F,58.6%
80,Ben Aird,Utah Valley Wolverines,C,58.6%
81,Tony Watson II,Buffalo Bulls,G,58.6%
82,Tate Unruh,Northern Colorado Bears,G,58.6%
83,Dom Morris,Boston U Terriers,F,58.5%
84,John Bohannon,Texas-El Paso Miners,C,58.4%
85,DeQuan Hicks,Northwestern St. Demons,F,58.3%
85,Jeff Withey,Kansas Jayhawks,C,58.3%
87,Stanton Kidd,North Carolina Central Eagles,F,58.3%
88,Mike Harthun,Portland St. Vikings,G,58.3%
89,Jordan Bachynski,Arizona St. Sun Devils,C,58.3%
90,Myles Mack,Rutgers Scarlet Knights,G,58.2%
91,Jonathon Thompson,Rider Broncs,G,58.2%
92,Mitchell Patton,Indiana - Purdue Jaguars,F,58.2%
93,Parker Smith,North Florida Osprey,G,58.1%
94,Anthony Bennett,UNLV Runnin' Rebels,F,58.0%
95,Eric Mosley,St. Bonaventure Bonnies,G,58.0%
96,Jack Cooley,Notre Dame Fighting Irish,F,58.0%
97,Willie Clayton,Charlotte 49ers,F,57.9%
98,Jerrell Wright,La Salle Explorers,F,57.9%
99,Travis Wallace,North Florida Osprey,F,57.9%
99,Laurence Bowers,Missouri Tigers,F,57.9%
