Army,27,5,22,18.5,1718.0,63.6,43.1,86.8,529,1321,40.0,285,415,68.7,148,435,34.0,45.6,49.1,31.4,51.1,19.1,29.8,0.87,1491,55.2,47.0,807,29.9,26.3,224,8.3,67.6,583,21.6,94,3.5,56.1,297,11.0,0.7,8.9,153,5.7,24.7,425,15.7,3.3,44,1.6,539,20.0,10
Auburn,28,12,16,42.9,1860.0,66.4,51.2,98.7,654,1509,43.3,334,529,63.1,194,545,35.6,49.8,52.2,35.1,50.1,18.2,31.7,0.99,1836,65.6,49.3,924,33.0,36.2,347,12.4,62.4,577,20.6,90,3.2,57.8,378,13.5,0.85,12.2,226,8.1,24.0,446,15.9,8.0,118,4.2,550,19.6,16
Austin Peay,31,17,14,54.8,2137.0,68.9,51.3,104.3,765,1680,45.5,528,707,74.7,170,508,33.5,50.6,55.3,42.1,53.4,23.7,22.9,1.04,2228,71.9,48.4,1018,32.8,32.1,326,10.5,64.7,692,22.3,103,3.3,56.9,435,14.0,0.97,10.2,217,7.0,20.9,447,14.4,5.3,93,3.0,576,18.6,9
Ball State,28,10,18,35.7,1819.0,65.0,51.0,97.8,632,1483,42.6,368,556,66.2,147,430,34.2,47.6,50.9,37.5,54.5,20.7,24.8,0.98,1779,63.5,52.0,926,33.1,33.8,327,11.7,70.2,599,21.4,83,3.0,51.9,328,11.7,0.83,11.3,206,7.4,21.8,397,14.2,7.7,100,3.6,629,22.5,22
Baylor,17,4,13,23.5,1143.0,67.2,45.4,94.0,367,923,39.8,206,298,69.1,134,360,37.2,47.0,50.4,32.3,43.4,19.2,37.4,0.94,1074,63.2,44.9,542,31.9,27.8,170,10.0,62.0,372,21.9,49,2.9,50.7,186,10.9,0.72,9.2,105,6.2,22.7,259,15.2,7.5,72,4.2,340,20.0,19
Belmont,31,20,11,64.5,2266.0,73.1,54.3,110.3,897,1819,49.3,444,643,69.1,261,692,37.7,56.5,58.8,35.3,50.9,17.8,31.3,1.1,2499,80.6,49.4,1099,35.5,35.4,364,11.7,63.5,735,23.7,107,3.5,57.7,518,16.7,1.03,10.6,240,7.7,22.2,503,16.2,5.9,110,3.5,612,19.7,12
Bethune-Cookman,30,15,15,50.0,2093.0,69.8,48.9,93.7,706,1675,42.1,378,614,61.6,172,527,32.6,47.3,49.9,36.7,54.4,19.3,26.3,0.94,1962,65.4,47.5,998,33.3,30.9,337,11.2,64.1,661,22.0,98,3.3,52.3,369,12.3,0.81,13.2,276,9.2,21.9,458,15.3,3.7,60,2.0,584,19.5,21
Binghamton,29,16,13,55.2,1868.0,64.4,49.1,97.0,616,1612,38.2,401,541,74.1,179,590,30.3,43.8,48.5,33.6,48.2,22.1,29.6,0.97,1812,62.5,49.3,977,33.7,32.1,344,11.9,66.5,633,21.8,90,3.1,47.6,293,10.1,0.85,10.9,203,7.0,18.5,345,11.9,3.3,49,1.7,564,19.4,21
Boise State,29,14,15,48.3,2086.0,71.9,48.7,100.4,744,1684,44.2,377,530,71.1,230,629,36.6,51.0,54.1,31.5,49.1,18.0,32.9,1.0,2095,72.2,48.4,1037,35.8,29.0,292,10.1,67.8,745,25.7,92,3.2,55.5,413,14.2,0.93,8.0,166,5.7,21.3,445,15.3,3.4,60,2.1,530,18.3,8
Boston College,36,28,8,77.8,2357.0,65.5,58.2,113.3,949,1958,48.5,562,833,67.5,211,585,36.1,53.9,56.7,42.5,55.3,21.0,23.7,1.13,2671,74.2,52.2,1277,35.5,40.5,466,12.9,64.0,811,22.5,112,3.1,67.3,639,17.8,1.35,9.4,222,6.2,20.0,472,13.1,7.9,161,4.5,585,16.2,10
