Air Force,31,21,10,67.7,1846.0,59.5,51.2,106.0,665,1474,45.1,402,590,68.1,225,648,34.7,52.7,55.8,40.0,45.0,20.5,34.5,1.06,1957,63.1,53.1,966,31.2,30.4,276,8.9,75.8,690,22.3,56,1.8,59.8,398,12.8,1.09,9.8,180,5.8,19.8,365,11.8,6.1,87,2.8,518,16.7,5
Akron,35,11,24,31.4,2357.0,67.3,49.9,97.3,787,1887,41.7,542,764,70.9,177,553,32.0,46.4,51.0,40.5,53.2,23.6,23.2,0.97,2293,65.5,48.1,1188,33.9,33.3,401,11.5,62.8,787,22.5,116,3.3,47.9,377,10.8,0.76,10.1,239,6.8,21.0,496,14.2,4.3,88,2.5,670,19.1,16
Alabama,32,15,17,46.9,2103.0,65.7,51.4,98.6,736,1734,42.4,420,633,66.4,181,570,31.8,47.7,50.9,36.5,53.5,20.3,26.2,0.99,2073,64.8,49.6,1102,34.4,34.2,384,12.0,65.0,718,22.4,100,3.1,48.6,358,11.2,0.8,8.8,186,5.8,21.2,446,13.9,7.3,131,4.1,533,16.7,11
Alabama A&M,27,16,11,59.3,1986.0,73.6,52.1,94.7,675,1570,43.0,415,662,62.7,149,448,33.3,47.7,49.9,42.2,55.9,22.1,23.8,0.95,1881,69.7,52.8,1141,42.3,39.4,408,15.1,66.1,733,27.1,114,4.2,56.0,378,14.0,0.74,11.3,225,8.3,25.7,510,18.9,8.7,136,5.0,561,20.8,13
Alabama State,31,15,16,48.4,2111.0,68.1,48.7,96.8,692,1591,43.5,509,762,66.8,150,430,34.9,48.2,52.3,47.9,53.1,24.9,22.0,0.97,2043,65.9,47.9,1046,33.7,31.3,319,10.3,64.5,727,23.5,107,3.5,49.0,339,10.9,0.7,11.7,247,8.0,23.0,486,15.7,6.6,109,3.5,646,20.8,25
Albany,32,25,7,78.1,2118.0,66.2,52.0,104.4,778,1788,43.5,434,628,69.1,222,609,36.5,49.7,53.0,35.1,50.3,19.6,30.1,1.04,2212,69.1,48.0,1065,33.3,31.9,355,11.1,64.0,710,22.2,97,3.0,55.7,433,13.5,1.1,12.3,260,8.1,18.5,392,12.2,7.4,129,4.0,536,16.8,6
Alcorn State,31,29,2,93.5,2348.0,75.7,56.2,108.3,888,1912,46.4,543,855,63.5,223,582,38.3,52.3,54.8,44.7,52.3,21.4,26.3,1.08,2542,82.0,55.3,1324,42.7,39.4,461,14.9,71.2,863,27.8,94,3.0,62.7,557,18.0,1.14,14.2,334,10.8,20.7,487,15.7,9.8,168,5.4,629,20.3,10
American University,31,20,11,64.5,2027.0,65.4,51.1,102.8,732,1708,42.9,450,664,67.8,169,477,35.4,47.8,51.5,38.9,54.1,21.6,24.3,1.03,2083,67.2,48.4,998,32.2,27.0,294,9.5,69.8,704,22.7,93,3.0,52.9,387,12.5,1.3,12.0,244,7.9,14.7,298,9.6,5.6,90,2.9,534,17.2,11
Appalachian State,37,13,24,35.1,2512.0,67.9,50.3,102.2,908,2164,42.0,463,704,65.8,288,840,34.3,48.6,51.4,32.5,48.3,18.0,33.7,1.02,2567,69.4,45.9,1134,30.6,27.3,382,10.3,64.5,752,20.3,88,2.4,55.8,507,13.7,1.27,10.5,265,7.2,15.9,400,10.8,4.8,96,2.6,707,19.1,16
Arizona,31,15,16,48.4,2172.0,70.1,51.7,102.8,787,1800,43.7,479,689,69.5,180,574,31.4,48.7,52.5,38.3,54.4,21.5,24.2,1.03,2233,72.0,50.9,1067,34.4,31.5,350,11.3,70.4,717,23.1,81,2.6,50.2,395,12.7,0.99,8.3,181,5.8,18.4,399,12.9,6.4,108,3.5,621,20.0,18
