Arkansas-Pine Bluff,30,17,13,56.7,2038.0,70.3,50.6,104.0,704,1506,46.7,512,749,68.4,199,551,36.1,53.4,56.9,49.7,47.7,24.2,28.2,1.04,2119,70.6,52.1,1036,34.5,33.2,308,10.3,70.9,728,24.3,89,3.0,62.4,439,14.6,0.89,10.9,223,7.4,24.3,495,16.5,8.1,126,4.2,556,18.5,8
Army,31,16,15,51.6,2129.0,68.7,52.8,106.6,807,1755,46.0,447,621,72.0,208,541,38.4,51.9,55.3,35.4,52.8,19.7,27.5,1.07,2269,73.2,50.6,1088,35.1,33.2,343,11.1,67.9,745,24.0,107,3.5,51.2,413,13.3,0.97,10.7,227,7.3,19.9,424,13.7,5.7,103,3.3,562,18.1,9
Auburn,30,16,14,53.3,2030.0,67.7,52.0,106.2,695,1616,43.0,546,787,69.4,219,567,38.6,49.8,54.2,48.7,44.2,25.3,30.5,1.06,2155,71.8,50.7,1052,35.1,33.1,343,11.4,68.2,709,23.6,104,3.5,60.0,417,13.9,1.09,8.6,174,5.8,18.8,381,12.7,6.5,108,3.6,613,20.4,16
Austin Peay,30,18,12,60.0,2182.0,72.7,53.5,108.5,838,1814,46.2,458,622,73.6,234,651,35.9,52.6,56.1,34.3,51.0,19.3,29.6,1.09,2368,78.9,52.0,1051,35.0,34.1,363,12.1,69.8,688,22.9,74,2.5,56.6,474,15.8,1.1,10.8,235,7.8,19.7,430,14.3,5.9,97,3.2,637,21.2,23
Ball State,30,25,5,83.3,2052.0,68.4,53.3,107.9,769,1671,46.0,518,738,70.2,158,476,33.2,50.7,54.8,44.2,55.2,23.4,21.4,1.08,2214,73.8,46.9,996,33.2,29.4,302,10.1,64.4,694,23.1,92,3.1,53.6,412,13.7,1.22,12.6,258,8.6,16.5,339,11.3,6.9,110,3.7,577,19.2,10
Baylor,32,10,22,31.3,2092.0,65.4,52.5,104.1,773,1827,42.3,413,604,68.4,218,605,36.0,48.3,51.5,33.1,51.0,19.0,30.0,1.04,2177,68.0,44.9,1000,31.3,31.7,364,11.4,58.0,636,19.9,90,2.8,62.1,480,15.0,1.42,8.4,176,5.5,16.2,338,10.6,4.9,89,2.8,607,19.0,15
Belmont,33,9,24,27.3,2296.0,69.6,52.6,106.8,837,1820,46.0,552,793,69.6,226,646,35.0,52.2,55.8,43.6,49.8,22.5,27.7,1.07,2452,74.3,52.8,1081,32.8,33.3,368,11.2,72.2,713,21.6,91,2.8,50.8,425,12.9,0.9,10.4,238,7.2,20.5,470,14.2,5.6,100,3.0,686,20.8,27
Bethune-Cookman,32,25,7,78.1,2043.0,63.8,54.7,110.2,728,1604,45.4,603,850,70.9,193,545,35.4,51.4,56.1,53.0,47.5,26.8,25.7,1.1,2252,70.4,52.0,1121,35.0,36.9,372,11.6,67.1,749,23.4,105,3.3,57.8,421,13.2,1.04,9.6,196,6.1,19.9,406,12.7,8.6,147,4.6,554,17.3,8
Binghamton,30,23,7,76.7,1993.0,66.4,52.1,107.4,724,1601,45.2,448,654,68.5,244,634,38.5,52.8,56.0,40.8,44.9,20.9,34.2,1.07,2140,71.3,51.7,1074,35.8,32.4,315,10.5,70.9,759,25.3,88,2.9,61.0,442,14.7,1.12,11.1,222,7.4,19.8,394,13.1,6.7,104,3.5,605,20.2,12
Boise State,32,12,20,37.5,2141.0,66.9,49.1,103.5,770,1710,45.0,468,667,70.2,207,591,35.0,51.1,54.6,39.0,50.8,21.1,28.0,1.03,2215,69.2,46.2,959,30.0,25.4,255,8.0,66.9,704,22.0,91,2.8,47.3,364,11.4,0.96,6.8,145,4.5,17.7,378,11.8,5.9,108,3.4,598,18.7,12
