Rank,Team,2009,Last 3,Last 1,Home,Away,2008
1,Florida St,0.87,0.972,1.025,0.824,0.918,0.927
2,St Peters,0.879,0.796,0.974,0.85,0.905,0.962
3,USC,0.88,0.936,1.01,0.832,0.934,0.949
4,Princeton,0.885,0.94,1.119,0.821,0.935,0.953
5,Murray St,0.886,0.944,0.95,0.825,0.931,0.968
6,Old Dominion,0.89,1.022,1.174,0.811,0.947,0.933
7,Temple,0.891,1.004,1.286,0.886,0.894,0.954
8,Purdue,0.892,0.893,1.058,0.844,0.932,0.882
9,Duke,0.896,1.041,0.958,0.846,0.936,0.929
10,Kentucky,0.898,0.858,1.001,0.896,0.899,0.924
11,TX El Paso,0.898,1.033,1.119,0.847,0.953,0.983
12,Dayton,0.901,0.909,0.94,0.873,0.926,0.911
13,Kansas,0.901,1.013,1.09,0.857,0.946,0.921
14,Clemson,0.903,1.042,1.191,0.842,0.965,0.944
15,UAB,0.904,0.82,0.939,0.874,0.943,0.951
16,Coastal Car,0.904,0.974,1.003,0.876,0.927,1.021
17,Missouri,0.905,1.132,1.086,0.844,0.987,0.922
18,Saint Louis,0.906,1.016,1.052,0.879,0.946,0.964
19,Prairie View,0.908,0.945,0.918,0.794,0.979,0.976
20,Winthrop,0.908,0.863,1.062,0.867,0.935,1.002
21,Mt St Marys,0.908,0.908,1.166,0.833,0.961,0.94
22,Butler,0.91,0.892,0.991,0.896,0.92,0.916
23,Iona,0.911,0.954,0.938,0.884,0.933,0.937
24,Siena,0.912,0.916,0.932,0.872,0.952,0.949
25,VA Tech,0.913,0.993,1.087,0.852,0.99,1.003
26,N Iowa,0.913,1.051,0.992,0.88,0.935,0.998
27,BYU,0.914,1.085,1.162,0.827,0.979,0.926
28,Tennessee,0.916,1.045,1.157,0.866,0.957,0.993
29,Texas,0.916,1.057,0.987,0.824,1.011,0.943
30,GA Tech,0.918,1.013,1.007,0.828,0.99,0.944
31,Syracuse,0.922,0.922,0.972,0.87,0.985,0.97
32,Ark Pine Bl,0.922,0.834,1.135,0.814,0.963,0.955
33,Ohio State,0.924,0.935,1.116,0.849,0.993,0.968
34,Hampton,0.924,0.852,0.979,0.893,0.942,0.881
35,Richmond,0.924,1.105,1.275,0.842,0.987,1.003
36,Wofford,0.924,0.854,0.936,0.908,0.932,1.055
37,Army,0.926,1.088,1.142,0.887,0.958,0.916
38,Miss State,0.927,1.028,1.104,0.929,0.925,0.946
39,Maine,0.929,0.99,0.996,0.815,0.997,1.034
40,Wisconsin,0.93,1.067,1.418,0.866,0.999,0.975
41,Arizona St,0.931,0.947,0.977,0.87,1.025,0.97
42,UNLV,0.932,1.005,1.154,0.941,0.923,0.945
43,TX Southern,0.934,0.745,0.781,0.881,0.965,1.051
44,Washington,0.937,0.981,0.91,0.875,1.012,0.935
45,Vermont,0.937,1.009,1.206,0.925,0.943,0.934
46,Minnesota,0.939,0.975,0.987,0.862,1.011,0.941
47,S Mississippi,0.939,1.022,1.029,0.882,0.983,1.037
48,Xavier,0.94,1.003,1.125,0.868,0.995,0.905
49,Wichita St,0.94,1.031,1.044,0.897,0.985,0.977
50,Radford,0.94,0.873,0.929,0.872,1.002,0.981
51,Texas A&M,0.941,0.935,0.84,0.892,0.979,0.99
52,Kansas St,0.941,1.013,0.953,0.862,1.008,0.936
53,Michigan St,0.942,0.964,0.874,0.887,0.992,0.932
54,Pittsburgh,0.943,0.942,1.064,0.904,0.986,0.948
55,Maryland,0.944,1.062,1.163,0.888,0.999,0.971
56,Hofstra,0.944,1,1.013,0.931,0.959,0.947
57,Morehead St,0.944,0.999,1.046,0.901,0.981,0.991
58,N Hampshire,0.945,0.891,0.984,0.912,0.968,0.992
59,Quinnipiac,0.946,1.059,1.208,0.919,0.972,0.995
60,Wright State,0.946,0.998,1.116,0.849,1.012,0.903
61,Rob Morris,0.947,0.893,0.922,0.952,0.943,0.948
62,Alab A&M,0.947,0.889,0.801,0.914,0.973,0.978
63,Detroit,0.948,0.998,1.113,0.937,0.957,0.989
64,Northeastrn,0.948,0.938,1.01,0.981,0.926,0.965
65,Utah State,0.948,1.029,1.099,0.917,0.979,0.989
66,Boston U,0.948,1.065,1.222,0.899,0.981,0.982
67,Jackson St,0.948,1.065,1.186,0.866,0.995,0.983
68,Wake Forest,0.949,1.168,1.282,0.898,0.997,0.926
69,San Diego St,0.949,0.957,1.02,0.863,1.009,0.931
70,Belmont,0.95,0.996,1.236,0.89,0.992,0.976
71,Campbell,0.95,0.943,1.046,0.911,0.982,0.982
72,Stony Brook,0.95,1.013,1.114,0.946,0.953,0.922
73,Ste F Austin,0.95,0.969,1.067,0.919,0.972,0.869
74,Kent State,0.951,1.118,1.152,0.931,0.968,0.939
75,Harvard,0.951,1.131,1.346,0.895,0.992,1.021
76,Ball State,0.951,1.027,1.183,0.934,0.972,0.955
77,Connecticut,0.952,1.052,1.004,0.937,0.97,0.896
78,Miami (FL),0.952,1.008,1.155,0.924,0.976,0.966
