Rank,Team,Rating,High,Low,Last
1,Kentucky,108.9,1,253,1
2,Arizona,108.4,1,102,2
3,Ohio State,108.4,2,167,5
4,UCLA,108.3,1,71,3
5,Georgetown,108,4,205,4
6,Tennessee,108,4,156,7
7,N Carolina,107.9,2,28,6
8,Florida,107.9,8,277,11
9,Duke,107.8,1,136,8
10,Michigan St,107.6,4,124,9
11,Pittsburgh,107.6,6,191,10
12,Villanova,107.4,2,69,12
13,GA Tech,107.4,2,299,13
14,Florida St,107.4,3,235,14
15,Arkansas,107.4,5,241,15
16,Georgia,107.3,2,314,18
17,Oregon,107.3,12,239,17
18,Vanderbilt,107.3,4,281,20
19,Boston Col,107.2,8,300,16
20,USC,107.2,13,316,21
21,Wisconsin,107.1,10,314,19
22,Indiana,107.1,6,157,22
23,VA Tech,107,4,225,24
24,Purdue,107,16,259,23
25,Miss State,106.9,18,188,27
26,Stanford,106.9,14,315,25
27,Maryland,106.9,5,104,26
28,Clemson,106.8,7,155,28
29,LSU,106.6,17,212,30
30,DePaul,106.6,14,202,29
31,S Illinois,106.6,2,184,31
32,Texas,106.5,18,150,32
33,Louisville,106.5,26,190,33
34,Alabama,106.4,9,223,34
35,Virginia,106.4,3,252,35
36,NC State,106.4,25,309,36
37,Mississippi,106.3,37,320,37
38,Marquette,106.3,16,188,38
39,Wash State,106.3,26,196,39
40,Washington,106.2,24,295,40
41,California,106.2,14,153,42
42,Texas A&M,106.1,22,272,43
43,Illinois,106.1,22,278,41
44,Michigan,106,36,311,44
45,Kansas,106,45,275,45
46,Creighton,105.9,13,254,46
47,Bradley,105.9,19,283,47
48,Auburn,105.6,45,320,49
49,Notre Dame,105.6,2,129,48
50,Wake Forest,105.6,39,283,50
51,Oklahoma,105.5,40,295,52
52,Iowa,105.5,31,155,51
53,Texas Tech,105.5,16,236,53
54,S Carolina,105.5,47,197,56
55,W Virginia,105.5,48,254,55
56,Missouri St,105.5,7,212,54
57,N Iowa,105.4,27,247,57
58,UNLV,105.4,11,156,58
59,Oklahoma St,105.3,19,268,59
60,Wichita St,105.3,3,135,60
61,Syracuse,105.3,56,290,61
