Rank,Team,Rating,High,Low,Last
1,LSU,108.3,1,284,1
2,Villanova,108.2,1,251,2
3,W Virginia,108.1,1,203,3
4,Georgetown,107.8,1,152,4
5,Tennessee,107.7,2,283,5
6,Kentucky,107.6,5,213,6
7,S Carolina,107.6,7,193,7
8,Duke,107.5,1,138,8
9,Florida,107.4,9,127,11
10,Connecticut,107.4,3,102,9
11,Pittsburgh,107.2,4,331,10
12,Syracuse,107.1,5,189,13
13,Arizona,107,1,47,12
14,Marquette,107,6,158,15
15,Indiana,106.9,3,298,14
16,N Carolina,106.9,1,198,16
17,Michigan St,106.9,2,97,17
18,UCLA,106.9,6,258,23
19,Cincinnati,106.8,4,143,18
20,Alabama,106.7,14,96,20
21,Vanderbilt,106.7,21,239,21
22,Texas,106.7,1,261,19
23,Notre Dame,106.6,4,187,22
24,Arkansas,106.5,7,224,27
25,Iowa,106.4,6,238,24
26,Miami (FL),106.4,16,184,26
27,Illinois,106.4,5,254,25
28,DePaul,106.4,5,144,28
29,Boston Col,106.3,14,189,29
30,NC State,106.2,5,317,30
31,Wisconsin,106.2,2,128,31
32,Michigan,106.1,14,247,32
33,Louisville,106.1,10,333,33
34,Baylor,106,2,334,34
35,Ohio State,105.9,8,241,36
36,Bradley,105.9,9,171,37
37,California,105.9,35,300,35
38,Maryland,105.8,14,126,38
39,Providence,105.8,9,223,39
40,Wake Forest,105.8,4,186,40
41,Seton Hall,105.6,28,264,42
42,Virginia,105.6,16,256,43
43,Florida St,105.6,20,291,45
44,Rutgers,105.6,18,250,44
45,Washington,105.6,14,288,41
46,N Iowa,105.6,13,206,46
47,Kansas,105.5,9,173,47
48,Wichita St,105.4,23,227,49
49,Minnesota,105.4,23,246,50
50,Clemson,105.4,14,305,52
51,Stanford,105.4,22,327,48
52,Oklahoma St,105.4,6,253,53
53,Oregon,105.3,17,328,51
54,Missouri St,105.3,31,184,54
55,Georgia,105.3,13,191,55
56,Geo Mason,105.2,2,190,57
57,Texas A&M,105.2,32,332,56
58,Oklahoma,105.1,2,222,58
59,VA Tech,105.1,37,326,59
60,S Illinois,104.9,49,307,60
61,St Josephs,104.9,1,193,61
62,Auburn,104.8,14,184,64
63,Iowa State,104.8,18,276,62
64,GA Tech,104.8,2,317,63
65,Creighton,104.7,12,203,66
66,Wash State,104.7,22,333,65
67,St Johns,104.6,16,322,67
68,Northwestern,104.6,41,234,68
69,Temple,104.6,8,239,69
70,Miss State,104.6,25,311,70
71,Memphis,104.5,1,83,71
72,Gonzaga,104.3,1,249,72
73,Purdue,104.3,26,231,74
74,Texas Tech,104.3,17,300,75
75,USC,104.3,57,307,73
76,Penn State,104.2,57,307,76
77,Colorado,104,4,131,77
78,Nebraska,104,56,320,78
79,Kansas St,103.9,45,224,79
80,Xavier,103.8,11,286,81
81,Oregon St,103.7,66,323,80
82,Arizona St,103.5,48,328,82
83,Mississippi,103.5,55,320,83
84,Hofstra,103.4,13,218,84
85,Old Dominion,103.4,39,162,86
86,UAB,103.4,43,167,85
