Rank,Team,Rating,High,Low,Last
87,Missouri,103.3,48,273,87
88,S Florida,103.3,80,326,88
89,Drake,103.3,39,265,89
90,U Mass,103.2,56,290,90
91,NC-Wilmgton,103.2,11,192,91
92,LA Tech,103.2,80,296,92
93,UNLV,103,25,287,93
94,Houston,102.9,15,221,94
95,Charlotte,102.9,62,269,95
96,Saint Louis,102.9,53,316,96
97,Geo Wshgtn,102.8,34,324,97
98,WI-Milwkee,102.8,1,126,98
99,Indiana St,102.7,14,249,99
100,Nevada,102.7,3,303,100
101,N Mex State,102.6,21,262,101
102,San Diego St,102.6,67,229,102
103,Loyola Mymt,102.6,84,324,103
104,Akron,102.6,56,334,104
105,Miami (OH),102.5,2,111,105
106,Kent State,102.5,82,298,106
107,Utah State,102.5,5,158,107
108,BYU,102.4,68,319,108
109,Butler,102.4,3,233,109
110,Air Force,102.4,12,228,110
111,Dayton,102.4,3,262,112
112,Northeastrn,102.4,59,236,111
113,Drexel,102.3,13,142,113
114,Illinois St,102.3,5,267,114
115,Pepperdine,102.2,16,165,115
116,Fordham,102.2,33,183,116
117,Evansville,102.2,87,316,117
118,Hawaii,102.1,5,150,118
119,La Salle,102.1,90,322,120
120,New Mexico,102.1,53,257,119
121,St Marys,102.1,1,137,121
122,Iona,102.1,21,321,122
123,Fresno St,102,90,326,123
124,Colorado St,102,21,288,124
125,TX El Paso,101.9,9,295,125
126,Rhode Island,101.9,81,326,126
127,Ohio,101.9,17,332,128
128,Utah,101.8,38,257,127
129,Wyoming,101.8,93,296,129
130,VCU,101.8,20,176,130
131,Bucknell,101.8,4,158,132
132,Santa Clara,101.8,58,235,131
133,Idaho,101.7,3,280,133
134,San Fransco,101.6,93,308,134
135,San Jose St,101.5,121,307,135
136,Manhattan,101.5,15,212,136
137,N Illinois,101.3,1,173,137
138,W Kentucky,101.2,30,314,138
139,NW State,101.2,7,252,139
140,Siena,101.2,6,275,140
141,San Diego,101.2,114,320,141
142,Montana,101.1,57,300,143
143,Boise State,101.1,98,325,142
144,Buffalo,101.1,75,231,144
145,TX Christian,101.1,53,284,145
146,Marist,101,47,283,146
147,Portland,100.9,124,329,147
148,IL-Chicago,100.9,52,264,148
149,Georgia St,100.8,114,325,149
150,Detroit,100.8,25,223,150
151,Loyola-Chi,100.8,56,291,151
152,Fairfield,100.7,28,264,152
153,E Washingtn,100.7,87,311,153
154,LA Lafayette,100.7,4,187,154
155,Bowling Grn,100.7,121,309,155
156,St Peters,100.6,51,223,156
157,Richmond,100.6,114,323,157
158,Niagara,100.5,62,281,158
159,Wright State,100.5,5,224,159
160,Pacific,100.5,55,308,160
161,Delaware,100.3,129,292,161
162,Rider,100.3,7,265,162
163,Toledo,100.3,13,257,163
164,S Alabama,100.3,59,283,164
165,WI-Grn Bay,100.2,46,224,165
166,Ball State,100.2,11,217,166
167,S Mississippi,100.2,102,309,167
168,Winthrop,100.2,9,267,168
169,W Michigan,100.2,54,183,169
170,Portland St,100.1,52,311,170
171,Sac State,100,112,325,171
172,James Mad,99.9,55,294,172
173,Duquesne,99.9,132,330,173
174,New Orleans,99.8,61,275,174
175,Middle Tenn,99.8,20,187,175
176,Canisius,99.8,77,305,176
177,Loyola-MD,99.8,148,328,177
178,Holy Cross,99.8,77,210,178
179,Davidson,99.8,5,189,179
180,Cleveland St,99.8,131,326,180
181,Wm & Mary,99.8,148,321,181
182,Oral Roberts,99.7,42,223,182
183,N Arizona,99.7,166,320,183
184,Lg Beach St,99.6,59,281,184
185,Youngs St,99.6,179,330,185
186,Central Mich,99.6,66,220,186
187,St Bonavent,99.5,164,321,187
188,U Penn,99.5,7,248,188
189,UC Irvine,99.4,86,238,189
190,Rice,99.4,35,306,190
191,Tulsa,99.4,69,270,191
192,Tulane,99.4,138,306,192
193,Murray St,99.3,1,259,193
194,Denver,99.3,59,300,194
195,Arkansas St,99.2,10,269,195
196,Florida Intl,99.2,17,211,196
197,Weber State,99.1,14,321,197
198,Samford,99.1,29,288,198
199,Towson,99,142,333,200
200,Cal Poly,99,116,321,199
201,North Texas,99,6,271,201
202,TX-Arlington,98.9,85,270,202
203,Central FL,98.9,178,333,204
204,UCSB,98.9,123,322,203
205,E Michigan,98.8,97,296,205
206,Sam Hous St,98.8,21,240,206
207,Elon,98.8,37,251,207
208,E Carolina,98.7,83,331,208
209,Marshall,98.7,64,327,209
210,Troy,98.6,32,318,210
211,TN Tech,98.6,65,250,211
212,Idaho State,98.6,82,314,212
213,LA Monroe,98.5,40,310,213
214,Wofford,98.4,41,218,215
215,Chicago St,98.4,1,275,216
216,UC Riverside,98.4,87,327,214
217,Monmouth,98.4,85,317,217
218,GA Southern,98.4,67,258,218
219,Coastal Car,98.4,22,318,219
220,Montana St,98.4,178,318,220
221,NC-Asheville,98.3,12,290,221
222,Albany,98.3,42,272,223
223,S Methodist,98.3,113,331,222
224,TN State,98.3,122,302,224
225,N Dakota St,98.3,1,334,225
226,Cal St Nrdge,98.2,123,309,226
227,AR Lit Rock,98.2,43,320,227
228,CS Fullerton,98.2,115,276,228
229,High Point,98.2,105,325,229
230,McNeese St,98.1,16,291,230
231,Austin Peay,98.1,23,270,231
232,TN Martin,98.1,19,331,232
233,SE Louisiana,98,53,254,233
234,UC Davis,98,145,291,234
235,TX-San Ant,97.9,29,315,235
236,Chattanooga,97.9,31,289,236
237,S Dakota St,97.9,1,334,237
238,W Carolina,97.8,113,323,239
239,Boston U,97.8,5,253,238
240,App State,97.8,40,280,240
241,F Dickinson,97.8,179,302,241
242,TX A&M-CC,97.7,42,297,242
243,Charl South,97.7,118,285,243
244,Jksnville St,97.7,43,333,244
245,Delaware St,97.7,5,285,246
246,N Colorado,97.7,166,324,245
247,NC-Grnsboro,97.7,151,323,247
248,Lamar,97.6,201,324,248
249,Vermont,97.6,4,271,249
250,Col Charlestn,97.6,107,325,250
251,Lehigh,97.5,207,323,251
252,IUPUI,97.5,50,252,252
253,E Kentucky,97.5,19,282,253
254,Radford,97.5,146,299,254
255,Bham Southern,97.4,207,329,255
256,IPFW,97.4,72,305,256
257,Valparaiso,97.4,48,280,257
258,Liberty,97.4,21,293,258
259,Centenary,97.3,90,317,259
260,Princeton,97.2,50,299,260
261,Oakland,97.2,121,310,261
262,S Utah,97.1,111,289,262
263,Stony Brook,97.1,40,281,263
264,Furman,97,19,306,264
265,American,97,1,284,265
266,Texas State,96.9,76,314,266
267,Ste F Austin,96.8,4,314,267
268,E Illinois,96.8,44,307,268
269,St Fran ,96.7,181,333,269
270,Morehead St,96.7,10,331,270
271,Binghamton,96.7,88,321,271
272,W Illinois,96.6,138,332,272
273,Maryland BC,96.6,220,330,273
274,Lafayette,96.6,6,284,274
275,Nicholls St,96.6,38,302,275
276,SE Missouri,96.5,179,326,276
277,Central Conn,96.5,104,319,277
278,Mt St Marys,96.5,102,323,278
279,VA Military,96.5,160,332,279
280,Cornell,96.5,54,318,280
281,Belmont,96.5,71,291,281
282,Rob Morris,96.4,89,329,282
283,N Hampshire,96.4,122,307,283
284,TX-Pan Am,96.3,5,317,284
285,St Fran ,96.3,91,315,285
286,UMKC,96.2,195,315,286
287,Harvard,96.2,44,288,287
288,Southern,96.2,10,330,288
289,Wagner,96.2,55,316,289
290,Yale,96.2,145,319,290
291,Quinnipiac,96.1,163,325,291
292,Sacred Hrt,96.1,64,323,292
293,Hartford,96,168,333,293
294,Maine,95.8,115,328,294
295,Utah Val St,95.7,287,334,295
296,LIU-Brooklyn,95.7,180,328,296
297,Colgate,95.7,196,329,297
298,Dartmouth,95.6,23,323,298
299,Brown,95.5,103,327,299
300,Lipscomb,95.5,113,321,300
301,Citadel,95.4,131,329,301
302,S Car State,95.4,74,313,302
303,Gard-Webb,95.4,4,325,303
304,Coppin State,95.4,16,316,304
305,Army,95.4,100,333,305
306,Columbia,95.3,203,320,306
307,Navy,95.1,62,330,307
308,Florida A&M,94.9,87,322,308
309,Fla Atlantic,94.8,119,333,309
310,Longwood,94.7,170,317,310
311,Jacksonville,94.6,48,323,311
312,Norfolk St,94.6,84,316,312
313,E Tenn St,94.5,51,325,313
314,NC A&T,94.3,121,318,314
315,Morgan St,94.3,167,321,315
316,Jackson St,94.3,48,331,316
317,Savannah St,94.2,162,332,317
318,Stetson,94.1,48,328,318
319,Campbell,94.1,212,334,319
320,Kennesaw St,94,33,332,320
321,Beth-Cook,94,158,331,321
322,Hampton,93.8,121,329,322
323,Alabama St,93.8,96,326,323
324,Alcorn State,93.8,7,330,324
325,Howard,93.8,82,329,325
326,Maryland ES,93.6,257,327,326
327,TX Southern,93.6,48,333,327
328,Alab A&M,93.4,1,328,328
329,Ark Pine Bl,93.1,81,333,329
330,Miss Val St,93,25,332,330
331,N Florida,92.8,258,334,331
332,Grambling St,92.6,2,333,332
333,Prairie View,92.6,34,334,333
334,Mercer,92.6,65,334,334
