Rank,Team,Rating,High,Low,Last
226,N Illinois ,98.3,151,325,226
227,Ste F Austin ,98.2,22,329,227
228,Old Dominion ,98.2,130,338,228
229,Sacred Hrt ,98.2,137,294,229
230,Mercer ,98.2,50,264,230
231,Jksnville St ,98.2,152,336,231
232,LIU-Brooklyn ,98.2,81,329,232
233,Seattle ,98.2,85,334,233
234,Hartford ,98.2,207,325,234
235,Bryant ,98.2,96,298,235
236,Arkansas St ,98.1,126,337,236
237,N Hampshire ,98.1,181,335,237
238,Colgate ,98.1,108,312,238
239,LA Lafayette ,98,40,291,239
240,Rob Morris ,98,133,269,240
241,Montana ,98,67,273,242
242,Houston ,98,172,347,241
243,Central Conn ,98,92,280,243
244,Dartmouth ,98,213,346,244
245,South Dakota ,98,103,324,245
246,Wm & Mary ,98,207,326,246
247,American ,98,51,336,247
248,Cornell ,98,147,339,248
249,Binghamton ,97.9,243,333,249
250,Fla Atlantic ,97.9,18,335,250
251,TN Tech ,97.9,191,323,251
252,Maryland BC ,97.8,123,334,252
253,W Illinois ,97.8,133,328,253
254,Col Charlestn ,97.8,84,325,254
255,NC-Wilmgton ,97.8,131,304,255
256,Ball State ,97.7,208,344,256
257,Navy ,97.6,255,345,257
258,St Fran ,97.5,84,293,258
259,North Texas ,97.4,62,321,259
260,N Florida ,97.4,6,289,260
261,Monmouth ,97.4,97,301,261
262,E Tenn St ,97.3,62,275,262
263,SC Upstate ,97.3,42,285,263
264,IUPUI ,97.2,174,309,264
265,IPFW ,97.2,206,333,265
266,UMKC ,97.2,55,310,266
267,Troy ,97.1,104,345,267
268,F Dickinson ,97.1,22,329,268
269,NC-Asheville ,97.1,30,297,269
270,Savannah St ,97.1,44,295,270
271,Sam Hous St ,97.1,56,310,271
272,Weber State ,97,61,316,272
273,Stetson ,97,151,335,273
274,SE Louisiana ,96.8,11,331,274
275,Lamar ,96.8,30,293,275
276,SE Missouri ,96.8,153,343,276
277,Lipscomb ,96.8,9,298,278
278,NC Central ,96.7,109,288,277
279,Neb Omaha ,96.7,221,347,279
280,Norfolk St ,96.7,127,293,280
281,Austin Peay ,96.7,173,336,281
282,N Kentucky ,96.7,113,347,282
283,TX A&M-CC ,96.6,37,310,283
284,E Illinois ,96.5,241,340,284
285,SIU Edward ,96.5,69,339,285
286,TX Southern ,96.5,11,340,286
287,Elon ,96.5,148,331,287
288,Coppin State ,96.5,72,323,288
289,N Colorado ,96.5,23,302,289
290,Gard-Webb ,96.4,58,301,290
291,Morgan St ,96.4,188,339,291
292,N Arizona ,96.4,10,327,292
293,Charl South ,96.4,26,295,293
294,Wofford ,96.4,60,317,294
295,McNeese St ,96.3,9,298,295
296,Kennesaw St ,96.3,181,344,296
297,Coastal Car ,96.3,48,309,297
298,NC A&T ,96.2,184,331,298
299,Maryland ES ,96.2,230,330,299
300,Jacksonville ,96.2,99,344,300
301,Winthrop ,96.1,7,324,301
302,Nicholls St ,96.1,32,324,302
303,TN Martin ,96.1,95,337,303
304,W Carolina ,96.1,149,333,304
305,Delaware St ,96,91,306,305
306,GA Southern ,96,74,329,306
307,North Dakota ,96,26,331,307
308,Idaho State ,95.9,43,311,309
309,Beth-Cook ,95.9,166,337,308
310,S Car State ,95.9,277,347,310
311,New Orleans ,95.8,271,346,311
312,Chicago St ,95.8,145,335,313
313,Liberty ,95.8,59,338,312
314,S Utah ,95.7,82,331,314
315,App State ,95.7,182,335,315
316,Florida A&M ,95.6,152,346,316
317,E Washingtn ,95.5,13,329,317
318,Presbyterian ,95.5,3,345,318
319,Sac State ,95.5,149,339,319
320,Central Ark ,95.4,132,344,320
321,Furman ,95.4,152,347,321
322,Samford ,95.4,144,338,322
323,High Point ,95.3,261,344,323
324,Utah Val St ,95.3,210,339,324
325,NC-Grnsboro ,95.3,192,337,325
326,Campbell ,95.2,132,339,326
327,Portland St ,95.2,19,337,329
328,Howard ,95.2,64,330,327
329,Longwood ,95.2,198,340,328
330,Citadel ,95.2,259,346,330
331,VA Military ,95.2,218,347,331
332,Hampton ,95.2,48,342,332
333,Chattanooga ,95.1,198,337,333
334,Radford ,95,286,344,334
335,Montana St ,94.9,145,341,335
336,Southern ,94.7,36,342,336
337,Ark Pine Bl ,94.7,258,347,337
338,NJIT ,94.6,240,344,338
339,TX-Pan Am ,94.5,195,346,339
340,Houston Bap ,94.3,304,347,340
341,Alcorn State ,93.7,23,346,341
342,Jackson St ,93.1,25,343,342
343,Prairie View ,92.9,94,347,343
344,Alabama St ,92.8,24,347,344
345,Miss Val St ,92.8,1,347,345
346,Grambling St ,92.2,55,347,346
347,Alab A&M ,92.2,81,347,347
348,Miss Val St ,93.9,45,351,349
349,Alcorn State ,93.9,13,349,347
350,Alabama St ,93.6,223,351,351
351,Alab A&M ,93.6,52,351,350
