Rank,Team,Rating,High,Low,Last
1,Michigan St ,108.3,1,88,1
2,Wisconsin ,108.2,1,160,2
3,Ohio State ,107.7,1,125,4
4,Syracuse ,107.6,3,120,3
5,Indiana ,107.5,4,200,5
6,Michigan ,107.4,1,126,6
7,Minnesota ,107.3,1,166,7
8,Louisville ,107.2,3,246,8
9,Illinois ,107.1,4,133,9
10,Georgetown ,107,8,176,10
11,Marquette ,106.9,6,225,11
12,Duke ,106.7,1,42,12
13,New Mexico ,106.6,9,159,14
14,San Diego St ,106.6,4,103,13
15,N Carolina ,106.6,8,146,19
16,Kansas St ,106.6,9,232,15
17,Villanova ,106.6,11,195,16
18,Notre Dame ,106.4,15,288,17
19,Cincinnati ,106.4,13,314,18
20,Kansas ,106.3,2,125,20
21,Miami (FL),106.2,4,286,26
22,Oklahoma St ,106.1,5,99,21
23,Boise State ,106.1,10,283,22
24,Baylor ,106.1,6,91,23
25,UNLV ,106,17,217,24
26,Connecticut ,106,2,103,25
27,Colorado ,106,2,60,28
28,Iowa State ,106,15,311,27
29,Pittsburgh ,105.9,11,207,29
30,Oklahoma ,105.9,7,179,30
31,UCLA ,105.8,21,243,31
32,Butler ,105.8,4,139,33
33,NC State ,105.8,8,93,32
34,Colorado St ,105.8,17,131,34
35,Fresno St ,105.8,25,193,35
36,Iowa ,105.7,17,296,37
37,Arizona ,105.7,2,264,36
38,Stanford ,105.5,2,124,38
39,Purdue ,105.5,12,209,39
40,California ,105.4,15,142,40
41,Air Force ,105.3,38,285,41
42,Florida ,105.3,3,46,46
43,USC ,105.3,15,179,42
44,Missouri ,105.2,9,256,43
45,Nebraska ,105.2,37,291,44
46,Providence ,105.2,39,324,45
47,Washington ,105,13,185,47
48,Wyoming ,104.8,46,333,48
49,Texas ,104.8,16,228,49
50,Oregon ,104.7,12,271,52
51,Maryland ,104.7,13,266,50
52,Tennessee ,104.6,12,244,53
53,Kentucky ,104.6,2,65,51
54,Penn State ,104.6,42,266,54
55,St Johns ,104.5,24,159,55
56,Northwestern ,104.5,9,293,56
57,Virginia ,104.5,22,249,57
58,Florida St ,104.5,15,120,58
59,Utah ,104.4,45,335,59
60,S Florida ,104.4,12,304,60
61,N Iowa ,104.4,13,311,61
62,VCU ,104.4,3,134,75
63,Xavier ,104.4,34,270,62
64,Rutgers ,104.4,40,300,64
65,Boston Col ,104.4,58,265,63
66,Temple ,104.4,4,216,65
67,Saint Louis ,104.4,26,185,71
68,La Salle ,104.3,40,242,66
69,Creighton ,104.3,32,255,67
70,Arizona St ,104.2,61,331,68
71,Alabama ,104.2,15,212,69
72,Nevada ,104.2,60,329,70
73,Wichita St ,104.1,18,111,72
74,Seton Hall ,104,39,291,73
75,Mississippi ,104,46,330,91
76,Gonzaga ,104,7,223,76
77,Arkansas ,104,55,338,74
78,Indiana St ,104,5,308,77
79,Wash State ,103.9,56,214,78
80,U Mass ,103.8,33,158,79
81,Vanderbilt ,103.8,10,272,80
82,St Josephs ,103.8,11,109,81
83,Oregon St ,103.8,29,304,82
84,W Virginia ,103.7,2,114,83
85,Dayton ,103.7,55,285,84
86,GA Tech ,103.7,31,275,85
87,Wake Forest ,103.7,67,279,86
88,Georgia ,103.6,40,245,87
89,VA Tech ,103.5,47,337,88
90,Illinois St ,103.5,14,227,89
91,LSU ,103.5,51,335,90
92,Clemson ,103.4,10,306,92
93,St Marys ,103.4,28,202,93
94,Texas A&M ,103.3,54,225,94
95,Evansville ,103.3,40,291,95
96,Geo Wshgtn ,103.3,77,257,96
97,Richmond ,103.2,70,303,97
98,Drake ,103.1,9,176,98
99,Charlotte ,102.8,92,326,99
100,S Mississippi ,102.8,54,251,100
101,DePaul ,102.8,94,320,101
102,BYU ,102.8,35,158,102
103,St Bonavent ,102.7,62,241,103
104,Fordham ,102.7,102,262,104
105,Missouri St ,102.6,53,319,105
106,Detroit ,102.5,23,160,106
107,Rhode Island ,102.4,62,176,107
108,Memphis ,102.3,23,294,108
109,Duquesne ,101.9,13,256,109
110,S Illinois ,101.8,90,277,110
111,Santa Clara ,101.8,3,254,111
112,TX El Paso ,101.8,11,130,112
113,Auburn ,101.8,85,322,113
114,Denver ,101.5,47,175,114
115,Texas Tech ,101.5,96,347,115
116,Iona ,101.5,94,228,116
117,Bradley ,101.5,113,325,117
118,San Fransco ,101.5,12,159,119
119,Miss State ,101.5,68,333,118
120,N Mex State ,101.4,39,154,120
121,Lg Beach St ,101.4,3,126,121
122,TX Christian ,101.3,109,341,122
123,San Diego ,101.3,115,315,123
124,Canisius ,101.2,14,314,124
125,Pacific ,101.2,7,280,125
126,Central FL ,101,10,222,126
127,Loyola Mymt ,101,59,268,128
128,Belmont ,101,1,140,127
129,UC Irvine ,101,37,248,129
130,WI-Grn Bay ,100.9,112,323,130
131,Manhattan ,100.9,16,242,131
132,Ohio ,100.9,98,338,132
133,Valparaiso ,100.8,120,310,133
134,Akron ,100.8,13,138,134
135,UAB ,100.8,9,248,135
136,E Carolina ,100.7,88,347,136
137,Harvard ,100.7,36,254,137
138,S Carolina ,100.6,91,347,138
139,Kent State ,100.6,130,255,139
140,Cal Poly ,100.5,81,296,140
141,Loyola-MD ,100.5,123,264,141
142,Niagara ,100.5,94,248,142
143,Utah State ,100.5,119,341,143
144,Wright State ,100.5,128,310,144
145,Tulsa ,100.4,63,288,145
146,Portland ,100.4,67,325,147
147,TX-Arlington ,100.4,125,259,146
148,IL-Chicago ,100.3,50,314,148
149,UCSB ,100.3,1,165,149
150,Rider ,100.3,140,279,150
151,Cleveland St ,100.2,114,301,151
152,Pepperdine ,100.2,14,279,152
153,Princeton ,100.1,59,299,153
154,Bucknell ,100.1,51,185,154
155,Youngs St ,100,88,281,156
156,Marshall ,100,25,334,155
157,Middle Tenn ,100,3,215,157
158,Buffalo ,99.9,93,265,158
159,Idaho ,99.9,86,277,159
160,LA Tech ,99.9,143,289,160
161,Miami (OH),99.9,38,286,161
162,Geo Mason ,99.9,23,165,162
163,TN State ,99.8,19,248,163
164,Fairfield ,99.8,93,187,164
165,Yale ,99.7,82,251,165
166,Loyola-Chi ,99.7,150,345,166
167,WI-Milwkee ,99.7,75,327,167
168,N Dakota St ,99.6,7,230,168
169,Lehigh ,99.6,23,178,169
170,Delaware ,99.6,14,205,170
171,S Dakota St ,99.5,83,315,171
172,Stony Brook ,99.5,56,252,172
173,Murray St ,99.5,12,202,173
174,Drexel ,99.5,74,202,174
175,S Methodist ,99.5,110,309,175
176,Marist ,99.4,76,272,176
177,UC Riverside ,99.3,106,294,178
178,Lafayette ,99.3,131,320,177
179,Boston U ,99.3,73,263,179
180,Tulane ,99.3,173,336,180
181,NW State ,99.3,13,290,181
182,W Michigan ,99.3,135,336,183
183,Oakland ,99.3,9,195,182
184,E Kentucky ,99.3,163,347,184
185,Towson ,99.3,98,327,185
186,Siena ,99.2,165,292,186
187,Cal St Nrdge ,99.2,68,328,187
188,Morehead St ,99.2,107,268,188
189,CS Fullerton ,99.1,45,268,189
190,UC Davis ,99,47,269,191
191,Vermont ,99,54,234,190
192,Florida Intl ,99,55,311,192
193,U Penn ,99,147,337,193
194,Northeastrn ,99,122,293,194
195,Davidson ,98.9,30,203,195
196,W Kentucky ,98.9,60,234,196
197,Oral Roberts ,98.9,24,197,197
198,Army ,98.9,195,341,198
199,Hawaii ,98.9,178,343,200
200,Mt St Marys ,98.9,63,323,199
201,St Peters ,98.9,130,297,201
202,Albany ,98.8,23,314,202
203,Rice ,98.7,12,344,203
204,TX-San Ant ,98.7,176,322,204
205,Bowling Grn ,98.7,126,312,205
206,Texas State ,98.6,184,344,206
207,Central Mich ,98.6,57,264,208
208,Hofstra ,98.6,153,262,207
209,Toledo ,98.5,68,276,209
210,James Mad ,98.5,19,281,210
211,Holy Cross ,98.5,194,330,211
212,Brown ,98.5,186,339,212
213,CS Bakersfld ,98.5,80,290,213
214,Columbia ,98.5,134,343,214
215,LA Monroe ,98.5,9,319,215
216,S Alabama ,98.5,1,304,216
217,San Jose St ,98.5,180,343,217
218,Georgia St ,98.5,33,301,218
219,Quinnipiac ,98.4,75,307,219
220,Maine ,98.4,211,330,220
221,AR Lit Rock ,98.4,109,310,221
222,Wagner ,98.4,35,259,222
223,E Michigan ,98.4,156,341,223
224,St Fran ,98.3,128,280,224
225,Fla Gulf Cst ,98.3,19,250,225
