Rank,Team,Rating,High,Low,Last
1,Michigan St,109.3,1,188,2
2,Villanova,108.9,1,164,1
3,Connecticut,108.6,1,234,3
4,Syracuse,108.6,1,113,4
5,Duke,108.4,1,130,5
6,N Carolina,108.2,2,130,12
7,Pittsburgh,108.2,3,131,6
8,W Virginia,108.2,1,259,8
9,Michigan,108.2,1,81,7
10,Oklahoma St,108,4,236,10
11,Purdue,108,8,250,9
12,USC,108,4,161,11
13,Wisconsin,107.8,1,72,13
14,Oklahoma,107.8,12,134,14
15,Arizona,107.7,2,307,17
16,Texas,107.7,1,111,15
17,Arizona St,107.7,7,204,18
18,Louisville,107.7,1,248,19
19,Ohio State,107.7,3,299,16
20,Florida St,107.7,4,215,20
21,Washington,107.6,8,143,21
22,Baylor,107.6,5,313,22
23,Kansas,107.5,2,189,23
24,Missouri,107.4,19,225,25
25,Illinois,107.4,13,192,24
26,Maryland,107.4,2,255,26
27,Marquette,107.3,16,299,27
28,Minnesota,107.2,17,258,28
29,California,107.2,8,249,29
30,UCLA,107.2,6,162,30
31,Georgetown,107.2,1,236,31
32,Wash State,107.1,10,327,32
33,Miami (FL),106.9,1,41,33
34,Notre Dame,106.8,4,264,35
35,Northwestern,106.7,3,289,34
36,Texas A&M,106.7,6,309,36
37,Wake Forest,106.7,6,301,37
38,Oregon,106.5,17,267,38
39,VA Tech,106.4,18,182,40
40,Tennessee,106.4,2,230,39
41,Clemson,106.3,11,162,42
42,Penn State,106.3,38,328,41
43,Stanford,106.1,5,298,43
44,Iowa,106,39,306,44
45,Indiana,106,24,272,45
46,Texas Tech,106,30,325,46
47,Virginia,105.8,38,242,47
48,Boston Col,105.7,24,199,48
49,Providence,105.6,26,324,49
50,Kansas St,105.6,14,272,50
51,Nebraska,105.5,23,264,51
52,Oregon St,105.4,49,322,52
53,Xavier,105.4,2,201,53
54,Gonzaga,105.3,1,233,54
55,NC State,105.3,41,340,55
56,Seton Hall,105.3,14,246,56
57,Utah,105.2,10,201,57
58,GA Tech,105.2,21,238,58
59,Cincinnati,105.2,8,293,59
60,Temple,105.1,2,66,60
61,Kentucky,104.9,14,227,61
62,Memphis,104.9,7,165,62
63,S Florida,104.9,38,247,63
64,LSU,104.7,60,342,64
65,San Diego St,104.7,53,162,65
66,Miss State,104.6,45,329,66
67,BYU,104.4,19,314,67
68,UNLV,104.3,52,262,68
69,St Johns,104.3,34,296,69
70,Tulsa,104.3,22,251,70
71,UAB,104.3,12,123,71
72,Florida,104.2,43,254,72
73,Auburn,104.1,72,256,73
74,Mississippi,104,56,258,74
75,Rhode Island,104,6,99,75
76,New Mexico,104,48,300,76
77,Iowa State,103.8,66,336,77
78,S Carolina,103.8,55,317,78
79,Alabama,103.7,62,320,79
80,Dayton,103.7,41,289,80
81,DePaul,103.7,22,225,81
82,Vanderbilt,103.7,59,219,82
83,Cleveland St,103.7,14,179,83
84,Duquesne,103.6,56,323,84
85,TX El Paso,103.5,33,278,85
86,Butler,103.4,5,173,86
87,N Iowa,103.2,64,302,87
88,St Marys,103,44,284,89
89,Siena,103,9,248,88
90,Colorado,103,58,334,90
91,Houston,102.9,76,321,91
92,TX Christian,102.8,44,233,92
93,St Josephs,102.8,27,175,93
94,U Mass,102.8,1,141,94
95,Arkansas,102.8,34,324,95
96,Rutgers,102.6,86,333,96
97,Wyoming,102.6,87,338,97
98,Illinois St,102.4,61,329,98
99,Northeastrn,102.3,8,190,99
100,S Illinois,102.2,27,128,100
101,Georgia,102.2,54,330,101
102,Colorado St,102.2,81,293,102
103,Charlotte,102.2,61,229,103
104,VCU,102.1,52,339,104
105,S Mississippi,102.1,23,245,105
106,La Salle,102.1,56,226,106
107,Wichita St,102,57,341,107
108,Richmond,102,3,203,108
109,Creighton,102,43,290,109
110,WI-Grn Bay,101.9,13,222,110
111,Bradley,101.9,29,199,111
