Rank,Team,Rating,High,Low,Last
1,UC Davis,113.8,1,327,1
2,GA Tech,110.1,2,208,3
3,N Carolina,109.9,2,145,2
4,Maryland,109.5,2,133,4
5,Wake Forest,109.5,2,48,5
6,NC State,109.4,2,220,6
7,Duke,109.2,3,103,7
8,Florida St,108.2,8,280,8
9,Connecticut,108.2,8,83,9
10,Alabama,108,1,86,10
11,Texas,107.9,6,268,11
12,Florida,107.6,1,180,12
13,Kansas,107.4,2,80,13
14,Pittsburgh,107.4,12,244,15
15,Oklahoma St,107.3,14,297,14
16,Kentucky,107.2,2,160,16
17,Syracuse,107.2,1,254,18
18,Vanderbilt,107.2,15,186,17
19,Illinois,107.1,7,266,21
20,Clemson,107.1,10,266,19
21,Virginia,107.1,7,301,20
22,Texas Tech,107.1,15,158,22
23,Providence,107,3,219,23
24,Wisconsin,107,3,102,24
25,Missouri,106.9,1,65,25
26,Seton Hall,106.8,3,266,26
27,Villanova,106.7,18,214,28
28,Georgia,106.6,1,305,27
29,Xavier,106.6,19,160,29
30,Michigan St,106.6,5,130,30
31,Boston Col,106.6,13,227,31
32,Notre Dame,106.4,3,297,32
33,Louisville,106.3,4,172,33
34,Iowa State,106.2,14,308,34
35,S Carolina,106.2,16,299,35
36,St Josephs,106.1,4,78,36
37,Miss State,105.9,11,277,38
38,Colorado,105.9,26,186,37
39,Oklahoma,105.9,11,258,39
40,Cincinnati,105.8,22,236,40
41,Richmond,105.7,11,278,41
42,Iowa,105.7,25,269,42
43,Memphis,105.7,6,68,43
44,Tennessee,105.6,17,303,44
45,Nevada,105.6,16,122,45
46,LSU,105.4,24,274,46
47,UAB,105.4,16,228,47
48,Charlotte,105.3,11,294,48
49,Michigan,105.3,5,157,49
50,Rutgers,105.3,16,316,51
51,Indiana,105.3,6,128,50
52,DePaul,105.2,44,234,53
53,BYU,105.2,12,226,52
54,Purdue,105.1,7,238,54
55,Nebraska,105.1,45,288,55
56,Geo Wshgtn,105,22,242,56
57,Washington,105,47,310,57
58,Auburn,104.8,24,274,58
