Rank,Team,Rating,High,Low,Last
248,Mt St Marys,97.6,36,301,247
249,Loyola-MD,97.6,140,348,249
250,Oral Roberts,97.5,39,251,251
251,Elon,97.5,64,312,250
252,S Utah,97.5,12,324,252
253,Bryant,97.4,58,253,253
254,Weber State,97.4,2,255,254
255,E Washingtn,97.2,90,326,255
256,North Dakota,97.2,5,306,259
257,F Dickinson,97.2,129,330,256
258,Montana,97.2,13,261,258
259,St Fran ,97.2,22,272,257
260,Albany,97.1,177,318,260
261,Idaho State,97,31,316,262
262,N Arizona,97,120,287,263
263,TN Tech,97,215,326,261
264,Stony Brook,96.9,92,326,264
265,N Florida,96.8,73,322,265
266,Wagner,96.8,69,296,267
267,E Illinois,96.8,139,318,266
268,Fla Gulf Cst,96.7,127,321,268
269,N Colorado,96.7,3,290,271
270,Wofford,96.7,99,299,269
271,NC-Asheville,96.6,80,288,270
272,Sacred Hrt,96.6,145,324,272
273,Navy,96.6,244,351,273
274,Lipscomb,96.5,117,318,274
275,Kennesaw St,96.5,190,324,276
276,LIU-Brooklyn,96.5,82,301,275
277,St Fran ,96.5,102,337,277
278,Sac State,96.5,26,324,279
279,W Carolina,96.4,139,326,278
280,Morgan St,96.4,74,309,281
281,High Point,96.4,91,335,282
282,Ste F Austin,96.4,78,304,288
283,Hartford,96.4,200,324,283
284,Montana St,96.4,267,349,285
285,Jksnville St,96.3,185,350,280
286,VA Military,96.3,175,347,284
287,E Tenn St,96.3,155,323,286
288,Portland St,96.2,177,341,287
289,Sam Hous St,96.2,238,332,291
290,Winthrop,96.1,27,325,289
291,NC Central,96.1,10,297,294
292,SIU Edward,96.1,131,345,290
293,Central Conn,96,136,344,292
294,Charl South,96,16,314,295
295,SE Missouri,96,60,307,293
296,Stetson,96,86,345,296
297,Austin Peay,95.9,112,344,297
298,Coastal Car,95.8,19,332,298
299,Jacksonville,95.7,87,346,299
300,McNeese St,95.7,15,302,300
301,Howard,95.7,46,345,301
302,Southern,95.7,47,321,302
303,Norfolk St,95.6,178,346,309
304,Gard-Webb,95.6,209,332,303
305,TX A&M-CC,95.6,230,347,310
306,TN Martin,95.5,57,330,304
307,Maine,95.5,128,334,305
308,N Kentucky,95.5,68,344,306
309,Massachusetts Lowell,95.5,1,351,307
310,Longwood,95.5,54,341,308
311,Abilene Christian,95.4,19,350,311
312,Coppin State,95.4,33,318,312
313,NJIT,95.3,203,351,313
314,N Hampshire,95.2,212,346,314
315,Lamar,95.2,143,338,317
316,Hampton,95.2,183,343,315
317,Houston Bap,95.2,27,340,316
318,Central Ark,95.2,225,348,318
319,NC-Grnsboro,95.1,197,349,319
320,Binghamton,95.1,254,351,320
321,Chattanooga,95,258,351,321
322,New Orleans,95,1,347,322
323,Savannah St,95,76,332,323
324,Liberty,95,200,337,324
325,Radford,94.9,284,345,325
326,Maryland BC,94.9,181,350,326
327,Citadel,94.8,309,351,327
328,TX Southern,94.7,106,347,328
329,Samford,94.6,71,339,329
330,S Car State,94.6,57,349,330
331,Nicholls St,94.6,152,346,331
332,Presbyterian,94.6,254,351,332
333,Campbell,94.5,73,350,334
334,Ark Pine Bl,94.5,75,346,333
335,App State,94.5,78,349,336
336,Maryland ES,94.5,110,346,335
337,SE Louisiana,94.5,18,346,337
338,Furman,94.5,279,349,338
339,GA Southern,94.3,89,351,339
340,Florida A&M,94.3,213,342,340
341,Beth-Cook,94.3,125,351,341
342,Jackson St,94.2,84,343,342
343,Grambling St,94.1,14,350,343
344,Incarnate Word,94.1,165,351,345
345,Delaware St,94.1,23,347,344
346,Prairie View,94,133,351,346
347,NC A&T,93.9,125,351,348
348,Miss Val St,93.9,45,351,349
349,Alcorn State,93.9,13,349,347
350,Alabama St,93.6,223,351,351
351,Alab A&M,93.6,52,351,350
