Rank,Team,Rating,High,Low,Last
1,Kansas,108.5,1,34,1
2,Michigan,107.8,1,76,2
3,Iowa State,107.4,2,107,6
4,Baylor,107.2,1,83,7
5,Wisconsin,107.2,1,63,3
6,Oklahoma St,107.2,5,228,5
7,Arizona,107.2,4,199,4
8,Florida St,107.1,3,265,12
9,Duke,107,1,156,9
10,Oklahoma,106.9,6,190,11
11,Texas,106.9,5,178,14
12,Iowa,106.9,2,308,10
13,Michigan St,106.9,1,74,8
14,Syracuse,106.9,5,301,13
15,Stanford,106.8,9,99,16
16,N Carolina,106.8,5,197,19
17,Xavier,106.7,14,179,22
18,Arizona St,106.7,10,294,15
19,Colorado,106.6,11,158,27
20,Villanova,106.6,2,225,17
21,Kansas St,106.6,16,242,18
22,Nebraska,106.6,17,281,21
23,Illinois,106.6,10,304,26
24,Maryland,106.5,20,245,20
25,Creighton,106.5,7,195,24
26,Oregon,106.5,11,206,23
27,Virginia,106.5,3,276,29
28,Minnesota,106.4,7,168,32
29,Georgetown,106.4,4,109,25
30,W Virginia,106.4,24,283,28
31,Utah,106.3,27,344,30
32,UCLA,106.3,15,207,35
33,Texas Tech,106.3,28,260,31
34,Marquette,106.3,11,264,34
35,Providence,106.3,28,306,33
36,Pittsburgh,106.2,18,271,39
37,Ohio State,106.2,2,194,37
38,Kentucky,106.1,6,141,38
39,California,106.1,6,315,36
40,St Johns,106,9,140,40
41,Indiana,105.9,8,252,42
42,Tennessee,105.8,6,110,41
43,NC State,105.8,14,283,46
44,Florida,105.7,2,100,44
45,Connecticut,105.7,16,209,47
46,Memphis,105.7,2,205,43
47,Boston Col,105.6,21,130,45
48,Clemson,105.6,28,282,50
49,Penn State,105.4,46,243,48
50,Cincinnati,105.4,17,251,56
51,Northwestern,105.3,41,302,53
52,Alabama,105.3,14,77,49
53,Missouri,105.2,39,310,63
54,Butler,105.2,19,225,51
55,U Mass,105.2,4,90,57
56,DePaul,105.2,47,262,52
57,Purdue,105.1,45,344,54
58,USC,105.1,29,222,55
59,LSU,105,4,96,66
60,Miami (FL),105,20,285,59
61,Seton Hall,105,53,284,60
62,Oregon St,105,55,288,58
63,Wake Forest,104.9,37,347,61
64,Notre Dame,104.9,18,348,65
65,BYU,104.9,1,84,64
66,Washington,104.8,34,255,62
67,Geo Wshgtn,104.8,54,273,69
68,VCU,104.7,2,95,67
69,S Methodist,104.6,17,303,70
70,Arkansas,104.6,6,238,68
71,Saint Louis,104.5,31,265,71
72,St Josephs,104.5,13,144,75
73,GA Tech,104.5,68,315,72
74,TX Christian,104.4,74,350,76
75,Wash State,104.4,51,285,73
76,Dayton,104.3,6,292,78
77,Louisville,104.3,4,312,74
78,Georgia,104.2,76,327,77
79,San Diego St,104.2,2,133,79
80,Vanderbilt,104.1,48,210,80
81,Mississippi,104.1,60,305,81
82,S Carolina,104.1,6,189,82
83,Richmond,104,49,168,83
84,New Mexico,103.9,10,219,84
85,Gonzaga,103.7,14,183,85
86,La Salle,103.7,31,279,86
87,St Bonavent,103.7,75,349,89
88,Temple,103.5,38,163,88
89,Boise State,103.5,7,338,93
90,Rhode Island,103.5,79,328,87
91,VA Tech,103.4,76,282,90
92,Geo Mason,103.3,80,334,91
93,San Fransco,103.3,65,281,92
94,Auburn,103.2,86,349,94
95,St Marys,103.1,29,202,95
96,Houston,103.1,95,342,97
97,Texas A&M,103,81,350,96
98,UNLV,102.8,40,249,102
99,Fresno St,102.7,4,118,98
100,Rutgers,102.6,70,323,99
101,N Iowa,102.6,24,135,101
102,Central FL,102.5,42,319,100
103,Utah State,102.5,38,280,103
104,Pacific,102.3,31,195,104
105,Loyola Mymt,102.3,86,319,105
106,Wyoming,102.2,52,269,106
107,Fordham,102.2,106,324,107
108,Nevada,102.1,27,199,108
109,San Diego,102,102,327,109
110,Indiana St,102,8,151,110
111,Wichita St,101.9,15,269,111
112,Portland,101.9,85,300,113
113,Pepperdine,101.9,91,346,112
114,S Florida,101.9,64,338,114
115,Duquesne,101.8,110,349,115
116,Santa Clara,101.8,65,313,116
117,San Jose St,101.7,112,309,117
118,Colorado St,101.6,1,193,118
119,Illinois St,101.6,10,165,119
120,Missouri St,101.6,91,330,120
121,E Michigan,101.5,8,292,121
122,Tulsa,101.5,9,158,123
123,S Mississippi,101.3,17,148,132
124,Miss State,101.3,123,346,124
125,WI-Grn Bay,101.3,1,165,125
126,Oakland,101.2,1,193,126
127,N Dakota St,101.1,5,207,127
128,Cleveland St,101.1,53,230,128
129,Lg Beach St,101.1,2,129,122
130,Iona,101.1,80,306,130
131,TX El Paso,101.1,3,133,129
132,S Illinois,100.9,2,310,131
133,Akron,100.8,16,182,135
134,Evansville,100.8,54,253,134
135,Middle Tenn,100.8,113,290,137
136,Denver,100.8,7,172,133
137,Ball State,100.7,36,283,136
138,LA Tech,100.7,15,169,149
139,Ohio,100.6,15,166,138
140,Drake,100.6,17,159,139
141,UCSB,100.6,2,160,140
142,Drexel,100.6,8,174,141
143,Cal Poly,100.6,22,162,148
144,Harvard,100.5,49,328,142
145,Detroit,100.5,32,179,143
146,IL-Chicago,100.4,135,327,144
147,WI-Milwkee,100.4,130,286,145
148,W Michigan,100.4,91,282,153
149,Miami (OH),100.4,1,236,146
150,Toledo,100.4,123,267,152
151,Buffalo,100.4,87,314,147
152,Manhattan,100.4,34,184,150
153,Air Force,100.3,60,350,151
154,Delaware,100.3,52,220,155
155,Bowling Grn,100.3,35,312,154
156,Canisius,100.2,132,311,159
157,S Dakota St,100.2,71,304,157
158,Valparaiso,100.2,56,203,158
159,UC Irvine,100.2,26,182,156
160,UAB,100,73,288,160
161,Northeastrn,100,21,295,161
162,Old Dominion,99.9,157,342,162
163,Bradley,99.9,115,344,163
164,Youngs St,99.8,59,302,165
165,Belmont,99.8,35,181,166
166,N Mex State,99.7,15,232,164
167,South Dakota,99.7,119,273,167
168,Wright State,99.7,27,304,168
169,Charlotte,99.7,97,330,169
170,Princeton,99.7,76,296,170
171,Loyola-Chi,99.6,125,341,171
172,Wm & Mary,99.6,166,311,173
173,Yale,99.6,107,259,174
174,LA Lafayette,99.6,9,319,172
175,Columbia,99.5,81,298,175
176,Quinnipiac,99.5,157,334,177
177,Siena,99.5,169,322,178
178,Kent State,99.5,36,278,176
179,N Illinois,99.4,169,340,179
180,Towson,99.4,73,312,180
181,IPFW,99.3,178,322,181
182,Rice,99.2,180,328,182
183,Hawaii,99.2,66,240,186
184,Boston U,99.2,78,333,185
185,IUPUI,99.2,99,313,183
186,Neb Omaha,99.2,70,327,184
187,Fla Atlantic,99.2,46,280,187
188,Niagara,99.2,138,289,188
189,NC-Wilmgton,99.2,23,250,189
190,LA Monroe,98.9,4,275,190
191,CS Fullerton,98.9,191,296,192
192,Georgia St,98.9,83,299,191
193,James Mad,98.9,108,300,193
194,U Penn,98.9,113,266,195
195,American,98.8,172,321,196
196,W Kentucky,98.8,80,285,194
197,Marshall,98.8,141,320,197
198,Fairfield,98.8,164,342,198
199,Cornell,98.8,174,343,200
200,TX-Arlington,98.8,70,325,204
201,Col Charlestn,98.8,176,306,199
202,Bucknell,98.8,14,231,201
203,Marist,98.7,107,221,203
204,North Texas,98.7,149,298,202
205,TX-San Ant,98.7,197,351,205
206,Brown,98.7,164,321,206
207,Rider,98.7,147,318,209
208,W Illinois,98.7,58,301,208
209,AR Lit Rock,98.7,81,281,211
210,S Alabama,98.6,26,222,207
211,Central Mich,98.6,125,351,210
212,Florida Intl,98.6,194,342,212
213,E Carolina,98.6,54,328,213
214,Holy Cross,98.6,105,307,214
215,Davidson,98.5,47,220,216
216,Arkansas St,98.5,162,332,215
217,Vermont,98.4,91,277,217
218,Hofstra,98.4,206,347,218
219,Cal St Nrdge,98.4,25,350,228
220,Texas State,98.3,69,276,219
221,Morehead St,98.3,37,292,220
222,UC Davis,98.2,55,335,224
223,UMKC,98.2,79,312,222
224,UC Riverside,98.2,116,345,225
225,Rob Morris,98.2,66,258,226
226,Tulane,98.2,155,339,223
227,Murray St,98.1,103,268,227
228,Utah Val St,98.1,170,349,221
229,Mercer,98.1,26,233,229
230,Grand Canyon,98.1,15,349,231
231,Chicago St,98.1,132,322,230
232,Lafayette,98.1,49,296,233
233,E Kentucky,98.1,172,323,232
234,St Peters,98,203,342,234
235,NW State,98,13,253,243
236,Colgate,97.9,57,273,235
237,CS Bakersfld,97.9,159,290,244
238,TN State,97.8,60,288,236
239,Monmouth,97.8,119,344,237
240,Army,97.7,195,351,238
241,Idaho,97.7,118,293,248
242,Seattle,97.7,122,311,239
243,Dartmouth,97.7,224,348,240
244,Lehigh,97.7,48,299,241
245,Troy,97.7,83,351,242
246,SC Upstate,97.6,25,264,245
247,TX-Pan Am,97.6,233,349,246
