Rank,Team,Rating,High,Low,Last
1,Georgetown ,109.3,1,241,1
2,W Virginia ,108.9,1,148,2
3,Villanova ,108.8,1,148,3
4,Kansas St ,108.6,1,229,4
5,Texas A&M ,108.4,1,92,5
6,Kansas ,108.1,2,148,6
7,Marquette ,108,1,295,7
8,Baylor ,107.8,5,326,8
9,Syracuse ,107.7,2,100,9
10,Connecticut ,107.7,2,178,10
11,Duke ,107.7,4,108,14
12,Louisville ,107.6,4,220,11
13,Cincinnati ,107.6,3,291,12
14,Pittsburgh ,107.6,3,174,13
15,Texas ,107.5,7,147,15
16,GA Tech ,107.4,8,214,19
17,Notre Dame ,107.4,16,254,16
18,St Johns ,107.3,12,190,17
19,Maryland ,107.3,12,173,18
20,Seton Hall ,107.1,9,255,20
21,Wisconsin ,107.1,1,278,21
22,Illinois ,107.1,18,304,22
23,Clemson ,107,12,194,23
24,Oklahoma St ,107,5,255,24
25,N Carolina ,106.9,1,162,26
26,Wake Forest ,106.9,4,236,25
27,Minnesota ,106.9,12,319,32
28,Ohio State ,106.9,9,121,30
29,Florida St ,106.8,3,180,27
30,Tennessee ,106.8,15,237,28
31,Purdue ,106.7,8,167,29
32,Missouri ,106.7,3,232,31
33,Michigan St ,106.6,1,190,33
34,Vanderbilt ,106.5,1,266,34
35,Texas Tech ,106.4,25,338,35
36,S Florida ,106.3,18,215,36
37,Providence ,106.3,30,271,37
38,Florida ,106.3,8,310,38
39,Iowa State ,106.2,36,308,39
40,NC State ,106.2,36,236,40
41,Michigan ,106.1,2,274,41
42,Xavier ,106,2,229,42
43,California ,106,1,166,43
44,Miami (FL),105.9,13,253,44
45,VA Tech ,105.9,17,235,45
46,Virginia ,105.9,42,213,46
47,Colorado ,105.9,38,314,47
48,Georgia ,105.8,19,302,48
49,Oklahoma ,105.8,8,225,49
50,Boston Col ,105.8,41,234,50
51,Kentucky ,105.7,39,269,52
52,S Carolina ,105.7,34,311,51
53,Mississippi ,105.6,11,253,53
54,Miss State ,105.5,47,339,58
55,Temple ,105.4,1,67,55
56,Alabama ,105.4,32,217,54
57,Nebraska ,105.3,38,284,56
58,Richmond ,105.2,8,247,64
59,Arizona ,105.2,7,270,57
60,Dayton ,105.1,4,82,59
61,Washington ,105,19,224,60
62,San Diego St ,105,5,82,61
63,Penn State ,104.9,35,294,62
64,USC ,104.9,6,319,63
65,Northwestern ,104.7,24,295,65
66,Arizona St ,104.7,15,302,66
67,UNLV ,104.6,23,136,67
68,UCLA ,104.6,13,221,68
69,Rhode Island ,104.5,14,208,69
70,Rutgers ,104.5,65,332,70
71,DePaul ,104.5,12,252,71
72,Stanford ,104.5,42,286,72
73,BYU ,104.3,55,264,73
74,New Mexico ,104.3,39,234,74
75,Gonzaga ,104.2,1,98,75
76,Iowa ,103.9,24,220,76
77,Auburn ,103.9,44,244,77
78,Indiana ,103.8,42,308,78
79,Saint Louis ,103.8,79,275,79
80,Charlotte ,103.7,33,193,80
81,Arkansas ,103.7,74,339,81
82,Tulsa ,103.7,34,286,82
83,Oregon ,103.5,36,311,83
84,Butler ,103.5,4,123,84
85,UAB ,103.5,55,268,85
86,Wash State ,103.5,28,345,86
87,Old Dominion ,103.4,11,337,87
88,Oregon St ,103.4,48,319,88
89,Wichita St ,103.4,71,314,89
90,Nevada ,103.4,6,217,90
91,Portland ,103.3,8,240,91
92,U Mass ,103.3,26,296,92
93,Bradley ,103.3,55,142,94
94,Memphis ,103.3,2,171,93
95,TX El Paso ,103.3,76,296,95
96,St Marys ,103.2,24,168,96
97,N Mex State ,103.2,2,190,97
98,N Iowa ,103,37,157,98
99,St Josephs ,103,36,216,99
100,Houston ,103,70,260,100
101,St Bonavent ,102.9,43,223,101
102,Marshall ,102.9,89,322,102
103,Utah ,102.9,57,254,103
104,Colorado St ,102.9,102,308,104
105,LSU ,102.9,63,266,105
106,Creighton ,102.8,13,179,106
107,Duquesne ,102.8,73,259,107
108,Wm & Mary ,102.8,4,201,108
109,Northeastrn ,102.8,4,109,109
110,Missouri St ,102.7,95,308,110
111,Indiana St ,102.7,39,213,111
112,S Mississippi ,102.5,1,279,112
113,Utah State ,102.5,51,188,113
114,Illinois St ,102.5,98,340,114
115,Wright State ,102.5,51,155,115
116,Miami (OH),102.4,19,193,116
117,Kent State ,102.4,36,213,117
118,LA Tech ,102.4,87,321,118
119,Geo Wshgtn ,102.3,81,238,119
120,TX Christian ,102.3,38,203,120
121,S Illinois ,102.2,21,238,121
122,VCU ,102,32,244,122
123,Fordham ,102,119,330,123
124,Drake ,102,102,307,124
125,Central FL ,101.9,110,332,125
126,La Salle ,101.9,57,236,126
127,Idaho ,101.9,95,221,127
128,Siena ,101.8,25,197,128
129,San Fransco ,101.8,63,324,129
130,Ohio ,101.8,66,341,130
131,Fresno St ,101.7,55,281,131
132,Lg Beach St ,101.6,1,234,132
133,San Diego ,101.5,19,144,133
134,San Jose St ,101.5,8,199,134
135,S Methodist ,101.5,23,301,135
136,Drexel ,101.5,29,254,136
137,WI-Milwkee ,101.5,78,320,137
138,Cleveland St ,101.4,37,210,138
139,E Carolina ,101.4,17,163,139
140,Akron ,101.3,129,307,140
141,Loyola Mymt ,101.2,93,335,141
142,Iona ,101.2,88,298,142
143,Weber State ,101.1,20,178,143
144,Valparaiso ,101.1,18,301,144
145,Niagara ,101.1,22,242,145
146,Hofstra ,101,38,202,146
147,Geo Mason ,101,60,287,147
148,Evansville ,101,87,334,148
149,NC-Wilmgton ,101,36,204,149
150,Fairfield ,101,144,323,150
151,W Michigan ,100.9,37,293,151
152,Bowling Grn ,100.9,20,337,152
153,Wyoming ,100.9,97,320,153
154,Pepperdine ,100.9,55,256,154
155,Detroit ,100.9,90,270,155
156,WI-Grn Bay ,100.9,38,194,156
157,Boise State ,100.8,147,341,157
158,Buffalo ,100.8,62,287,158
159,IL-Chicago ,100.8,91,256,159
160,Cornell ,100.7,12,232,160
161,Rider ,100.6,65,254,161
162,Air Force ,100.6,129,343,162
163,Montana ,100.6,82,346,163
164,Pacific ,100.5,47,248,164
165,Portland St ,100.5,57,201,165
166,Delaware ,100.5,83,327,166
167,Santa Clara ,100.5,80,246,167
168,Wofford ,100.4,8,248,168
169,UCSB ,100.3,122,317,169
170,Hawaii ,100.2,166,326,170
171,Oakland ,100.2,30,293,171
172,Tulane ,100.2,50,235,172
173,Loyola-Chi ,100.2,71,194,173
174,IUPUI ,100.1,89,243,174
175,Oral Roberts ,100.1,13,247,175
176,Idaho State ,100,2,185,176
177,Toledo ,100,68,313,177
178,Col Charlestn ,99.9,135,258,178
179,Youngs St ,99.9,24,241,179
180,App State ,99.9,71,296,180
181,Montana St ,99.8,29,232,181
182,Georgia St ,99.7,30,302,183
183,Davidson ,99.7,1,184,182
184,Marist ,99.6,114,299,184
185,Manhattan ,99.6,152,332,185
186,Towson ,99.6,172,304,186
187,NC-Grnsboro ,99.6,1,257,187
188,James Mad ,99.6,14,344,189
189,Central Mich ,99.6,181,335,188
190,W Carolina ,99.6,3,260,190
191,N Arizona ,99.5,28,246,191
192,Canisius ,99.5,115,310,192
193,St Peters ,99.5,55,312,193
194,E Michigan ,99.5,119,318,194
195,Rice ,99.5,106,339,195
196,GA Southern ,99.5,3,325,196
197,W Kentucky ,99.4,86,264,197
198,Morehead St ,99.4,105,306,198
199,Cal St Nrdge ,99.4,42,218,199
200,E Washingtn ,99.3,85,302,200
201,E Tenn St ,99.3,63,293,201
202,Seattle ,99.3,1,347,202
203,Harvard ,99.3,22,290,203
204,Sac State ,99.1,146,336,204
205,Troy ,99.1,5,335,206
206,UC Davis ,99.1,205,346,205
207,Ball State ,99,177,346,207
208,CS Fullerton ,99,35,278,208
209,Citadel ,99,132,307,209
210,N Colorado ,98.9,180,326,210
211,Sam Hous St ,98.9,50,217,211
212,Jacksonville ,98.9,4,256,212
213,CS Bakersfld ,98.8,186,336,213
214,N Illinois ,98.8,38,336,214
215,Samford ,98.8,14,281,215
216,UC Riverside ,98.8,17,267,216
217,Cal Poly ,98.7,113,264,217
218,Loyola-MD ,98.7,50,303,218
219,TX A&M-CC ,98.7,22,313,219
220,Austin Peay ,98.7,49,221,220
221,Boston U ,98.6,55,252,221
222,Belmont ,98.6,85,242,222
223,Elon ,98.6,56,291,223
224,Murray St ,98.3,51,258,224
225,Fla Atlantic ,98.2,134,322,225
226,Mercer ,98.2,114,312,226
227,TN State ,98.1,149,310,227
228,Princeton ,98.1,166,313,228
229,AR Lit Rock ,98.1,2,236,229
230,E Kentucky ,98,18,292,230
231,Middle Tenn ,98,93,283,231
232,Campbell ,97.9,194,344,232
233,TN Tech ,97.9,190,335,233
234,Denver ,97.8,158,321,234
235,Lipscomb ,97.8,203,346,235
236,Arkansas St ,97.8,91,346,236
237,Chattanooga ,97.8,73,337,237
238,UC Irvine ,97.8,12,260,238
239,SC Upstate ,97.7,112,345,239
240,Texas State ,97.7,102,278,240
241,Florida Intl ,97.7,143,344,241
242,E Illinois ,97.7,232,333,242
243,Nicholls St ,97.6,18,252,243
244,N Dakota St ,97.6,146,320,244
245,S Dakota St ,97.5,71,263,245
246,N Florida ,97.5,59,304,246
247,LA Lafayette ,97.5,66,338,247
248,North Texas ,97.5,115,311,248
249,S Alabama ,97.4,183,340,249
250,Vermont ,97.3,72,269,250
251,TX-San Ant ,97.3,53,268,251
252,Furman ,97.2,227,343,253
253,S Utah ,97.2,162,344,252
254,Winthrop ,97.1,114,339,254
255,Binghamton ,97.1,19,269,255
256,SE Louisiana ,97.1,179,344,256
257,Ste F Austin ,97,37,333,257
258,Stetson ,97,24,324,258
259,IPFW ,97,4,324,259
260,Maine ,96.9,249,341,261
261,Morgan St ,96.9,112,283,260
262,McNeese St ,96.9,91,331,262
263,Centenary ,96.8,124,344,263
264,SE Missouri ,96.8,150,294,264
265,TN Martin ,96.8,9,297,265
266,LA Monroe ,96.8,215,340,266
267,Rob Morris ,96.7,27,335,267
268,Kennesaw St ,96.7,4,342,268
269,Radford ,96.6,61,306,269
270,New Orleans ,96.6,159,337,270
271,Mt St Marys ,96.6,103,286,271
272,Lamar ,96.6,155,345,272
273,SIU Edward ,96.5,1,344,273
274,Stony Brook ,96.5,126,346,274
275,Holy Cross ,96.4,22,295,275
276,Jksnville St ,96.4,189,343,276
277,NC Central ,96.3,176,322,277
278,Albany ,96.3,147,335,278
279,U Penn ,96.2,8,336,279
280,UMKC ,96.2,195,347,280
281,W Illinois ,96.1,49,340,281
282,N Hampshire ,96.1,25,324,282
283,TX-Arlington ,96.1,175,347,283
284,Fla Gulf Cst ,96.1,18,346,284
285,Presbyterian ,96.1,25,311,285
286,NW State ,96.1,175,344,286
287,Liberty ,96,5,313,287
288,Yale ,96,171,321,288
289,Maryland BC ,95.9,162,333,289
290,NC-Asheville ,95.8,16,342,290
291,Brown ,95.7,116,324,291
292,Longwood ,95.7,141,339,292
293,Central Ark ,95.6,230,346,293
294,Gard-Webb ,95.5,8,346,294
295,VA Military ,95.5,61,326,295
296,Bucknell ,95.4,207,333,296
297,Charl South ,95.3,49,331,297
298,Hartford ,95.3,154,339,298
299,Dartmouth ,95.3,33,335,299
300,Savannah St ,95.2,263,345,300
301,Norfolk St ,95.1,177,331,301
302,Hampton ,95.1,83,327,302
303,Lehigh ,95,90,335,303
304,Coastal Car ,95,51,318,304
305,American ,95,234,345,305
306,Navy ,94.9,228,339,306
307,S Car State ,94.9,229,347,307
308,Howard ,94.9,149,333,308
309,NC A&T ,94.9,62,339,309
310,Colgate ,94.7,161,343,310
311,Columbia ,94.7,103,338,311
312,Army ,94.7,173,324,312
313,Lafayette ,94.7,298,346,313
314,Delaware St ,94.7,272,347,314
315,Ark Pine Bl ,94.6,1,340,315
316,High Point ,94.6,15,345,316
317,Wins-Salem ,94.5,133,340,317
318,Florida A&M ,94.4,81,335,318
319,Quinnipiac ,94.4,231,333,319
320,LIU-Brooklyn ,94.3,122,335,320
321,TX-Pan Am ,94.2,71,340,321
322,Bryant ,94.1,122,330,322
323,Coppin State ,94.1,105,326,323
324,Monmouth ,94.1,237,338,324
325,South Dakota ,94,1,347,325
326,Maryland ES ,94,154,346,326
327,Beth-Cook ,94,104,343,327
328,F Dickinson ,93.8,73,341,328
329,St Fran ,93.8,272,345,329
330,Sacred Hrt ,93.5,264,343,330
331,TX Southern ,93.2,4,341,331
332,Jackson St ,93.2,50,344,332
333,Wagner ,93.1,258,344,333
334,St Fran ,92.9,234,346,334
335,Alabama St ,92.9,31,343,335
336,Central Conn ,92.7,251,344,336
337,Chicago St ,92.6,64,341,337
338,Houston Bap ,92.6,239,346,338
339,Miss Val St ,92.5,33,344,339
340,Alcorn State ,92.1,169,344,340
341,North Dakota ,92,123,346,341
342,Prairie View ,92,26,345,342
343,Utah Val St ,91.9,227,345,343
344,NJIT ,91.8,263,347,344
345,Grambling St ,91.1,167,347,345
346,Alab A&M ,90.9,125,347,346
347,Southern ,90.8,67,347,347
