Rank,Team,Rating,High,Low,Last
1,Michigan St ,108.3,1,69,1
2,Ohio State ,108.1,1,106,4
3,Michigan ,107.8,1,329,2
4,Baylor ,107.8,1,319,3
5,Wisconsin ,107.5,3,288,5
6,Kansas ,107.5,1,168,6
7,Indiana ,107.1,2,309,7
8,Texas ,106.8,5,291,8
9,Duke ,106.8,1,107,9
10,Kansas St ,106.7,1,329,10
11,Louisville ,106.7,5,274,11
12,Purdue ,106.7,7,192,12
13,Vanderbilt ,106.7,8,90,21
14,Florida ,106.6,1,173,13
15,Florida St ,106.6,7,257,22
16,Georgetown ,106.5,4,281,14
17,N Carolina ,106.5,3,115,17
18,Missouri ,106.4,8,267,15
19,Marquette ,106.4,7,269,16
20,Connecticut ,106.3,1,276,18
21,Iowa State ,106.3,15,213,19
22,Northwestern ,106.2,3,257,20
23,Kentucky ,106.2,5,126,24
24,Notre Dame ,106,10,272,23
25,W Virginia ,105.9,2,227,25
26,Cincinnati ,105.8,15,343,26
27,Illinois ,105.8,2,325,27
28,Syracuse ,105.7,13,329,28
29,S Florida ,105.7,22,272,29
30,Minnesota ,105.7,14,217,30
31,Oklahoma St ,105.6,21,303,31
32,Alabama ,105.4,8,196,32
33,Tennessee ,105.3,29,285,33
34,Miami (FL),105.2,21,263,34
35,Villanova ,105.2,19,312,35
36,Seton Hall ,105.1,19,247,36
37,Mississippi ,105,36,326,37
38,Pittsburgh ,105,18,285,38
39,NC State ,105,29,306,39
40,Virginia ,104.9,32,343,41
41,Iowa ,104.9,32,341,40
42,Xavier ,104.9,30,277,42
43,Georgia ,104.7,39,205,43
44,Penn State ,104.7,7,337,44
45,Temple ,104.6,12,106,45
46,Nebraska ,104.5,33,266,46
47,Oklahoma ,104.5,18,341,47
48,Marshall ,104.5,13,344,48
49,VA Tech ,104.4,22,240,51
50,Memphis ,104.4,4,118,49
51,UNLV ,104.4,2,290,50
52,LSU ,104.3,34,299,52
53,Texas A&M ,104.3,37,340,53
54,San Diego St ,104.1,12,280,54
55,St Josephs ,104.1,36,185,55
56,St Johns ,104,12,328,56
57,Miss State ,103.9,44,238,57
58,Colorado St ,103.9,47,205,58
59,N Iowa ,103.8,2,112,59
60,Rutgers ,103.8,40,324,60
61,Providence ,103.7,43,297,61
62,Maryland ,103.7,20,264,62
63,Saint Louis ,103.6,44,267,63
64,Dayton ,103.6,24,293,64
65,Wichita St ,103.6,23,137,65
66,S Mississippi ,103.5,1,117,66
67,St Bonavent ,103.5,3,263,73
68,New Mexico ,103.5,43,216,67
69,Creighton ,103.4,19,317,68
70,Duquesne ,103.4,5,131,70
71,Missouri St ,103.4,6,156,69
72,Central FL ,103.4,1,212,71
73,California ,103.3,1,255,72
74,Colorado ,103.3,2,180,74
75,UAB ,103.2,9,127,75
76,Arizona ,103.2,18,104,76
77,U Mass ,103.1,56,315,77
78,Washington ,103.1,12,254,78
79,La Salle ,103.1,42,278,79
80,Auburn ,103.1,76,342,80
81,UCLA ,103,39,205,81
82,Clemson ,103,31,292,84
83,Arkansas ,103,68,305,82
84,Gonzaga ,103,20,254,83
85,Texas Tech ,102.9,72,333,85
86,Evansville ,102.9,42,324,86
87,Wyoming ,102.9,82,319,87
88,Richmond ,102.9,69,184,89
89,Oregon ,102.8,10,165,90
90,S Carolina ,102.8,46,277,88
91,Akron ,102.8,1,152,91
92,Tulsa ,102.8,54,305,92
93,Drake ,102.8,48,166,93
94,DePaul ,102.7,73,342,94
95,Illinois St ,102.7,86,330,95
96,Indiana St ,102.6,74,280,96
97,St Marys ,102.6,2,109,97
98,Stanford ,102.6,34,324,99
99,TX Christian ,102.5,19,297,100
100,Lg Beach St ,102.5,1,217,98
101,Boise State ,102.5,96,333,101
102,Geo Wshgtn ,102.5,67,308,102
103,GA Tech ,102.4,54,334,104
104,BYU ,102.4,3,280,103
105,Charlotte ,102.3,37,324,105
106,Oregon St ,102.3,49,320,106
107,Buffalo ,102.3,45,338,107
108,E Carolina ,102.2,23,289,108
109,TX El Paso ,102.1,95,327,109
110,USC ,102,34,236,110
111,S Illinois ,101.8,44,343,111
112,Rice ,101.7,105,344,112
113,Air Force ,101.7,91,345,113
114,Rhode Island ,101.7,12,237,115
115,Wash State ,101.7,16,237,114
116,Cleveland St ,101.6,1,129,117
117,Wake Forest ,101.6,109,334,116
118,Boston Col ,101.6,13,332,120
119,Old Dominion ,101.6,34,289,118
120,Utah ,101.5,6,343,121
121,Butler ,101.5,11,260,119
122,Bowling Grn ,101.5,82,331,122
123,Ohio ,101.4,5,324,123
124,VCU ,101.3,53,300,124
125,Princeton ,101.3,90,235,125
126,Bradley ,101.3,91,324,126
127,WI-Grn Bay ,101.2,8,143,127
128,Miami (OH),101.1,4,194,128
129,Detroit ,101,11,252,129
130,Middle Tenn ,101,68,285,132
131,U Penn ,101,101,328,131
132,S Methodist ,101,79,302,130
133,Kent State ,101,9,215,133
134,Belmont ,101,1,184,134
135,Loyola Mymt ,101,37,231,135
136,Harvard ,100.9,8,210,136
137,WI-Milwkee ,100.9,56,314,137
138,Valparaiso ,100.9,12,165,138
139,Fordham ,100.9,8,343,139
140,Portland ,100.8,10,204,140
141,Fairfield ,100.8,53,254,141
142,N Mex State ,100.7,11,249,142
143,San Fransco ,100.7,117,311,143
144,UCSB ,100.5,11,254,144
145,Oakland ,100.5,1,151,145
146,Geo Mason ,100.5,74,339,146
147,Iona ,100.5,24,204,149
148,Arizona St ,100.5,68,342,148
149,Oral Roberts ,100.5,6,265,147
150,Cornell ,100.3,57,329,150
151,Youngs St ,100.3,101,335,152
152,Wright State ,100.3,3,184,151
153,W Michigan ,100.3,8,220,154
154,Utah State ,100.3,16,203,153
155,Drexel ,100.3,51,232,155
156,Yale ,100.2,144,317,158
157,Houston ,100.2,130,340,156
