Rank,Player,Team,Pos,Efficiency
1,Jon Avery,Indiana - Purdue Jaguars,F,67.9%
2,Billy White,San Diego St. Aztecs,F,67.9%
3,Demetrius Young,Stony Brook Seawolves,C,67.4%
4,Jeff Pendergraph,Arizona St. Sun Devils,F,66.6%
5,Chinemelu Elonu,Texas A&M Aggies,C,66.5%
6,Kurt Cunningham,Boise St. Broncos,C,65.9%
7,Jared Stohl,Portland Pilots,G,65.9%
8,Arinze Onuaku,Syracuse Orange,F,65.2%
9,T.J Campbell,Portland Pilots,G,64.9%
10,Blake Griffin,Oklahoma Sooners,F,64.8%
11,Hasheem Thabeet,Connecticut Huskies,C,64.7%
12,Jabril Banks,Northern Colorado Bears,F,64.4%
13,B.J. Mullens,Ohio St Buckeyes,C,64.3%
14,Jeremy Evans,Western Kentucky Hilltoppers,F,64.2%
15,Ayron Hardy,Jacksonville Dolphins,F,64.2%
16,Keith Benson,Oakland Golden Grizzlies,C,63.8%
17,Brian Gilmore,American U. Eagles,F,63.4%
18,Joey Henley,Sacred Heart Pioneers,F,63.2%
19,Carl Montgomery,Chicago St. Cougars,F,63.1%
20,Matt Lawrence,Missouri Tigers,G,62.8%
21,Rick Jackson,Syracuse Orange,F,62.7%
22,Bryan LeDuc,Pacific Tigers,F,62.7%
23,Ryan Rossiter,Siena Saints,F,62.2%
24,Michael Tveidt,North Dakota State Bison,F,62.1%
25,Dexter Pittman,Texas Longhorns,C,62.1%
26,Dinma Odiakosa,Illinois St. Redbirds,F,62.1%
27,Marqus Blakely,Vermont Catamounts,F,62.1%
28,Jamar Abrams,East Carolina Pirates,G,62.0%
29,Richard Kuksiks,Arizona St. Sun Devils,G,61.8%
30,Matt Holland,Air Force Falcons,F,61.8%
31,Taj Gibson,Southern California Trojans,F,61.8%
32,Alex Renfroe,Belmont Bruins,G,61.7%
33,Devon Beitzel,Northern Colorado Bears,G,61.7%
34,Gordon Hayward,Butler Bulldogs,G,61.6%
35,Auryn MacMillan,Gardner-Webb Runnin' Bulldogs,C,61.6%
36,Lavoy Allen,Temple Owls,F,61.4%
37,Aaron Jackson,Duquesne Dukes,G,61.4%
37,Chavis Holmes,VMI Keydets,G,61.4%
