Rank,Player,Team,Pos,Efficiency
39,Booker Woodfox,Creighton Bluejays,G,61.3%
40,Ty Lawson,North Carolina Tar Heels,G,61.2%
41,Shaun Green,Utah Utes,F,61.1%
42,Marcus Lewis,Oral Roberts Golden Eagles,F,61.0%
43,Andrew Nicholson,St. Bonaventure Bonnies,F,60.9%
44,Rob Lewis,Denver Pioneers,F,60.8%
45,Jimmy Baron,Rhode Island Rams,G,60.8%
46,Josh Shipp,UCLA Bruins,F,60.7%
47,Brandon Hazzard,Troy Trojans,G,60.5%
48,Ahmad Nivins,St. Joseph's Hawks,F,60.3%
49,Sean Ogirri,Wyoming Cowboys,G,60.3%
50,Brian Stafford,Denver Pioneers,G,60.3%
51,Patrick Sullivan,Southeastern Louisiana Lions,C,60.3%
52,Desmond Yates,Middle Tennessee St. Blue Raiders,F,60.3%
53,Reggie Fuller,Binghamton Bearcats,F,60.2%
54,Luke Nevill,Utah Utes,C,60.1%
55,Issac Butts,Appalachian St. Mountaineers,C,60.0%
55,Noah Dahlman,Wofford Terriers,F,60.0%
55,Andrew Keister,Holy Cross Crusaders,F,60.0%
58,Josh Taylor,Eastern Kentucky Colonels,F,60.0%
59,TJ Robinson,Long Beach St. 49ers,F,59.9%
60,Jeremy Caldwell,Jackson State Tigers,C,59.9%
61,Jason Johnson,South Carolina State Bulldogs,C,59.8%
61,Robert Glenn,Indiana - Purdue Jaguars,F,59.8%
63,Orlando Mendez-Valdez,Western Kentucky Hilltoppers,G,59.7%
64,Trevor Booker,Clemson Tigers,F,59.7%
65,Troy Cotton,Green Bay Phoenix,G,59.7%
66,Patrick Patterson,Kentucky Wildcats,F,59.7%
67,Matt Mullery,Brown Bears,F,59.7%
68,Paul Delaney,UAB Blazers,G,59.6%
69,Juwann James,James Madison Dukes,F,59.6%
70,Alex Tyus,Florida Gators,F,59.6%
71,Stephen McDowell,Chattanooga Mocs,G,59.4%
72,Demetrius Nelson,Citadel Bulldogs,F,59.4%
73,Ryan Ayers,Notre Dame Fighting Irish,G,59.4%
74,DeJuan Blair,Pittsburgh Panthers,F,59.3%
75,Ryan Wittman,Cornell Big Red,F,59.2%
76,Manny Adako,Northeastern Huskies,F,59.1%
77,Adnan Hodzic,Lipscomb Bison,C,59.1%
78,Justin Rutty,Quinnipiac Bobcats,F,59.0%
79,Erik Kangas,Oakland Golden Grizzlies,G,59.0%
80,Bill Clark,Duquesne Dukes,F,59.0%
81,Mike Rose,Eastern Kentucky Colonels,G,59.0%
82,Jerome Randle,California Golden Bears,G,59.0%
83,Jon Diebler,Ohio St Buckeyes,G,59.0%
84,Cole Aldrich,Kansas Jayhawks,C,58.9%
85,Ryan Tillema,Green Bay Phoenix,G,58.9%
86,Zach Urbanus,Citadel Bulldogs,G,58.9%
87,Anthony Vereen,Texas-Arlington Mavericks,F,58.9%
88,Jay Tunnell,Indiana St. Sycamores,C,58.8%
89,Chief Kickingstallion,Alabama St. Hornets,C,58.7%
90,Brent Benson,Texas State Bobcats,G,58.7%
91,Brandon Davis,South Alabama Jaguars,F,58.6%
92,Jerome Jordan,Tulsa Golden Hurricane,C,58.5%
93,Anatoly Bose,Nicholls State Colonels,G,58.5%
94,Joseph Harris,Coastal Carolina Chanticleers,F,58.4%
95,Brandon Brooks,Alabama St. Hornets,G,58.4%
96,Clevin Hannah,Wichita St. Shockers,G,58.4%
97,Damian Saunders,Duquesne Dukes,F,58.4%
98,B.J. Raymond,Xavier Musketeers,F,58.3%
99,Tai Wesley,Utah St. Aggies,F,58.3%
100,John Bryant,Santa Clara Broncos,C,58.2%
