Rank,Player,Team,Pos,Efficiency
1,Chris Otule,Marquette Golden Eagles,C,84.1%
2,Shane Johannsen,Northern Arizona Lumberjacks,F,72.7%
3,Jon Diebler,Ohio St Buckeyes,G,70.6%
4,Alejo Rodriguez,Iona Gaels,F,69.9%
5,J.R. Cadot,Texas Christian Horned Frogs,G,66.8%
6,Bernard James,Florida St. Seminoles,F,65.7%
7,Kyle Kuric,Louisville Cardinals,G,65.2%
8,Derrick Williams,Arizona Wildcats,F,65.0%
9,Alfred Jones,Tennessee Tech Golden Eagles,F,64.9%
10,Bryson Johnson,Bucknell Bison,G,64.6%
11,Will Hudson,Oakland Golden Grizzlies,F,64.5%
12,Drew Valentine,Oakland Golden Grizzlies,F,64.2%
13,Jordan Dykstra,South Dakota State Jackrabbits,F,63.7%
14,Levi Knutson,Colorado Buffaloes,G,63.6%
15,Tony Meier,Wis.-Milwaukee Panthers,F,63.6%
16,Andre Dawkins,Duke Blue Devils,G,63.5%
17,Brian Green,Utah St. Aggies,G,63.5%
18,William Mosley,Northwestern St. Demons,C,63.4%
19,Eric Platt,Northern Arizona Lumberjacks,G,63.4%
20,Trent Wiedeman,Charleston Cougars,F,63.3%
21,Jeff Ledbetter,Idaho Vandals,G,63.1%
22,Javon McCrea,Buffalo Bulls,F,63.1%
23,Leon Powell,SE Missouri St. Redhawks,F,63.0%
24,Christian Siakam,Indiana - Purdue Jaguars,F,62.9%
25,Brock Motum,Washington St. Cougars,F,62.7%
26,Markieff Morris,Kansas Jayhawks,F,62.7%
27,Jordan Morgan,Michigan Wolverines,F,62.7%
28,Brian Qvale,Montana Grizzlies,C,62.6%
29,Gary Clark,Wake Forest Demon Deacons,G,62.6%
30,Kenneth Faried,Morehead St. Eagles,F,62.3%
31,Robert Nyakundi,Southern Methodist Mustangs,F,62.2%
32,Scott Bamforth,Weber St. Wildcats,G,62.1%
33,Thomas Coleman,No.Carolina A&T Aggies,C,61.9%
34,Keaton Nankivil,Wisconsin Badgers,F,61.8%
35,Justin Harper,Richmond Spiders,F,61.8%
36,Jeremy Simmons,Charleston Cougars,F,61.7%
37,Josh Harrellson,Kentucky Wildcats,F,61.5%
38,Andre Roberson,Colorado Buffaloes,G,61.5%
39,Mickey McConnell,St. Mary's Gaels,G,61.4%
40,Brian Stafford,Denver Pioneers,G,61.3%
41,Nikola Malesevic,Rhode Island Rams,F,61.3%
42,Ryan Broekhoff,Valparaiso Crusaders,G,61.2%
43,Fred Hunter,Nicholls State Colonels,G,61.2%
44,John Fraley,Austin Peay Governors,C,61.2%
45,Noah Dahlman,Wofford Terriers,F,61.2%
46,Kyle Barone,Idaho Vandals,C,61.1%
47,Michael Glover,Iona Gaels,F,61.0%
48,Gregory Echenique,Creighton Bluejays,C,60.9%
49,Ashton Gibbs,Pittsburgh Panthers,G,60.9%
50,Tai Wesley,Utah St. Aggies,F,60.7%
51,Nemanja Mitrovic,Portland Pilots,G,60.6%
52,Zach Filzen,Buffalo Bulls,G,60.6%
53,Noah States,Furman Paladins,F,60.5%
54,Travis Bader,Oakland Golden Grizzlies,G,60.4%
