Rank,Player,Team,Pos,Efficiency
1,Blake Griffin,Oklahoma Sooners,F,28.88
2,John Bryant,Santa Clara Broncos,C,28.36
3,Lester Hudson,Tenn-Martin Skyhawks,G,26.45
4,Ahmad Nivins,St. Joseph's Hawks,F,25.82
5,Luke Harangody,Notre Dame Fighting Irish,F,24.83
6,DeJuan Blair,Pittsburgh Panthers,F,24.38
7,Chavis Holmes,VMI Keydets,G,24.35
8,Cole Aldrich,Kansas Jayhawks,C,24.15
9,Kenneth Faried,Morehead St. Eagles,F,23.97
10,Stephen Curry,Davidson Wildcats,G,23.93
11,Patrick Patterson,Kentucky Wildcats,F,23.77
12,Hasheem Thabeet,Connecticut Huskies,C,23.03
13,Joseph Harris,Coastal Carolina Chanticleers,F,22.81
14,Trevor Booker,Clemson Tigers,F,22.75
15,David Holston,Chicago St. Cougars,G,22.66
16,Tony Gaffney,Massachusetts Minutemen,F,22.28
17,Aaron Jackson,Duquesne Dukes,G,22.27
18,Drake Reed,Austin Peay Governors,F,22.23
19,Jordan Hill,Arizona Wildcats,F,22.17
20,Tyler Hansbrough,North Carolina Tar Heels,F,22.15
21,Luke Nevill,Utah Utes,C,22.13
22,Marqus Blakely,Vermont Catamounts,F,22.10
23,Travis Holmes,VMI Keydets,G,22.05
24,Artsiom Parakhouski,Radford Highlanders,C,21.57
25,Jermaine Taylor,Central Florida Knights,G,21.50
26,Alex Renfroe,Belmont Bruins,G,21.42
27,Ben Woodside,North Dakota State Bison,G,21.40
28,Ty Lawson,North Carolina Tar Heels,G,21.29
29,Craig Brackins,Iowa St. Cyclones,F,21.28
30,Eric Maynor,VCU Rams,G,21.17
31,Keith Benson,Oakland Golden Grizzlies,C,21.00
32,Taj Gibson,Southern California Trojans,F,20.77
33,Jeff Pendergraph,Arizona St. Sun Devils,F,20.73
34,Evan Turner,Ohio St Buckeyes,G,20.34
35,Brett Winkelman,North Dakota State Bison,F,20.30
36,Jarvis Varnado,Mississippi St. Bulldogs,F,20.26
37,Omar Samhan,St. Mary's Gaels,C,20.09
38,Nick Calathes,Florida Gators,G,20.06
39,Marcus Thornton,Louisiana State Tigers,G,20.00
40,Ryan Toolson,Utah Valley Wolverines,G,19.92
41,Anthony Vereen,Texas-Arlington Mavericks,F,19.89
42,Ryan Thompson,Rider Broncs,G,19.86
43,Kevin Tiggs,East Tennessee St. Buccaneers,G,19.79
44,Lee Cummard,Brigham Young Cougars,G,19.71
45,Darryl Proctor,MD Baltimore Cty Retrievers,F,19.69
46,James Johnson,Wake Forest Demon Deacons,F,19.62
47,Terrence Williams,Louisville Cardinals,F,19.61
48,James Harden,Arizona St. Sun Devils,G,19.61
49,Diamon Simpson,St. Mary's Gaels,F,19.56
50,Aubrey Coleman,Houston Cougars,G,19.52
51,Jon Brockman,Washington Huskies,F,19.50
52,Stefon Jackson,Texas-El Paso Miners,G,19.41
53,Michael Washington,Arkansas Razorbacks,F,19.41
54,Jeremy Chappell,Robert Morris Colonials,G,19.32
55,Jerome Jordan,Tulsa Golden Hurricane,C,19.30
56,Damian Saunders,Duquesne Dukes,F,19.17
57,Mike Rose,Eastern Kentucky Colonels,G,19.13
58,DeMarre Carroll,Missouri Tigers,F,18.91
59,Lavoy Allen,Temple Owls,F,18.90
60,Jeremy Lin,Harvard Crimson,G,18.88
61,Jodie Meeks,Kentucky Wildcats,G,18.88
62,Emmanuel Jones,Texas-Pan American Broncs,F,18.87
63,John Cantrell,Chicago St. Cougars,F,18.75
64,Bobby Davis,South Carolina Upstate Spartans,F,18.67
65,Paul Delaney,UAB Blazers,G,18.66
66,Chase Budinger,Arizona Wildcats,F,18.58
67,Kevin Palmer,Texas A&M CC Islanders,G,18.55
68,Matt Mullery,Brown Bears,F,18.52
69,Justin Rutty,Quinnipiac Bobcats,F,18.52
70,Gary Wilkinson,Utah St. Aggies,F,18.50
71,Tasmin Mitchell,Louisiana State Tigers,F,18.45
72,Mike Smith,East Tennessee St. Buccaneers,G,18.45
74,Troy Jackson,Alcorn St. Braves,PG,18.42
75,Noah Dahlman,Wofford Terriers,F,18.41
76,Mark Payne,UC Davis Aggies,G,18.40
77,Kyle Singler,Duke Blue Devils,F,18.29
78,A.D. Vassallo,Virginia Tech Hokies,F,18.29
79,Jerome Tillman,Ohio Bobcats,F,18.27
79,Tywain McKee,Coppin St. Eagles,G,18.27
81,Joey Henley,Sacred Heart Pioneers,F,18.21
82,Toney Douglas,Florida St. Seminoles,G,18.13
83,Manny Harris,Michigan Wolverines,G,18.12
84,Matt Howard,Butler Bulldogs,F,18.07
85,Luke Babbitt,Nevada Wolf Pack,F,18.03
86,Marc Egerson,Delaware Blue Hens,G,18.00
87,Brandon Brooks,Alabama St. Hornets,G,17.96
88,Mac Hopson,Idaho Vandals,G,17.93
89,Demetrius Nelson,Citadel Bulldogs,F,17.90
90,Jerel McNeal,Marquette Golden Eagles,G,17.88
91,Wesley Matthews,Marquette Golden Eagles,G,17.85
92,Ryan Rossiter,Siena Saints,F,17.81
93,Matt Kingsley,Stephen F. Austin Lumberjacks,C,17.77
94,Brandon Ewing,Wyoming Cowboys,G,17.74
95,Gordon Hayward,Butler Bulldogs,G,17.73
96,Wendell McKines,New Mexico St. Aggies,F,17.72
97,Damion James,Texas Longhorns,F,17.72
98,Adnan Hodzic,Lipscomb Bison,C,17.70
99,Robert Dozier,Memphis Tigers,F,17.68
100,Earl Clark,Louisville Cardinals,G,17.67
101,Bilal Benn,Niagara Purple Eagles,G,17.61
