Team,Player,Height,Weight,Age
Air Force,Tim Anderson,75,183,Freshman
Air Force,Caleb Buchanan,79,235,Junior
Air Force,Jacob Burtschi,78,225,Sophomore
Air Force,Jared Dillinger,77,200,Sophomore
Air Force,John Frye,82,215,Sophomore
Air Force,Marc Holum,78,210,Junior
Air Force,Adam Hood,73,181,Freshman
Air Force,Antoine Hood,76,200,Junior
Air Force,Tim Keller,75,185,Senior
Air Force,Eric Kenzik,80,208,Freshman
Air Force,Keith Maren,80,240,Freshman
Air Force,Matt McCraw,74,185,Sophomore
Air Force,Dan Nwaelele,77,206,Sophomore
Air Force,David Peterson,80,205,Senior
Air Force,Chris Swan,75,205,Freshman
Air Force,Ryan Teets,78,200,Sophomore
Air Force,Nick Welch,80,212,Junior
Akron,Mario Collins,67,165,Sophomore
Akron,Matt Futch,80,255,Sophomore
Akron,Nick Goddard,72,170,Freshman
Akron,Dru Joyce,72,165,Sophomore
Akron,Maurice Kanaan,77,210,Freshman
Akron,Rick McFadden,79,200,Junior
Akron,Nick Meyers,81,230,Senior
Akron,Cedrick Middleton,72,185,Freshman
Akron,Quade Milum,79,180,Freshman
Akron,Darryl Peterson,77,220,Senior
Akron,Rob Preston,81,220,Senior
Akron,Zach Sowers,75,185,Freshman
Akron,Romeo Travis,79,220,Sophomore
Akron,Bubba Walther,76,170,Freshman
Akron,Jeremiah Wood,78,245,Sophomore
Alabama,Akini Akini,82,215,Sophomore
Alabama,Evan Brock,81,210,Junior
Alabama,LaKory Daniels,75,185,Freshman
Alabama,Jermareo Davidson,82,230,Sophomore
Alabama,Brandon Davis,70,170,Freshman
Alabama,Chuck Davis,80,230,Junior
Alabama,Jean Felix,79,205,Freshman
Alabama,Justin Jonus,78,221,Freshman
Alabama,Jason Reese,74,215,Senior
Alabama,Earnest Shelton,75,215,Senior
Alabama,Ronald Steele,75,185,Freshman
Alabama,Shawn Taylor,83,220,Freshman
Alabama,Albert Weber,74,175,Freshman
Alabama,Lucky Williams,78,210,Junior
Alabama,Kennedy Winston,78,230,Junior
Alabama A&M,Chris Collins,80,220,Junior
Alabama A&M,Galen Gardenhire,74,190,Freshman
Alabama A&M,Marcus Jones,68,160,Freshman
Alabama A&M,James Lewis,72,185,Freshman
Alabama A&M,Joe Martin,76,210,Freshman
Alabama A&M,Andre Matthews,77,205,Sophomore
Alabama A&M,Brandon Neloms,74,210,Freshman
Alabama A&M,Kudus Ogbara,77,175,Freshman
Alabama A&M,Jonathan Phillips,78,260,Freshman
Alabama A&M,Rickey Ricketts,74,190,Senior
Alabama A&M,Jermaine Shakespeare,79,220,Sophomore
Alabama A&M,Kevin Smith,79,185,Sophomore
Alabama A&M,Obie Trotter,73,180,Junior
Alabama A&M,Reginald Vilcean,79,210,Freshman
Alabama A&M,Marcus Young,72,175,Sophomore
Alabama State,Lamarquis Blake,70,165,Junior
Alabama State,Joel Bosh,78,200,Freshman
Alabama State,Josh Brewster,79,195,Freshman
Alabama State,Ralfeal Golden,76,190,Junior
Alabama State,Earl Howard,78,185,Sophomore
Alabama State,Reginald Jackson,71,170,Freshman
Alabama State,Tyrece Legette,76,185,Freshman
Alabama State,Richard Lott Jr.,79,225,Sophomore
Alabama State,Cedric Mitchell,75,185,Sophomore
Alabama State,Miguel Morton,80,185,Freshman
Alabama State,Alexander Oliver,73,181,Junior
Alabama State,Dustin Richmond,70,170,Freshman
Alabama State,George Savage,74,185,Freshman
Alabama State,Jermaine Smith,78,215,Sophomore
Alabama State,Kevin Spicer,78,215,Sophomore
Alabama State,Herbert Warren,75,185,Sophomore
Albany,David Bauman,74,173,Freshman
Albany,Joe Dyson,81,240,Freshman
Albany,Jon Iati,69,175,Sophomore
Albany,Courtney Johnson,72,200,Sophomore
Albany,Lucious Jordan,74,207,Junior
Albany,Jerrad Knotts,78,245,Junior
Albany,Levi Levine,78,220,Junior
Albany,Brian Lillis,77,220,Freshman
Albany,Kenny MacCalla,73,180,Freshman
Albany,Brandon Perry,73,187,Freshman
Albany,Aquawasi St. Hillaire,78,190,Sophomore
Albany,Brent Wilson,80,240,Freshman
Albany,Jamar Wilson,73,185,Junior
Albany,Chris Wyatt,78,220,Senior
Albany,Kirsten Zoellner,85,280,Junior
Alcorn State,John Chandler,75,195,Junior
Alcorn State,Fred Cole,77,180,Junior
Alcorn State,Ray Dotson,80,230,Sophomore
Alcorn State,Alleo Frazier,66,165,Sophomore
Alcorn State,Patrick Horton,78,195,Freshman
Alcorn State,Corey Jackson,71,165,Senior
Alcorn State,Almaad Jackson,81,190,Sophomore
Alcorn State,DeAndre Jones,76,205,Junior
Alcorn State,James Kendrick,80,200,Sophomore
Alcorn State,Rhau-Chavis Landfair,81,250,Sophomore
Alcorn State,Roland Parsons,80,210,Freshman
Alcorn State,Jerist Roberts,72,185,Sophomore
Alcorn State,Delvin Thompson,74,175,Freshman
Alcorn State,Juan Wyatt,81,225,Sophomore
American University,Brayden Billbe,82,235,Sophomore
American University,Matej Cresnik,81,235,Senior
American University,Arvydas Eitutavicius,74,190,Sophomore
American University,Ryan Graham,69,155,Senior
American University,Andre Ingram,75,190,Sophomore
American University,Travis Lay,77,210,Freshman
American University,Linas Lekavicius,71,185,Sophomore
American University,Sekou Lewis,77,180,Sophomore
American University,Patrick Okpwae,78,220,Senior
American University,Raimondas Petrauskas,79,235,Junior
American University,Jason Thomas,75,195,Senior
American University,Craig Weinstein,71,180,Junior
Appalachian State,Noah Brown,73,175,Senior
Appalachian State,Jeremy Clayton,79,215,Freshman
Appalachian State,Nathan Cranford,74,190,Junior
Appalachian State,Corwin Davis,71,175,Senior
