Team,Player,Height,Weight,Age
Air Force,Tim Anderson,75,183,Sophomore
Air Force,Jacob Burtschi,78,225,Junior
Air Force,John Frye,82,215,Junior
Air Force,Andrew Henke,78,215,Freshman
Air Force,Marc Holum,78,210,Senior
Air Force,Antoine Hood,76,200,Senior
Air Force,Adam Hood,73,181,Sophomore
Air Force,Anwar Johnson,77,190,Freshman
Air Force,Eric Kenzik,80,208,Sophomore
Air Force,Keith Maren,80,240,Sophomore
Air Force,Matt McCraw,74,185,Junior
Air Force,Hunter Myers,76,180,Freshman
Air Force,Dan Nwaelele,77,206,Junior
Air Force,Ryan Teets,78,200,Junior
Air Force,Ben Walker,80,190,Freshman
Akron,Nick Dials,73,175,Sophomore
Akron,Matt Futch,80,255,Junior
Akron,Nick Goddard,72,170,Sophomore
Akron,Dru Joyce,72,165,Junior
Akron,Nate Linhart,79,193,Freshman
Akron,Cedrick Middleton,72,185,Sophomore
Akron,Quade Milum,79,180,Sophomore
Akron,Chad Mraz,72,175,Freshman
Akron,Darryl Peterson,77,220,Senior
Akron,Rob Preston,81,220,Senior
Akron,John Rybak,77,207,Freshman
Akron,Zach Sowers,75,185,Sophomore
Akron,Romeo Travis,79,220,Junior
Akron,Bubba Walther,76,170,Sophomore
Alabama,Evan Brock,81,210,Senior
Alabama,Jermareo Davidson,82,230,Junior
Alabama,Chuck Davis,80,230,Senior
Alabama,Brandon Davis,70,170,Sophomore
Alabama,Jean Felix,79,205,Sophomore
Alabama,Alonzo Gee,78,215,Freshman
Alabama,Richard Hendrix,80,265,Freshman
Alabama,Brandon Hollinger,71,170,Freshman
Alabama,Justin Jonus,78,221,Sophomore
Alabama,Ronald Steele,75,185,Sophomore
Alabama A&M,Norris Arnold,80,225,Freshman
Alabama A&M,Johnnie Brown,73,180,Freshman
Alabama A&M,Chris Collins,80,220,Senior
Alabama A&M,Michael Ford,80,180,Freshman
Alabama A&M,Galen Gardenhire,74,190,Sophomore
Alabama A&M,Mickell Gladness,83,205,Freshman
Alabama A&M,Julian Gladness,79,205,Freshman
Alabama A&M,Evan Hilton,75,200,Freshman
Alabama A&M,Marcus Jones,68,160,Sophomore
Alabama A&M,Joe Martin,76,210,Sophomore
Alabama A&M,Teaco Mickles,72,160,Freshman
Alabama A&M,Kudus Ogbara,77,175,Sophomore
Alabama A&M,Kevin Smith,79,185,Junior
Alabama A&M,Obie Trotter,73,180,Senior
Alabama A&M,Andrew Williams,76,200,Freshman
Alabama State,Lamarquis Blake,70,165,Senior
Alabama State,Joel Bosh,78,200,Sophomore
Alabama State,Akeim Claborn,79,210,Senior
Alabama State,Andrew Hayles,77,190,Freshman
Alabama State,Jared Howard,77,200,Freshman
Alabama State,Brandon Jones,77,220,Freshman
Alabama State,Richard Lott Jr.,79,225,Junior
Alabama State,Cedric Mitchell,75,185,Junior
Alabama State,Miguel Morton,80,185,Sophomore
Alabama State,Alexander Oliver,73,181,Senior
Alabama State,Anton Poe,70,165,Freshman
Alabama State,Tyler Ray,81,220,Freshman
Alabama State,Dustin Richmond,70,170,Sophomore
Alabama State,Herbert Warren,75,185,Junior
Albany,David Bauman,74,173,Sophomore
