Army,30,18,12,60.0,2109.0,70.3,48.9,99.1,736,1657,44.4,402,591,68.0,217,639,34.0,51.0,54.0,35.7,49.6,19.2,31.1,0.99,2091,69.7,52.9,1077,35.9,30.2,307,10.2,75.7,770,25.7,68,2.3,54.3,400,13.3,0.84,9.2,195,6.5,22.6,477,15.9,5.3,86,2.9,587,19.6,15
Auburn,31,16,15,51.6,2037.0,65.7,49.2,97.3,675,1651,40.9,430,627,68.6,203,584,34.8,47.0,50.9,38.0,47.6,21.7,30.7,0.97,1983,64.0,50.8,1093,35.3,32.9,355,11.5,68.6,738,23.8,98,3.2,56.6,382,12.3,0.87,10.8,221,7.1,21.6,441,14.2,7.2,120,3.9,548,17.7,11
Austin Peay,32,20,12,62.5,2199.0,68.7,53.8,105.7,839,1804,46.5,432,629,68.7,214,572,37.4,52.4,55.3,34.9,53.8,18.6,27.6,1.06,2324,72.6,50.8,1130,35.3,36.1,389,12.2,65.6,741,23.2,81,2.5,52.2,438,13.7,0.92,10.2,224,7.0,21.7,478,14.9,5.7,101,3.2,645,20.2,19
Ball State,30,15,15,50.0,1874.0,62.5,49.3,97.2,635,1555,40.8,354,509,69.5,198,557,35.5,47.2,50.7,32.7,48.0,19.4,32.6,0.97,1822,60.7,49.3,977,32.6,33.0,335,11.2,65.6,642,21.4,79,2.6,57.6,366,12.2,0.89,9.3,174,5.8,22.0,412,13.7,6.0,92,3.1,557,18.6,11
Baylor,38,8,30,21.1,2558.0,67.3,49.5,97.1,883,2114,41.8,485,706,68.7,232,693,33.5,47.3,50.7,33.4,52.4,19.5,28.0,0.97,2483,65.3,46.8,1181,31.1,31.9,428,11.3,61.6,753,19.8,125,3.3,56.1,495,13.0,0.93,10.3,263,6.9,20.9,535,14.1,5.8,125,3.3,698,18.4,16
Belmont,35,8,27,22.9,2420.0,69.1,50.3,97.6,850,1981,42.9,456,694,65.7,207,610,33.9,48.1,51.1,35.0,54.4,19.3,26.3,0.98,2363,67.5,48.8,1163,33.2,32.0,402,11.5,65.6,761,21.7,76,2.2,53.2,452,12.9,0.89,9.3,226,6.5,20.9,506,14.5,7.3,148,4.2,665,19.0,17
Bethune-Cookman,35,17,18,48.6,2279.0,65.1,52.0,101.8,811,1752,46.3,523,753,69.5,174,508,34.3,51.3,55.0,43.0,54.9,22.6,22.5,1.02,2319,66.3,51.0,1169,33.4,36.7,388,11.1,65.4,781,22.3,97,2.8,47.7,387,11.1,0.7,7.8,178,5.1,24.4,555,15.9,7.8,148,4.2,636,18.2,14
Binghamton,31,29,2,93.5,2027.0,65.4,52.6,108.2,776,1645,47.2,432,620,69.7,209,568,36.8,53.5,56.5,37.7,51.7,19.7,28.6,1.08,2193,70.7,51.9,1057,34.1,30.7,298,9.6,73.2,759,24.5,105,3.4,50.6,393,12.7,0.99,11.4,232,7.5,19.5,395,12.7,4.8,76,2.5,497,16.0,8
Boise State,30,17,13,56.7,1964.0,65.5,48.1,101.2,687,1511,45.5,399,592,67.4,215,569,37.8,52.6,55.5,39.2,47.5,20.1,32.4,1.01,1988,66.3,46.6,922,30.7,25.4,231,7.7,67.8,691,23.0,65,2.2,55.0,378,12.6,0.95,7.9,155,5.2,20.3,398,13.3,5.6,92,3.1,561,18.7,9
Boston College,31,22,9,71.0,2031.0,65.5,52.1,104.6,775,1777,43.6,364,505,72.1,211,604,34.9,49.5,52.7,28.4,53.1,17.1,29.8,1.05,2125,68.5,55.1,1111,35.8,32.7,341,11.0,77.6,770,24.8,69,2.2,52.9,410,13.2,1.12,11.4,231,7.5,18.0,365,11.8,7.0,108,3.5,503,16.2,5
Boston University,32,16,16,50.0,2068.0,64.6,50.1,98.4,724,1743,41.5,383,549,69.8,203,616,33.0,47.4,50.8,31.5,51.2,18.8,29.9,0.98,2034,63.6,50.0,1110,34.7,32.1,358,11.2,67.9,743,23.2,120,3.8,55.2,400,12.5,0.96,9.0,186,5.8,20.1,415,13.0,6.0,103,3.2,555,17.3,9
Bowling Green,32,16,16,50.0,2081.0,65.0,50.3,98.3,735,1656,44.4,397,597,66.5,179,515,34.8,49.8,52.7,36.1,54.3,19.4,26.2,0.98,2046,63.9,49.1,1038,32.4,32.3,338,10.6,65.9,700,21.9,95,3.0,58.1,427,13.3,0.89,10.4,216,6.8,23.0,479,15.0,4.8,87,2.7,502,15.7,9
Bradley,32,25,7,78.1,2154.0,67.3,52.4,104.7,821,1810,45.4,395,585,67.5,219,607,36.1,51.4,54.0,32.3,53.4,17.5,29.1,1.05,2256,70.5,52.5,1190,37.2,31.4,345,10.8,73.7,845,26.4,97,3.0,62.4,512,16.0,1.24,9.7,210,6.6,19.2,414,12.9,5.1,87,2.7,575,18.0,9
Brigham Young,35,9,26,25.7,2555.0,73.0,46.0,92.3,841,2029,41.4,447,671,66.6,229,734,31.2,47.1,50.2,33.1,51.9,19.0,29.1,0.92,2358,67.4,47.9,1213,34.7,26.5,348,9.9,69.4,865,24.7,128,3.7,57.6,484,13.8,0.87,8.7,222,6.3,21.7,554,15.8,4.5,94,2.7,667,19.1,12
Brown,31,23,8,74.2,2025.0,65.3,52.6,106.4,795,1751,45.4,340,483,70.4,224,572,39.2,51.8,54.4,27.6,53.0,15.8,31.2,1.06,2154,69.5,52.8,1162,37.5,30.5,317,10.2,75.1,845,27.3,93,3.0,55.1,438,14.1,1.21,8.7,176,5.7,17.9,362,11.7,5.6,95,3.1,498,16.1,5
Bryant,30,28,2,93.3,1999.0,66.6,56.1,113.1,816,1716,47.6,400,575,69.6,229,612,37.4,54.2,56.8,33.5,51.9,17.7,30.4,1.13,2261,75.4,53.5,1110,37.0,34.6,343,11.4,72.4,767,25.6,88,2.9,60.7,495,16.5,1.41,11.2,224,7.5,17.5,350,11.7,4.4,71,2.4,501,16.7,13
Bucknell,35,10,25,28.6,2239.0,64.0,45.6,95.9,730,1840,39.7,461,648,71.1,226,661,34.2,45.8,50.0,35.2,46.9,21.5,31.6,0.96,2147,61.3,46.5,1011,28.9,23.1,277,7.9,70.0,734,21.0,87,2.5,52.5,383,10.9,1.05,8.8,197,5.6,16.3,366,10.5,4.7,85,2.4,630,18.0,14
Buffalo,31,11,20,35.5,2137.0,68.9,49.1,97.8,728,1852,39.3,415,594,69.9,219,655,33.4,45.2,49.0,32.1,48.7,19.9,31.4,0.98,2090,67.4,46.7,1033,33.3,29.1,358,11.5,64.3,675,21.8,131,4.2,57.8,421,13.6,1.18,10.9,233,7.5,16.8,358,11.5,4.5,78,2.5,592,19.1,16
Butler,37,15,22,40.5,2411.0,65.2,46.1,93.1,754,1835,41.1,548,811,67.6,189,617,30.6,46.2,50.6,44.2,50.3,24.4,25.3,0.93,2245,60.7,46.2,1176,31.8,28.0,332,9.0,64.3,844,22.8,131,3.5,52.1,393,10.6,0.75,9.0,216,5.8,21.6,521,14.1,5.5,110,3.0,725,19.6,17
Cal Poly,33,15,18,45.5,1994.0,60.4,48.5,100.2,681,1557,43.7,468,674,69.4,168,502,33.5,49.1,53.2,43.3,51.4,23.4,25.2,1.0,1998,60.5,44.6,958,29.0,25.8,255,7.7,63.4,703,21.3,89,2.7,54.3,370,11.2,0.99,7.3,145,4.4,18.7,373,11.3,7.1,127,3.8,485,14.7,4
Cal State Bakersfield,31,15,16,48.4,2059.0,66.4,50.5,104.6,711,1527,46.6,542,747,72.6,190,557,34.1,52.8,57.2,48.9,48.4,25.2,26.5,1.05,2154,69.5,49.0,960,31.0,32.8,302,9.7,65.1,658,21.2,91,2.9,59.2,421,13.6,0.88,10.4,214,6.9,23.3,480,15.5,4.8,81,2.6,543,17.5,6
Cal State Fullerton,31,10,21,32.3,2178.0,70.3,50.3,101.2,770,1762,43.7,454,661,68.7,211,572,36.9,49.7,53.1,37.5,50.7,20.6,28.7,1.01,2205,71.1,46.5,990,31.9,29.9,333,10.7,63.1,657,21.2,108,3.5,50.3,387,12.5,0.9,6.8,149,4.8,19.7,429,13.8,5.7,101,3.3,591,19.1,10
Cal State Northridge,28,21,7,75.0,1941.0,69.3,52.8,108.2,683,1479,46.2,522,748,69.8,213,581,36.7,53.4,57.3,50.6,44.7,24.8,30.4,1.08,2101,75.0,49.6,1021,36.5,35.5,322,11.5,63.8,699,25.0,84,3.0,61.2,418,14.9,0.98,9.2,179,6.4,21.9,426,15.2,6.5,108,3.9,520,18.6,5
California,34,10,24,29.4,2254.0,66.3,47.2,93.3,786,1893,41.5,346,505,68.5,186,568,32.7,46.4,49.3,26.7,57.0,16.4,26.5,0.93,2104,61.9,47.6,1037,30.5,27.2,315,9.3,67.9,722,21.2,76,2.2,49.1,386,11.4,0.88,7.5,169,5.0,19.4,438,12.9,4.5,84,2.5,599,17.6,11
