Team,Player,Height,Weight,Age
Air Force,Scott Adler,76,185,Freshman
Air Force,Colt Barnhill,79,210,Freshman
Air Force,Adam Brakeville,78,215,Junior
Air Force,Taylor Broekhuis,82,220,Junior
Air Force,Chris Carter,75,200,Freshman
Air Force,Brian Davidson,80,195,Freshman
Air Force,DeLovell Earls,77,215,Freshman
Air Force,Mike Fitzgerald,78,210,Junior
Air Force,Todd Fletcher,74,185,Junior
Air Force,Kyle Green,74,180,Junior
Air Force,Daniel Grieves,79,195,Freshman
Air Force,Justin Hammonds,79,190,Freshman
Air Force,Shawn Hempsey,74,180,Senior
Air Force,Chase Kammerer,80,220,Sophomore
Air Force,Michael Lyons,78,198,Junior
Air Force,Marek Olesinski,80,215,Freshman
Air Force,Rafael Rojas-Reyes,76,195,Freshman
Air Force,Taylor Stewart,77,185,Senior
Air Force,Scott Stucky,75,180,Senior
Air Force,Kamryn Williams,76,195,Freshman
Air Force,Max Yon,77,195,Freshman
Akron,Alex Abreu,70,175,Sophomore
Akron,Luke Avsec,70,180,Sophomore
Akron,Nikola Cvetinovic,80,230,Senior
Akron,Quincy Diggs,78,215,Junior
Akron,Josh Egner,79,215,Sophomore
Akron,Chauncey Gilliam,77,230,Junior
Akron,Michael Green,78,230,Freshman
Akron,Nick Harney,79,210,Sophomore
Akron,Deji Ibitayo,75,205,Freshman
Akron,Blake Justice,75,195,Freshman
Akron,Zeke Marshall,84,235,Junior
Akron,Brett McClanahan,76,205,Senior
Akron,C.J. Oldham,77,190,Sophomore
Akron,Kyle Petersen,76,190,Senior
Akron,Demetrius Treadwell,79,225,Sophomore
Akron,Brian Walsh,77,200,Sophomore
Alabama,Keon Blackledge,75,205,Junior
Alabama,Rodney Cooper,78,205,Freshman
Alabama,Ben Eblen,72,190,Junior
Alabama,Carl Engstrom,85,275,Sophomore
Alabama,Julian Goode,79,225,Sophomore
Alabama,JaMychal Green,80,240,Senior
Alabama,Moussa Gueye,84,280,Sophomore
Alabama,Charles Hankerson Jr.,76,210,Sophomore
Alabama,Nick Jacobs,80,250,Freshman
Alabama,Trevor Lacey,75,200,Freshman
Alabama,Tony Mitchell,78,210,Junior
Alabama,Retin Obasohan,73,205,Freshman
Alabama,Levi Randolph,77,185,Freshman
Alabama,Trevor Releford,72,190,Sophomore
Alabama,Dakota Slaughter,78,215,Freshman
Alabama,Andrew Steele,76,230,Sophomore
Alabama A&M,Diamon Alexander,78,215,Senior
Alabama A&M,Brandon Allen,77,190,Junior
Alabama A&M,Justan Banks,84,215,Sophomore
Alabama A&M,Casey Cantey,77,190,Senior
Alabama A&M,Devin Colman,70,170,Freshman
Alabama A&M,Jeremy Crutcher,68,160,Sophomore
Alabama A&M,Brandon Ellis,75,200,Sophomore
Alabama A&M,Eddie Hardy,68,170,Sophomore
Alabama A&M,Green Hill,70,175,Sophomore
Alabama A&M,Jerome Hunter,82,230,Sophomore
Alabama A&M,Jeremy Ingram,70,180,Junior
Alabama A&M,Anthony Lanier,78,260,Freshman
Alabama A&M,Marcus Lee,73,180,Junior
Alabama A&M,Jose Long,77,210,Sophomore
Alabama A&M,Reginald Martin,78,210,Sophomore
Alabama A&M,Derrick Mosley,72,190,Freshman
Alabama A&M,Demarquelle Tabb,77,210,Sophomore
Alabama State,De`Jon Britton,74,180,Freshman
Alabama State,Stephawn Brown,76,190,Junior
Alabama State,Tramaine Butler,74,189,Senior
Alabama State,Phillip Crawford,79,210,Junior
Alabama State,Jonathan Jefferson,78,190,Sophomore
Alabama State,Eugene Johnson,79,210,Freshman
Alabama State,Josh Mason,75,170,Junior
Alabama State,Jeff Middlebrooks,73,170,Senior
Alabama State,Dominique Miller,77,215,Freshman
Alabama State,Devonte` Neal,82,220,Freshman
Alabama State,Luther Page,78,190,Freshman
Alabama State,Shawntez Patterson,79,200,Senior
Alabama State,Anthony Price,70,190,Junior
Alabama State,Kenderek Washington,76,185,Senior
Alabama State,Ryan Watts,73,170,Sophomore
Alabama State,Ivory White,76,175,Senior
Alabama State,Ralph Wilson,82,290,Freshman
Albany,Logan Aronhalt,75,210,Junior
Albany,Mike Black,72,175,Junior
Albany,Luke Devlin,80,230,Sophomore
Albany,Tanner Gibson,74,180,Freshman
Albany,Jayson Guerrier,76,205,Junior
Albany,Peter Hooley,76,195,Freshman
Albany,Jacob Iati,70,175,Junior
Albany,Blake Metcalf,81,240,Junior
Albany,Chris Page,77,185,Freshman
Albany,John Puk,82,265,Sophomore
Albany,Sam Rowley,77,230,Freshman
Albany,Gerardo Suero,76,205,Junior
Albany,Ralph Watts,77,205,Sophomore
Alcorn State,Marquiz Baker,74,200,Senior
Alcorn State,Chris Brand,82,210,Junior
Alcorn State,Ian Francis,80,189,Junior
Alcorn State,Devon Francois,70,180,Freshman
Alcorn State,JaMichael Hawkins,77,200,Freshman
Alcorn State,Darien Johnson,76,200,Sophomore
Alcorn State,Kendrick McDonald,72,165,Senior
Alcorn State,Jarvis Moore,71,180,Junior
Alcorn State,Anthony Nieves,76,185,Junior
Alcorn State,Twann Oakley,77,165,Junior
Alcorn State,Xavian Rimmer,75,165,Freshman
Alcorn State,Martrevious Sanders,72,160,Junior
Alcorn State,Michael Starks,80,220,Junior
Alcorn State,KeDorian Sullivan,79,185,Freshman
Alcorn State,Tyson Tufono,74,165,Freshman
American University,Mike Bersch,78,205,Junior
American University,Jordan Borucki,75,195,Junior
American University,Troy Brewer,77,180,Senior
American University,Daniel Fisher,79,230,Junior
American University,Warren Flood Jr.,74,200,Junior
American University,Riley Grafft,83,220,Senior
American University,Joe Hill,74,200,Senior
American University,Charles Hinkle,77,205,Senior
American University,Blake Jolivette,71,180,Junior
American University,Kyle Kager,80,195,Freshman
American University,Simon McCormack,76,185,Senior
American University,Daniel Munoz,73,175,Junior
American University,John Schoof,77,205,Freshman
American University,Wayne Simon II,70,155,Sophomore
American University,Tony Wroblicky,82,230,Sophomore
Appalachian State,Isaac Butts,82,290,Senior
Appalachian State,Jay Canty,78,200,Sophomore
Appalachian State,Omar Carter,77,215,Senior
Appalachian State,Tabarris Hamilton,75,175,Freshman
Appalachian State,Petey Hausley,78,240,Senior
Appalachian State,Nathan Healy,79,220,Junior
Appalachian State,Rodney Milium,72,185,Junior
Appalachian State,Mike Neal,74,170,Freshman
Appalachian State,Brian Okam,84,260,Sophomore
Appalachian State,Jamaal Trice,78,230,Junior
Appalachian State,G.J. Vilarino,73,185,Sophomore
Appalachian State,Andre Williamson,79,240,Senior
Appalachian State,Mitch Woods,75,210,Sophomore
Arizona,Robert Arvizu,72,195,Sophomore
Arizona,Angelo Chol,81,217,Freshman
Arizona,Quinton Crawford,73,190,Junior
Arizona,Kyle Fogg,75,188,Senior
Arizona,Solomon Hill,78,226,Junior
Arizona,Alex Jacobson,84,253,Senior
Arizona,Sidiki Johnson,80,235,Freshman
Arizona,Nick Johnson,74,198,Freshman
Arizona,Brendon Lavender,77,212,Senior
Arizona,Jordin Mayes,74,196,Sophomore
Arizona,Drew Mellon,77,210,Freshman
Arizona,Kyryl Natyazhko,83,275,Junior
Arizona,Kevin Parrom,78,215,Junior
Arizona,Jesse Perry,79,217,Senior
Arizona,Josiah Turner,75,192,Freshman
Arizona,Max Wiepking,78,210,Junior
Arizona,Dondre Wise,73,220,Senior
Arizona State,Jordan Bachynski,86,243,Sophomore
Arizona State,Bo Barnes,76,190,Sophomore
Arizona State,Kyle Cain,79,210,Sophomore
Arizona State,Jahii Carson,70,160,Freshman
Arizona State,Chris Colvin,74,200,Junior
Arizona State,Chanse Creekmur,77,216,Sophomore
Arizona State,Carrick Felix,78,196,Junior
Arizona State,Jonathan Gilling,79,200,Freshman
Arizona State,Evan Gordon,75,200,Junior
Arizona State,Max Heller,69,150,Freshman
Arizona State,Keala King,76,201,Sophomore
Arizona State,Trent Lockett,76,210,Junior
Arizona State,Pierre Newton,76,185,Freshman
Arizona State,Ruslan Pateev,84,249,Junior
Arizona State,David Whitmore,78,215,Sophomore
Arkansas,Devonta Abron,80,250,Freshman
Arkansas,Fred Gulley III,74,185,Sophomore
Arkansas,Kikko Haydar,70,165,Sophomore
Arkansas,Charlie Henderson,77,190,Sophomore
Arkansas,Rashad Madden,77,178,Freshman
Arkansas,Hunter Mickelson,82,234,Freshman
Arkansas,Brandon Mitchell,76,230,Sophomore
Arkansas,Julysses Nobles,73,193,Junior
Arkansas,Marshawn Powell,79,227,Junior
Arkansas,Michael Sanchez,81,235,Senior
Arkansas,Rickey Scott,75,195,Sophomore
Arkansas,Davion Spivey,74,208,Sophomore
Arkansas,Matt Thompson,76,186,Freshman
Arkansas,Mardracus Wade,74,178,Sophomore
Arkansas,Marvell Waithe,81,195,Senior
Arkansas,B.J. Young,75,175,Freshman
Arkansas State,Bryce Clark,79,212,Junior
Arkansas State,Rakeem Dickerson,73,170,Freshman
Arkansas State,Trey Finn,74,210,Junior
Arkansas State,Darion Griswold,77,240,Freshman
Arkansas State,Marcus Hooten,76,205,Junior
Arkansas State,Malcoln Kirkland,80,265,Senior
Arkansas State,Kinley Ogbonnaya-Branch,78,205,Sophomore
Arkansas State,Brandon Peterson,79,215,Junior
Arkansas State,Adam Sterrenberg,75,190,Junior
Arkansas State,Ed Townsel,72,170,Sophomore
Arkansas State,Kendrick Washington,79,275,Junior
Arkansas State,Jordan Weaver,74,185,Sophomore
Arkansas State,Johnny Zuppardo,80,210,Freshman
Arkansas-Little Rock,Ted Crass,69,155,Junior
Arkansas-Little Rock,Ben Dillard,74,182,Freshman
Arkansas-Little Rock,Reggie Fondren,75,190,Junior
Arkansas-Little Rock,Chuck Guy,70,168,Sophomore
Arkansas-Little Rock,Courtney Jackson,78,225,Senior
Arkansas-Little Rock,Michael Javes,82,230,Freshman
Arkansas-Little Rock,Eric Lawton,72,155,Junior
Arkansas-Little Rock,Gus Leeper,82,232,Sophomore
