Rank,Player,Team,Pos,Efficiency
1,Mike Muscala,Bucknell Bison,F,25.41
2,Nate Wolters,South Dakota State Jackrabbits,G,24.12
3,Doug McDermott,Creighton Bluejays,F,22.92
4,Taylor Smith,Stephen F. Austin Lumberjacks,F,22.84
5,Kyle Barone,Idaho Vandals,C,22.77
6,TaShawn Thomas,Houston Cougars,F,22.39
7,Mason Plumlee,Duke Blue Devils,F,22.19
8,Maurice Kemp,East Carolina Pirates,F,22.09
9,Jerrelle Benimon,Towson Tigers,F,21.90
10,Augustine Rubit,South Alabama Jaguars,F,21.83
10,C.J. McCollum,Lehigh Mountain Hawks,G,21.83
12,Fred Hunter,Nicholls State Colonels,G,21.78
13,Javon McCrea,Buffalo Bulls,F,21.68
14,Erick Green,Virginia Tech Hokies,G,21.56
15,Nerlens Noel,Kentucky Wildcats,F,21.21
16,Keith Rendleman,NC-Wilmington Seahawks,F,21.20
17,Kelly Olynyk,Gonzaga Bulldogs,F,21.16
18,Ben Aird,Utah Valley Wolverines,C,21.10
19,Jeff Withey,Kansas Jayhawks,C,20.84
20,Alan Williams,UC Santa Barbara Gauchos,C,20.82
21,Stan Okoye,VMI Keydets,F,20.77
22,Josh Davis,Tulane Green Wave,F,20.69
23,Richard Howell,N.C. State Wolfpack,F,20.43
24,Otto Porter,Georgetown Hoyas,F,20.42
25,Jackie Carmichael,Illinois St. Redbirds,F,20.33
26,Darren White,Campbell Fighting Camels,G,20.18
26,Ray McCallum,Detroit Titans,G,20.18
28,Corey Hawkins,UC Davis Aggies,G,20.14
29,Jamaal Franklin,San Diego St. Aztecs,G,19.97
30,David Laury,Iona Gaels,F,19.92
31,Cody Zeller,Indiana Hoosiers,F,19.83
32,Trey Burke,Michigan Wolverines,G,19.82
33,Robert Covington,Tennessee St. Tigers,F,19.78
34,Brandon Davies,Brigham Young Cougars,F,19.78
35,Jamelle Hagins,Delaware Blue Hens,F,19.70
36,Kendrick Perry,Youngstown St. Penguins,G,19.53
37,Jack Cooley,Notre Dame Fighting Irish,F,19.49
38,Kinu Rochford,Fairleigh Dickinson Knights,F,19.48
39,Pierre Jackson,Baylor Bears,G,19.33
