Rank,Player,Team,Pos,Efficiency
40,Damen Bell-Holter,Oral Roberts Golden Eagles,F,19.31
41,Kentavious Caldwell-Pope,Georgia Bulldogs,G,19.22
42,Zeke Marshall,Akron Zips,C,19.18
43,Keith Clanton,Central Florida Knights,F,19.06
44,Jamal Olasewere,LIU Brooklyn Blackbirds,F,19.03
45,Nathan Healy,Appalachian St. Mountaineers,F,19.00
46,D.J. Covington,VMI Keydets,F,18.97
47,Terell Parks,Western Illinois Leathernecks,F,18.92
48,James Ennis,Long Beach St. 49ers,G,18.91
49,Jud Dillard,Tennessee Tech Golden Eagles,G,18.83
50,Ian Hummer,Princeton Tigers,F,18.82
51,Edward Daniel,Murray St. Racers,F,18.81
52,Murphy Holloway,Mississippi Rebels,F,18.78
53,Mike Groselle,Citadel Bulldogs,C,18.77
54,Gorgui Dieng,Louisville Cardinals,C,18.76
55,Ryan Broekhoff,Valparaiso Crusaders,F,18.73
56,Tyler Haws,Brigham Young Cougars,G,18.72
57,Anthony Bennett,UNLV Runnin' Rebels,F,18.71
58,Jeremy Atkinson,NC-Asheville Bulldogs,F,18.69
59,Cory Jefferson,Baylor Bears,F,18.62
60,Eric Moreland,Oregon St. Beavers,F,18.62
61,Andre Roberson,Colorado Buffaloes,F,18.55
62,Colton Iverson,Colorado St. Rams,F,18.51
63,Arsalan Kazemi,Oregon Ducks,F,18.34
63,Carrick Felix,Arizona St. Sun Devils,F,18.34
63,Chris Evans,Kent St. Golden Flashes,F,18.34
66,Victor Oladipo,Indiana Hoosiers,G,18.33
66,Juvonte Reddic,VCU Rams,F,18.33
68,Marc Trasolini,Santa Clara Broncos,F,18.26
69,Romero Osby,Oklahoma Sooners,F,18.25
69,Shabazz Napier,Connecticut Huskies,G,18.25
71,D.J. Seeley,Cal St. Fullerton Titans,G,18.18
72,Tymell Murphy,Florida International Golden Panthers,F,18.16
73,Jalen Cannon,St. Francis-NY Terriers,F,18.07
74,Elfrid Payton,Louisiana-Lafayette Ragin' Cajuns,G,18.06
75,Isaiah Sykes,Central Florida Knights,G,18.03
76,Venky Jois,Eastern Washington Eagles,F,18.00
77,Shayne Whittington,Western Michigan Broncos,C,17.97
78,Chaz Williams,Massachusetts Minutemen,G,17.97
79,Allen Crabbe,California Golden Bears,G,17.94
80,Allan Chaney,High Point Panthers,F,17.93
81,Isaiah Canaan,Murray St. Racers,G,17.90
82,Demitrius Conger,St. Bonaventure Bonnies,G,17.90
83,Akil Mitchell,Virginia Cavaliers,F,17.86
83,Reggie Bullock,North Carolina Tar Heels,G,17.86
85,Dwight Powell,Stanford Cardinal,F,17.85
86,Tyler Stone,SE Missouri St. Redhawks,F,17.85
86,Shawn Long,Louisiana-Lafayette Ragin' Cajuns,F,17.85
88,Derrick Barden,Northern Colorado Bears,F,17.81
89,Kellen Thornton,Tennessee St. Tigers,F,17.76
90,Dwayne Evans,Saint Louis Billikens,F,17.71
91,Fred Sturdivant,Texas Southern Tigers,F,17.71
92,Colt Ryan,Evansville Purple Aces,G,17.68
93,Alex Francis,Bryant Bulldogs,F,17.65
94,O.D. Anosike,Siena Saints,F,17.59
95,Michael Kessens,Longwood Lancers,F,17.58
96,Demarquelle Tabb,Alabama A&M Bulldogs,G,17.52
97,Marcus Smart,Oklahoma St. Cowboys,G,17.48
98,Alex Oriakhi,Missouri Tigers,F,17.44
99,Kwame Vaughn,Cal St. Fullerton Titans,G,17.44
100,Adrien Coleman,Bethune-Cookman Wildcats,G,17.35
