Rank,Player,Team,Pos,Efficiency
1,Anthony Davis,Kentucky Wildcats,F,26.12
2,Kevin Jones,West Virginia Mountaineers,F,24.03
3,Damian Lillard,Weber St. Wildcats,G,23.75
4,Doug McDermott,Creighton Bluejays,F,23.43
5,Ken Horton,Central Conn. St. Blue Devils,F,23.29
6,Jae Crowder,Marquette Golden Eagles,F,22.80
7,Reggie Hamilton,Oakland Golden Grizzlies,G,22.72
8,Tony Mitchell,North Texas Mean Green Eagles,F,22.48
9,C.J. McCollum,Lehigh Mountain Hawks,G,22.37
10,Thomas Robinson,Kansas Jayhawks,F,22.23
11,Kyle O'Quinn,Norfolk State Spartans,C,22.17
12,Mike Groselle,Citadel Bulldogs,C,21.80
13,Draymond Green,Michigan St Spartans,F,21.73
14,Andrew Nicholson,St. Bonaventure Bonnies,F,21.72
15,Mike Muscala,Bucknell Bison,F,21.63
16,Tyler Zeller,North Carolina Tar Heels,F,21.58
17,Michael Glover,Iona Gaels,F,21.58
18,Jesse Sanders,Liberty Flames,G,21.53
19,Scott Machado,Iona Gaels,G,21.48
20,Will Barton,Memphis Tigers,G,21.29
21,Nate Wolters,South Dakota State Jackrabbits,G,21.26
22,Kelvin Martin,Charleston Southern Buccaneers,F,21.23
23,Jared Sullinger,Ohio St Buckeyes,F,21.05
24,Wendell McKines,New Mexico St. Aggies,F,21.03
25,Arsalan Kazemi,Rice Owls,F,20.94
25,Robert Covington,Tennessee St. Tigers,F,20.94
27,Arnett Moultrie,Mississippi St. Bulldogs,F,20.93
28,Antwan Carter,Longwood Lancers,C,20.71
29,O.D. Anosike,Siena Saints,F,20.48
30,John Shurna,Northwestern Wildcats,F,20.36
31,Drew Gordon,New Mexico Lobos,F,20.31
32,Jamelle Hagins,Delaware Blue Hens,F,20.31
33,Ryan Broekhoff,Valparaiso Crusaders,G,20.21
34,Mike Scott,Virginia Cavaliers,F,20.19
35,Rob Jones,St. Mary's Gaels,F,20.18
36,William Mosley,Northwestern St. Demons,C,20.12
37,Chehales Tapscott,Portland St. Vikings,F,20.09
38,Julian Boyd,LIU Brooklyn Blackbirds,F,20.00
38,Mitchell Watt,Buffalo Bulls,F,20.00
40,Cameron Moore,UAB Blazers,F,19.87
41,Amin Stevens,Florida A&M Rattlers,F,19.81
42,Mike Moser,UNLV Runnin' Rebels,F,19.80
43,Greg Mangano,Yale Bulldogs,F,19.79
44,Eric Griffin,Campbell Fighting Camels,F,19.74
45,Andre Roberson,Colorado Buffaloes,G,19.53
46,Keith Rendleman,NC-Wilmington Seahawks,F,19.52
47,Cody Zeller,Indiana Hoosiers,F,19.42
48,Shane Gibson,Sacred Heart Pioneers,G,19.41
49,John Henson,North Carolina Tar Heels,F,19.31
50,Ike Azotam,Quinnipiac Bobcats,F,19.29
51,Jud Dillard,Tennessee Tech Golden Eagles,G,19.24
52,Dominique Sutton,North Carolina Central Eagles,F,19.00
52,Vander Joaquim,Hawaii Warriors,C,19.00
54,Terell Parks,Western Illinois Leathernecks,F,18.97
55,Herb Pope,Seton Hall Pirates,F,18.76
55,Jack Cooley,Notre Dame Fighting Irish,F,18.76
57,Colt Ryan,Evansville Purple Aces,G,18.72
58,Jamal Olasewere,LIU Brooklyn Blackbirds,F,18.68
59,Noah Hartsock,Brigham Young Cougars,F,18.65
60,J.J. Avila,Navy Midshipmen,F,18.52
61,Ryan Pearson,George Mason Patriots,F,18.52
62,Jackie Carmichael,Illinois St. Redbirds,F,18.51
63,Royce White,Iowa St. Cyclones,F,18.47
64,Meyers Leonard,Illinois Fighting Illini,C,18.47
65,Ricardo Ratliffe,Missouri Tigers,F,18.46
66,Gerardo Suero,Albany Great Danes,G,18.38
67,Al'Lonzo Coleman,Presbyterian Blue Hose,PF,18.34
68,Tim Frazier,Penn St. Nittany Lions,G,18.28
69,Alex Young,Indiana - Purdue Jaguars,G,18.22
70,Marcus Denmon,Missouri Tigers,G,18.03
71,George Beamon,Manhattan Jaspers,G,17.97
72,Stan Okoye,VMI Keydets,F,17.97
73,Robbie Hummel,Purdue Boilermakers,F,17.94
74,Ian Hummer,Princeton Tigers,F,17.91
75,Orlando Johnson,UC Santa Barbara Gauchos,G,17.90
76,Julian Mavunga,Miami (OH) Red Hawks,F,17.90
77,Rakim Sanders,Fairfield Stags,F,17.84
78,Chris Gaston,Fordham Rams,F,17.82
79,DeJuan Wright,Florida International Golden Panthers,G,17.77
80,Chaz Williams,Massachusetts Minutemen,G,17.65
81,Brandon Davies,Brigham Young Cougars,F,17.63
82,Taylor Braun,North Dakota State Bison,G,17.61
83,Matt Staff,Texas State Bobcats,F,17.57
84,Eric Ferguson,Georgia Southern Eagles,G,17.53
85,Alec Brown,Green Bay Phoenix,C,17.50
86,Gorgui Dieng,Louisville Cardinals,C,17.45
87,Dominique Morrison,Oral Roberts Golden Eagles,F,17.44
88,Isaiah Canaan,Murray St. Racers,G,17.42
89,Chris Braswell,Charlotte 49ers,F,17.34
90,Javon McCrea,Buffalo Bulls,F,17.33
91,Khalif Wyatt,Temple Owls,G,17.32
92,Maurice Harkless,St. John's Red Storm,G,17.31
93,Pierce Hornung,Colorado St. Rams,F,17.27
94,Angelo Caloiaro,San Francisco Dons,F,17.26
95,T.J. McConnell,Duquesne Dukes,G,17.26
96,Zach Rosen,Pennsylvania Quakers,G,17.24
97,Scott Eatherton,St. Francis (PA) Red Flash,F,17.24
98,Charles Odum,Portland St. Vikings,G,17.22
99,Brock Motum,Washington St. Cougars,F,17.21
100,Preston Medlin,Utah St. Aggies,G,17.19
