Rank,Player,Team,Pos,Efficiency
1,Taylor Smith,Stephen F. Austin Lumberjacks,F,70.1%
2,Ricardo Ratliffe,Missouri Tigers,F,69.3%
3,Tarik Black,Memphis Tigers,F,68.9%
4,David Pellom,George Washington Colonials,F,68.8%
5,Brandon Brekke,North Dakota,F,68.2%
6,Joe Ragland,Wichita St. Shockers,G,68.0%
7,Marshall Bjorklund,North Dakota State Bison,F,67.0%
8,Brad Waldow,St. Mary's Gaels,F,66.7%
9,Seth Tuttle,Northern Iowa Panthers,F,66.3%
10,Tim Kamczyc,Cleveland St. Vikings,F,65.8%
11,Doug McDermott,Creighton Bluejays,F,65.4%
12,Sam McLaurin,Coastal Carolina Chanticleers,F,65.2%
13,Sean Armand,Iona Gaels,G,65.1%
14,Drew Hanlen,Belmont Bruins,G,65.1%
15,Kim English,Missouri Tigers,G,64.0%
16,Michael Glover,Iona Gaels,F,63.7%
17,Brady Heslip,Baylor Bears,G,63.5%
18,Jordan Hulls,Indiana Hoosiers,G,63.0%
19,Steven Werner,Sam Houston St. Bearkats,F,63.0%
20,Eric Griffin,Campbell Fighting Camels,F,62.9%
21,Nick Kellogg,Ohio Bobcats,G,62.9%
22,Orane Chin,Cal St. Fullerton Titans,F,62.9%
23,Anthony Davis,Kentucky Wildcats,F,62.8%
24,Brian Stafford,Denver Pioneers,G,62.6%
25,Scott Eatherton,St. Francis (PA) Red Flash,F,62.5%
26,Jack Cooley,Notre Dame Fighting Irish,F,62.5%
27,Cody Zeller,Indiana Hoosiers,F,62.3%
28,Ryne Smith,Purdue Boilermakers,G,62.3%
29,Tate Unruh,Northern Colorado Bears,G,62.0%
30,Eric Buckner,Georgia St Panthers,F,62.0%
31,Daniel Coursey,Mercer Bears,F,62.0%
32,John Jenkins,Vanderbilt Commodores,G,62.0%
33,Jordan Morgan,Michigan Wolverines,F,61.9%
34,Patric Young,Florida Gators,F,61.8%
35,Jaron Lane,NC-Asheville Bulldogs,G,61.8%
36,Drew Crowell,Wofford Terriers,F,61.8%
37,Kevin Van Wijk,Valparaiso Crusaders,F,61.7%
38,Deremy Geiger,Idaho Vandals,G,61.7%
39,Brooks Ybarra,Texas State Bobcats,F,61.6%
40,Devon Collier,Oregon St. Beavers,F,61.5%
40,Jaime Serna,UC Santa Barbara Gauchos,F,61.5%
42,Garrett Sim,Oregon Ducks,G,61.3%
43,Mardracus Wade,Arkansas Razorbacks,G,61.2%
44,Preston Medlin,Utah St. Aggies,G,61.2%
45,Laron Griffin,Eastern Washington Eagles,F,61.2%
46,Terell Parks,Western Illinois Leathernecks,F,61.2%
47,Jordan Dykstra,South Dakota State Jackrabbits,F,61.2%
48,Dallis Joyner,Stony Brook Seawolves,F,61.1%
49,Kyisean Reed,Utah St. Aggies,F,61.1%
50,Tony Mitchell,North Texas Mean Green Eagles,F,61.1%
51,Langston Galloway,St. Joseph's Hawks,G,60.9%
52,Chad White,South Dakota State Jackrabbits,G,60.8%
53,William Mosley,Northwestern St. Demons,C,60.8%
54,Gregory Echenique,Creighton Bluejays,C,60.7%
55,Eli Holman,Detroit Titans,C,60.7%
56,Tyler Les,UC Davis Aggies,G,60.7%
57,Robert Covington,Tennessee St. Tigers,F,60.7%
58,Gary Bell,Gonzaga Bulldogs,G,60.7%
59,Donald Johnson,Cal. State - Bakersfield Roadrunners,F,60.6%
60,Bernard James,Florida St. Seminoles,F,60.6%
61,John Fraley,Austin Peay Governors,C,60.6%
62,Kenny Buckner,Boise St. Broncos,C,60.3%
63,Andrew Nicholson,St. Bonaventure Bonnies,F,60.1%
64,Joe Eberhard,Sacramento State Hornets,G,60.1%
65,Keaton Cole,Western Carolina Catamounts,G,60.0%
65,Hamidu Rahman,New Mexico St. Aggies,C,60.0%
67,Anqus Brandt,Oregon St. Beavers,F,59.9%
68,Kris Davis,SIU - Edwardsville Cougars,G,59.8%
68,Tony Meier,Wis.-Milwaukee Panthers,F,59.8%
70,Rhamel Brown,Manhattan Jaspers,F,59.8%
71,Shane Gibson,Sacred Heart Pioneers,G,59.8%
72,Ronald Roberts,St. Joseph's Hawks,F,59.7%
73,Erik Murphy,Florida Gators,F,59.7%
74,Drew Windler,Samford Bulldogs,C,59.5%
75,Rodney Williams,Minnesota Golden Gophers,F,59.5%
76,Tyler Murray,Wagner Seahawks,G,59.5%
77,Arsalan Kazemi,Rice Owls,F,59.4%
78,Mike Morrison,George Mason Patriots,F,59.2%
78,Leon Powell,SE Missouri St. Redhawks,F,59.2%
80,Ryan Broekhoff,Valparaiso Crusaders,G,59.1%
81,Jamal Olasewere,LIU Brooklyn Blackbirds,F,59.1%
82,Kelvin Martin,Charleston Southern Buccaneers,F,59.1%
83,Mike Groselle,Citadel Bulldogs,C,59.1%
84,Brock Motum,Washington St. Cougars,F,59.1%
85,C.J. Aiken,St. Joseph's Hawks,F,59.1%
86,Mark Cisco,Columbia Lions,C,59.0%
87,Leonard Washington,Wyoming Cowboys,F,59.0%
88,Kammeron Holsey,Georgia Tech Yellow Jackets,F,59.0%
89,Ceola Clark,Western Illinois Leathernecks,G,59.0%
90,Isaiah Canaan,Murray St. Racers,G,59.0%
90,Matt Smith,Toledo Rockets,F,59.0%
92,Andre Williamson,Appalachian St. Mountaineers,F,59.0%
93,James Ennis,Long Beach St. 49ers,G,58.9%
94,Trey McCorkle,IUPU - Ft. Wayne Mastodons,F,58.9%
95,James Haarsma,Wis.-Milwaukee Panthers,F,58.9%
96,Zack Novak,Michigan Wolverines,G,58.9%
97,Brandon Provost,Texas-Pan American Broncs,G,58.8%
98,Jon Ekey,Illinois St. Redbirds,F,58.8%
99,Ian Clark,Belmont Bruins,G,58.8%
100,Robert Nyakundi,Southern Methodist Mustangs,F,58.8%
