Team,Player,Height,Weight,Age
Air Force,Jon Atkins,75,180,Sophomore
Air Force,Zach Bohannon,79,205,Sophomore
Air Force,Adam Brakeville,78,210,Freshman
Air Force,Taylor Broekhuis,82,200,Freshman
Air Force,Derek Brooks,77,195,Junior
Air Force,Saj El-Amin,74,205,Senior
Air Force,Mike Fitzgerald,78,190,Freshman
Air Force,Todd Fletcher,74,180,Freshman
Air Force,Tom Fow,78,200,Junior
Air Force,Kyle Green,75,180,Freshman
Air Force,Shawn Hempsey,73,180,Sophomore
Air Force,Matt Holland,78,205,Senior
Air Force,Michael Lyons,78,192,Freshman
Air Force,Mike McClain,80,230,Senior
Air Force,Avery Merriex,75,185,Senior
Air Force,Grant Parker,80,228,Senior
Air Force,Sammy Schafer,83,215,Sophomore
Air Force,Andy Stainbrook,81,195,Freshman
Air Force,Taylor Stewart,77,195,Sophomore
Air Force,Scott Stucky,74,180,Sophomore
Air Force,Evan Washington,76,195,Junior
Akron,Mike Bardo,82,240,Junior
Akron,Tim Carroll,77,215,Senior
Akron,Jimmy Conyers,77,220,Senior
Akron,Nikola Cvetinovic,80,230,Sophomore
Akron,Humpty Hitchens,69,168,Sophomore
Akron,Zeke Marshall,84,218,Freshman
Akron,Brett McClanahan,76,185,Sophomore
Akron,Chris McKnight,79,225,Senior
Akron,Brett McKnight,78,245,Junior
Akron,Steve McNees,74,170,Junior
Akron,C.J. Oldham,77,185,Freshman
Akron,Kyle Petersen,76,180,Sophomore
Akron,Darryl Roberts,72,165,Senior
Akron,Ronnie Steward,70,175,Sophomore
Akron,Alex Sullivan,70,175,Freshman
Akron,Steve Swiech,81,250,Sophomore
Alabama,Anthony Brock,69,165,Senior
Alabama,Greg Cage,76,212,Senior
Alabama,Charvez Davis,75,190,Junior
Alabama,Chris Dixon,72,180,Sophomore
Alabama,Ben Eblen,73,180,Freshman
Alabama,JaMychal Green,81,220,Sophomore
Alabama,Senario Hillman,73,192,Junior
Alabama,Chris Hines,80,220,Junior
Alabama,Demetrius Jemison,80,240,Senior
Alabama,Justin Knox,81,240,Junior
Alabama,Justin Luquire,79,225,Senior
Alabama,Tony Mitchell,78,185,Freshman
Alabama,Andrew Steele,75,215,Sophomore
Alabama,Mikhail Torrance,77,210,Senior
Alabama A&M,Antonio Adams,75,180,Freshman
Alabama A&M,Bo Amusa,78,205,Junior
Alabama A&M,Pierre Andrews,78,205,Sophomore
Alabama A&M,Jonathan Belt,78,230,Junior
Alabama A&M,Shane Burrell,79,300,Freshman
Alabama A&M,Casey Cantey,77,190,Sophomore
Alabama A&M,Jabari DeShields,70,160,Junior
Alabama A&M,Alfred Frayer,82,260,Junior
Alabama A&M,Royce Hamilton,77,185,Sophomore
Alabama A&M,Cornelius Hester,75,170,Senior
Alabama A&M,Evan Hilton,75,200,Senior
Alabama A&M,Jonathan Inman,77,215,Junior
Alabama A&M,Desmond Jackson,73,190,Junior
Alabama A&M,Maurice Kemp,78,185,Freshman
Alabama A&M,Marcus Lee,73,180,Freshman
Alabama A&M,Kudus Ogbara,77,190,Senior
Alabama A&M,Reggie Porter,69,145,Junior
Alabama A&M,Trant Simpson,70,175,Junior
Alabama A&M,John Smith,78,265,Senior
Alabama A&M,Khiry White,74,180,Freshman
Alabama A&M,Adam Young,80,215,Freshman
Alabama State,Stephawn Brown,76,185,Freshman
Alabama State,Tramaine Butler,74,189,Freshman
Alabama State,Chris Duncan,80,200,Junior
Alabama State,Jevon Freeman,71,170,Junior
Alabama State,Jordan Jefferson,78,200,Freshman
Alabama State,Derrick Johnson,77,225,Sophomore
Alabama State,Jeff Middlebrooks,72,170,Sophomore
Alabama State,Sekari Milligen,75,185,Sophomore
Alabama State,Tramayne Moorer,77,220,Senior
Alabama State,Jadarren Mumpfield,71,170,Junior
Alabama State,Menji Mundadi,75,195,Senior
Alabama State,Robert Sanders,78,220,Junior
Alabama State,Adrian Spellman,80,270,Freshman
Alabama State,A.J. Spencer,74,185,Junior
Alabama State,Byron Walker,80,240,Senior
Alabama State,Ryan Watts,73,170,Freshman
Alabama State,Ivory White,76,175,Sophomore
Albany,Billy Allen,78,210,Sophomore
Albany,Tim Ambrose,72,220,Junior
Albany,Logan Aronhalt,75,215,Freshman
Albany,Louis Barraza,77,200,Junior
Albany,Mike Black,72,175,Freshman
Albany,Brett Gifford,83,260,Senior
Albany,Gavin Glanton,79,215,Freshman
Albany,Will Harris,78,230,Senior
Albany,Jacob Iati,71,170,Sophomore
Albany,Mike Johnson,73,195,Senior
Albany,Jake Lindfors,82,225,Freshman
Albany,Scotty McRae,80,210,Senior
Albany,Blake Metcalf,81,250,Freshman
Albany,John Puk,82,225,Freshman
Albany,Derrek Tartt,75,180,Freshman
Albany,Fran Urli,80,220,Junior
Albany,Ralph Watts,77,195,Freshman
Alcorn State,Corey Anthony,75,190,Sophomore
Alcorn State,Derrick Blackwell,68,190,Junior
Alcorn State,Gifford Blakely,79,210,Junior
Alcorn State,Jonathan Boyd,75,175,Senior
Alcorn State,Lawrence Cage,68,150,Junior
Alcorn State,Tony Eackles Jr,74,200,Freshman
Alcorn State,Ian Francis,80,189,Freshman
Alcorn State,Darius Hobson,77,195,Freshman
Alcorn State,JaMarkus Holt,80,240,Junior
Alcorn State,Shauvanta Ingram,75,180,Freshman
Alcorn State,Michael Martin,80,185,Freshman
Alcorn State,Jamar Ragland,76,177,Freshman
Alcorn State,Brandon Rogers,73,195,Junior
Alcorn State,Alex Savannah,70,160,Freshman
Alcorn State,Keith Searcy,76,158,Freshman
Alcorn State,Michael Starks,80,205,Freshman
American University,Mike Bersch,78,205,Freshman
American University,Jordan Borucki,75,180,Freshman
American University,Troy Brewer,77,175,Junior
American University,Daniel Fisher,79,220,Freshman
American University,Riley Grafft,83,200,Sophomore
American University,Nick Hendra,75,205,Junior
American University,Joe Hill,74,190,Sophomore
American University,Jeff Holton,79,240,Freshman
American University,Blake Jolivette,71,170,Freshman
American University,Stephen Lumpkins,80,225,Sophomore
American University,Steve Luptak,75,185,Junior
American University,Simon McCormack,76,185,Sophomore
American University,Vlad Moldoveanu,81,215,Junior
American University,Daniel Munoz,73,175,Freshman
American University,Josh Snodgrass,76,220,Freshman
American University,Matthew Wilson,74,180,Senior
Appalachian State,Ryann Abraham,70,185,Senior
Appalachian State,J.R. Archer,75,205,Junior
Appalachian State,Jeremi Booth,77,205,Junior
Appalachian State,Kellen Brand,73,185,Senior
Appalachian State,Anthony Breeze,77,230,Junior
Appalachian State,Isaac Butts,82,285,Junior
Appalachian State,Omar Carter,77,220,Junior
Appalachian State,Nathan Healy,79,210,Freshman
Appalachian State,A.J. Highsmith,76,205,Senior
Appalachian State,Josh Hunter,78,245,Senior
Appalachian State,Ryan Kilmartin,76,190,Freshman
Appalachian State,Jacob Lail,,0,
Appalachian State,Josh Nirenberg,81,265,Freshman
Appalachian State,Donald Sims,73,170,Junior
Appalachian State,Tyler Webb,81,230,Senior
Appalachian State,Andre Williamson,79,225,Sophomore
Appalachian State,Marcus Wright,73,185,Sophomore
Arizona,Ross Davidson,79,225,Freshman
Arizona,Kyle Fogg,75,185,Sophomore
Arizona,Solomon Hill,78,230,Freshman
Arizona,Jamelle Horne,79,215,Junior
Arizona,Alex Jacobson,84,245,Sophomore
Arizona,Lamont Jones,72,200,Freshman
Arizona,Garland Judkins,75,200,Sophomore
Arizona,Brendon Lavender,77,205,Sophomore
Arizona,Kyryl Natyazhko,82,255,Freshman
Arizona,Kevin Parrom,78,205,Freshman
Arizona,D.J. Shumpert,79,190,Sophomore
Arizona,Max Wiepking,78,193,Freshman
Arizona,Derrick Williams,80,235,Freshman
Arizona,Nic Wise,70,180,Senior
Arizona,Dondre Wise,73,215,Sophomore
Arizona State,Ty Abbott,75,207,Junior
Arizona State,Eric Boateng,82,257,Senior
Arizona State,Alex English,82,235,Junior
Arizona State,Derek Glasser,73,190,Senior
Arizona State,Marcus Jackson,73,190,Freshman
Arizona State,Rihards Kuksiks,78,210,Junior
Arizona State,Trent Lockett,76,211,Freshman
Arizona State,Danny Maman,75,177,Freshman
Arizona State,Jamelle McMillan,74,180,Junior
Arizona State,Ruslan Pateev,84,231,Freshman
Arizona State,Taylor Rohde,80,235,Sophomore
Arizona State,Victor Rudd,79,207,Freshman
Arizona State,Jerren Shipp,75,208,Senior
Arizona State,Brandon Thompson,72,180,Freshman
Arizona State,Demetrius Walker,74,195,Freshman
Arkansas,Jamar Blackmon,,0,
Arkansas,Ronnie Brewer,,0,
Arkansas,Marcus Britt,75,198,Junior
Arkansas,Glenn Bryant,79,190,Freshman
Arkansas,Rotnei Clarke,72,184,Sophomore
Arkansas,Stephen Cox,75,201,Junior
Arkansas,Preston Cranford,,0,
Arkansas,Kendrick Davis,,0,
Arkansas,Olu Famutimi,,0,
Arkansas,Jemal Farmer,77,213,Junior
Arkansas,Eric Ferguson,,0,
Arkansas,Courtney Fortson,71,180,Sophomore
Arkansas,Vincent Hunter,,0,
