Air Force,32,16,16,50.0,2022.0,63.2,47.4,102.6,722,1532,47.1,418,593,70.5,212,563,37.7,54.0,57.2,38.7,49.2,20.2,30.7,1.03,2074,64.8,43.0,921,28.8,20.4,187,5.8,65.7,731,22.8,77,2.4,68.4,494,15.4,1.28,9.9,200,6.2,19.0,385,12.0,4.8,83,2.6,563,17.6,13
Akron,36,23,13,63.9,2454.0,68.2,50.1,102.9,892,2073,43.0,457,649,70.4,283,785,36.1,49.9,53.0,31.3,48.3,18.1,33.6,1.03,2524,70.1,47.8,1238,34.4,28.3,363,10.1,67.3,875,24.3,121,3.4,58.3,520,14.4,1.2,9.8,240,6.7,17.6,432,12.0,6.4,129,3.6,692,19.2,13
Alabama,37,25,12,67.6,2434.0,65.8,53.8,101.6,930,2066,45.0,461,652,70.7,152,510,29.8,48.7,52.0,31.6,62.9,18.6,18.4,1.02,2473,66.8,51.5,1339,36.2,36.8,458,12.4,66.2,881,23.8,127,3.4,48.8,454,12.3,0.88,14.4,351,9.5,21.2,516,13.9,9.7,190,5.1,675,18.2,17
Alabama A&M,28,13,15,46.4,2013.0,71.9,47.9,89.8,633,1598,39.6,417,668,62.4,125,434,28.8,43.5,47.2,41.8,56.2,23.1,20.7,0.9,1808,64.6,49.0,1058,37.8,31.5,345,12.3,66.4,713,25.5,129,4.6,53.6,339,12.1,0.77,11.6,233,8.3,22.0,443,15.8,9.5,151,5.4,562,20.1,6
Alabama State,35,17,18,48.6,2343.0,66.9,49.7,91.6,728,1841,39.5,525,870,60.3,165,583,28.3,44.0,47.6,47.3,52.5,24.5,23.1,0.92,2146,61.3,51.1,1268,36.2,35.6,459,13.1,66.6,809,23.1,128,3.7,55.5,404,11.5,0.74,10.9,255,7.3,23.3,547,15.6,9.2,163,4.7,779,22.3,22
Albany,32,16,16,50.0,1990.0,62.2,51.9,101.2,724,1705,42.5,327,507,64.5,238,630,37.8,49.4,51.7,29.7,48.3,16.2,35.5,1.01,2013,62.9,51.0,1156,36.1,35.0,375,11.7,67.1,781,24.4,146,4.6,51.1,370,11.6,0.9,7.5,150,4.7,20.7,411,12.8,5.0,90,2.8,505,15.8,13
Alcorn State,28,4,24,14.3,2184.0,78.0,42.5,84.2,614,1664,36.9,494,781,63.3,116,359,32.3,40.4,45.2,46.9,54.2,26.9,18.9,0.84,1838,65.6,43.8,989,35.3,25.4,294,10.5,62.1,695,24.8,105,3.8,41.5,255,9.1,0.54,10.0,218,7.8,21.7,474,16.9,5.7,103,3.7,610,21.8,16
American University,31,22,9,71.0,1949.0,62.9,51.5,105.2,716,1602,44.7,431,600,71.8,188,557,33.8,50.6,54.3,37.5,51.5,21.0,27.5,1.05,2051,66.2,51.8,1044,33.7,29.8,288,9.3,73.8,756,24.4,84,2.7,60.1,430,13.9,1.24,6.5,127,4.1,17.8,346,11.2,5.3,86,2.8,558,18.0,5
Appalachian State,31,16,15,51.6,2145.0,69.2,51.9,105.6,790,1738,45.5,489,694,70.5,196,582,33.7,51.1,54.8,39.9,52.5,21.6,26.0,1.06,2265,73.1,49.8,1066,34.4,30.3,322,10.4,69.3,744,24.0,90,2.9,41.4,327,10.5,0.81,8.3,179,5.8,18.8,403,13.0,4.9,89,2.9,541,17.5,15
Arizona,38,30,8,78.9,2574.0,67.7,54.0,112.9,969,2064,46.9,671,899,74.6,296,745,39.7,54.1,58.3,43.6,46.3,23.1,30.6,1.13,2905,76.4,52.4,1319,34.7,34.0,408,10.7,70.8,911,24.0,100,2.6,55.3,536,14.1,1.11,7.7,197,5.2,18.8,484,12.7,4.6,98,2.6,707,18.6,15
