Team,Player,Height,Weight,Age
American University,Frane Markusovic,82,240,Junior
American University,Derrick Mercer,69,175,Junior
American University,Constantin Motnii,,0,
American University,Jordan Nichols,77,230,Junior
American University,Romone Penny,71,155,Senior
American University,Bryce Simon,78,200,Junior
American University,Matthew Wilson,74,185,Sophomore
Appalachian State,Ryann Abraham,70,175,Sophomore
Appalachian State,J.R. Archer,75,195,Freshman
Appalachian State,Eduardo Bermudez,75,190,Junior
Appalachian State,Jeremi Booth,77,200,Freshman
Appalachian State,Davis Bowne,80,235,Senior
Appalachian State,Kellen Brand,73,190,Sophomore
Appalachian State,Isaac Butts,82,295,Freshman
Appalachian State,Jeremy Clayton,79,230,Senior
Appalachian State,A.J. Highsmith,76,200,Sophomore
Appalachian State,Donterious Hughes,74,195,Freshman
Appalachian State,Doug McLaughlin-Williams,80,220,Senior
Appalachian State,Jay McMillan,79,200,Senior
Appalachian State,Donte Minter,80,250,Senior
Appalachian State,Donald Sims,73,170,Freshman
Appalachian State,Tyler Webb,81,225,Junior
Arizona,David Bagga,77,182,Junior
Arizona,Jerryd Bayless,75,199,Freshman
Arizona,Bret Brielmaier,79,237,Senior
Arizona,Chase Budinger,79,203,Sophomore
Arizona,Daniel Dillon,75,197,Senior
Arizona,Jordan Hill,82,226,Sophomore
Arizona,Jamelle Horne,78,204,Freshman
Arizona,Alex Jacobson,83,243,Freshman
Arizona,Zane Johnson,77,199,Freshman
Arizona,Laval Lucas-Perry,,0,
Arizona,Jawann McClellan,76,204,Senior
Arizona,Fendi Onobun,78,235,Junior
Arizona,Lucas Spencer,77,187,Junior
Arizona,Mohamed Tangara,81,235,Junior
Arizona,Kirk Walters,83,247,Senior
Arizona,Nic Wise,69,178,Sophomore
Arizona State,Ty Abbott,75,200,Freshman
Arizona State,Trent Anderson,79,210,Freshman
Arizona State,Antwi Atuahene,75,205,Senior
Arizona State,Eric Boateng,82,245,Sophomore
Arizona State,Derek Glasser,73,180,Sophomore
Arizona State,James Harden,76,215,Freshman
Arizona State,Steve Jones,73,223,Junior
Arizona State,Rihards Kuksiks,78,218,Freshman
Arizona State,Jamelle McMillan,73,165,Freshman
Arizona State,Jeff Pendergraph,81,230,Junior
Arizona State,Christian Polk,75,185,Sophomore
Arizona State,Jerren Shipp,76,214,Sophomore
Arizona State,Kraidon Woods,80,192,Freshman
Arkansas,Patrick Beverley,73,180,Sophomore
Arkansas,Marcus Britt,74,191,Freshman
Arkansas,Stephen Cox,75,199,Sophomore
Arkansas,Gary Ervin,72,182,Senior
Arkansas,Steven Hill,84,245,Senior
Arkansas,Vincent Hunter,82,229,Senior
Arkansas,Levan Patsatsia,78,215,Freshman
Arkansas,Nate Rakestraw,76,206,Freshman
Arkansas,Michael Sanchez,80,231,Freshman
Arkansas,Charles Thomas,80,231,Senior
Arkansas,Darian Townes,82,243,Senior
Arkansas,Michael Washington,82,224,Sophomore
Arkansas,Sonny Weems,78,203,Senior
Arkansas,Stefan Welsh,74,185,Sophomore
Arkansas State,Abayomi Ajasin,79,235,Junior
Arkansas State,Adrian Banks,75,200,Senior
Arkansas State,Yima Chia-Kur,77,225,Junior
Arkansas State,Ashton Farmer,79,230,Sophomore
Arkansas State,Kewain Gant,80,230,Senior
Arkansas State,Larry Handy,80,262,Junior
Arkansas State,P.J. Keaton,76,180,Junior
Arkansas State,Ifeanyi Koggu,73,185,Junior
Arkansas State,Michael Lance,75,185,Sophomore
Arkansas State,Shawn Morgan,78,215,Junior
Arkansas State,Logan Nutt,71,175,Freshman
Arkansas State,Jeremy Thomas,77,195,Freshman
Arkansas State,Ryan Wedel,71,175,Sophomore
Arkansas-Little Rock,Terrance Akins,73,181,Senior
Arkansas-Little Rock,Derrick Bails,81,260,Freshman
Arkansas-Little Rock,Shane Edwards,79,186,Junior
Arkansas-Little Rock,De'Andre Eggins,77,198,Junior
Arkansas-Little Rock,John Fowler,76,193,Junior
Arkansas-Little Rock,LaMarvon Jackson,78,200,Junior
Arkansas-Little Rock,Lekheythan Malone,78,201,Junior
Arkansas-Little Rock,Steven Moore,72,167,Sophomore
Arkansas-Little Rock,Rashad Moss,79,228,Senior
Arkansas-Little Rock,Matt Mouzy,72,170,Freshman
Arkansas-Little Rock,Brandon Patterson,78,192,Junior
Arkansas-Little Rock,James Scott Jr.,72,152,Freshman
Arkansas-Little Rock,Brian Smith,74,178,Freshman
Arkansas-Little Rock,Mike Smith,79,286,Sophomore
Arkansas-Little Rock,Kelson Stewart,76,179,Freshman
Arkansas-Pine Bluff,William Byrd,79,180,Senior
Arkansas-Pine Bluff,Terrance Calvin,74,175,Sophomore
Arkansas-Pine Bluff,George Davis,78,210,Sophomore
Arkansas-Pine Bluff,Tyrees Glass,79,220,Sophomore
Arkansas-Pine Bluff,Marcelle Goins,74,200,Senior
Arkansas-Pine Bluff,Jarvis Gunter,82,210,Senior
Arkansas-Pine Bluff,Timothy Hamilton,75,190,Senior
Arkansas-Pine Bluff,Tim Johnson,79,270,Freshman
Arkansas-Pine Bluff,Gavin Montgomery,78,180,Freshman
Arkansas-Pine Bluff,Warren Moore,74,175,Freshman
Arkansas-Pine Bluff,Cory Norman,75,180,Sophomore
Arkansas-Pine Bluff,Antonio Ootsey,73,180,Freshman
Arkansas-Pine Bluff,Ricky Parks,77,235,Freshman
Arkansas-Pine Bluff,Allen Smith,70,150,Sophomore
Arkansas-Pine Bluff,Jason Tolliver,,0,
Arkansas-Pine Bluff,Jamarcus Williams,81,225,Freshman
Arkansas-Pine Bluff,Larry Williams,75,175,Senior
Army,Corban Bates,76,213,Senior
Army,Kenny Brewer,77,210,Junior
Army,Jarell Brown,74,183,Senior
Army,Grant Carter,75,193,Senior
Army,Nathan Hedgecock,76,204,Freshman
Army,Jeremy Hence,77,200,Freshman
Army,Ryan Hodgson,73,204,Senior
Army,Curtis Koszuta,79,195,Junior
Army,Ben Leatigaga,72,198,Freshman
Army,Mitch McDonald,69,168,Freshman
Army,Josh Miller,72,185,Sophomore
Army,John Moonshower,77,198,Junior
Army,Marcus Nelson,70,190,Sophomore
Army,Cleveland Richard,76,192,Sophomore
Army,Rickey Royal,75,180,Freshman
Army,Will Schuh,82,215,Sophomore
Army,Jon Sizemore,76,195,Sophomore
Army,Tyrell Thompson,75,190,Sophomore
Army,Ross Trampler,82,235,Freshman
Army,William Van Harp,81,230,Freshman
Army,Chris Walker,80,210,Sophomore
Army,Doug Williams,79,210,Junior
Army,Eric Zastoupil,79,185,Sophomore
Auburn,Korvotney Barber,79,225,Junior
