Rank,Player,Team,Pos,Efficiency
1,Reggie Williams,VMI Keydets,F,30.00
2,Michael Beasley,Kansas St. Wildcats,F,28.94
3,Arizona Reid,High Point Panthers,F,28.26
4,Jason Thompson,Rider Broncs,G,27.00
5,Lester Hudson,Tenn-Martin Skyhawks,G,26.93
6,Tyler Hansbrough,North Carolina Tar Heels,F,25.29
7,George Hill,Indiana - Purdue Jaguars,G,25.11
8,Marqus Blakely,Vermont Catamounts,F,24.58
9,Kevin Love,UCLA Bruins,C,23.85
10,D.J. White,Indiana Hoosiers,F,23.80
11,Ryan Anderson,California Golden Bears,F,23.77
12,Luke Harangody,Notre Dame Fighting Irish,F,23.45
13,Kyle Hines,NC-Greensboro Spartans,F,23.25
14,Jonathan Rodriguez,Campbell Fighting Camels,F,23.04
15,Stephen Curry,Davidson Wildcats,G,22.86
16,Will Thomas,George Mason Patriots,F,22.74
17,Jaycee Carroll,Utah St. Aggies,G,22.59
18,Bryant Dunston,Fordham Rams,F,22.56
19,Charron Fisher,Niagara Purple Eagles,G,22.32
20,Maarty Leunen,Oregon Ducks,F,22.00
21,Richard Hendrix,Alabama Crimson Tide,F,21.97
22,Reggie Larry,Boise St. Broncos,F,21.81
23,John Bryant,Santa Clara Broncos,C,21.79
24,Aleks Maric,Nebraska Cornhuskers,C,21.71
25,Bo McCalebb,New Orleans Privateers,G,21.65
26,Geoff Payne,Southern Utah Thunderbirds,F,21.50
27,Leon Williams,Ohio Bobcats,F,21.28
28,Thomas Sanders,Gardner-Webb Runnin' Bulldogs,F,20.63
29,J.R. Giddens,New Mexico Lobos,G,20.62
30,Lee Cummard,Brigham Young Cougars,G,20.56
31,Patrick Patterson,Kentucky Wildcats,F,20.39
32,Kyle Landry,Northern Arizona Lumberjacks,F,20.36
33,James Harden,Arizona St. Sun Devils,G,20.15
34,Brett Winkelman,North Dakota State Bison,F,20.12
35,Ryan Toolson,Utah Valley Wolverines,G,20.12
36,Brook Lopez,Stanford Cardinal,F,20.11
37,Pat Calathes,St. Joseph's Hawks,G,20.06
38,Dwayne Curtis,Mississippi Rebels,C,20.00
39,Tim Clifford,Holy Cross Crusaders,C,19.93
40,Mark Tyndale,Temple Owls,F,19.83
41,Jon Brockman,Washington Huskies,F,19.50
42,Manny Ubilla,Fairleigh Dickinson Knights,G,19.29
43,Kentrell Gransberry,South Florida Bulls,C,19.26
44,Alex McLean,Liberty Flames,F,19.25
45,Shan Foster,Vanderbilt Commodores,G,19.22
46,James Gist,Maryland Terrapins,F,19.20
47,Darren Fells,UC Irvine Anteaters,C,19.13
48,David Holston,Chicago St. Cougars,G,19.07
49,Diamon Simpson,St. Mary's Gaels,C,19.03
50,Demetric Bennett,South Alabama Jaguars,G,19.00
51,Paul Stoll,Texas-Pan American Broncs,G,18.86
52,Kenny George,NC-Asheville Bulldogs,C,18.79
53,Matt Nelson,Boise St. Broncos,F,18.73
54,Tony Lee,Robert Morris Colonials,G,18.65
55,Justin Hawkins,New Mexico St. Aggies,G,18.61
56,Charles Rhodes,Mississippi St. Bulldogs,F,18.61
57,Andrew Ogilvy,Vanderbilt Commodores,C,18.59
58,Hasheem Thabeet,Connecticut Huskies,C,18.57
59,Marcelus Kemp,Nevada Wolf Pack,G,18.43
59,Darryl Proctor,MD Baltimore Cty Retrievers,F,18.43
61,Marreese Speights,Florida Gators,F,18.42
62,Alex Franklin,Siena Saints,F,18.40
62,Vladimir Kuljanin,NC-Wilmington Seahawks,C,18.40
64,Blake Griffin,Oklahoma Sooners,F,18.39
65,Donovan Morris,Long Beach St. 49ers,G,18.36
66,DeMario Anderson,Quinnipiac Bobcats,G,18.35
67,Sean Singletary,Virginia Cavaliers,G,18.30
67,Dionte Christmas,Temple Owls,F,18.30
69,Stefon Jackson,Texas-El Paso Miners,G,18.24
70,Rob McKiver,Houston Cougars,G,18.23
71,Courtney Lee,Western Kentucky Hilltoppers,G,18.21
72,Greivis Vasquez,Maryland Terrapins,G,18.20
73,Ryan Thompson,Rider Broncs,G,18.17
74,Damion James,Texas Longhorns,G,18.17
75,Mickell Gladness,Alabama A&M Bulldogs,C,18.12
76,Donte Minter,Appalachian St. Mountaineers,F,18.11
77,Eric Maynor,VCU Rams,G,18.11
78,Tyler Smith,Tennessee Volunteers,F,18.06
79,Daniel Northern,Tennessee Tech Golden Eagles,F,18.00
80,Jordan Hill,Arizona Wildcats,F,17.97
81,Todd Sowell,St. Peter's Peacocks,F,17.93
82,Paul Harris,Syracuse Orange,F,17.91
83,Boubacar Coly,Morgan St. Bears,F,17.90
84,Nick Calathes,Florida Gators,G,17.87
85,Shawn James,Duquesne Dukes,F,17.84
86,Durell Vinson,Wagner Seahawks,F,17.75
87,Joe Alexander,West Virginia Mountaineers,F,17.74
88,Mike Green,Butler Bulldogs,G,17.71
89,Tyrese Rice,Boston College Eagles,G,17.68
90,Mark Porter,Wagner Seahawks,G,17.54
91,Kellen Williams,Eastern Washington Eagles,F,17.52
92,Ben Woodside,North Dakota State Bison,G,17.50
93,Roy Hibbert,Georgetown Hoyas,C,17.48
94,Jaraun Burrows,IUPU - Ft. Wayne Mastodons,F,17.48
95,Haminn Quaintance,Kent St. Golden Flashes,F,17.45
96,Jonathan Cox,Drake Bulldogs,F,17.43
97,Sean Baptiste,Fairleigh Dickinson Knights,G,17.43
98,Brian Laing,Seton Hall Pirates,F,17.37
98,T.J. Carter,NC-Wilmington Seahawks,G,17.37
100,Geary Claxton,Penn St. Nittany Lions,G,17.36
