Rank,Player,Team,Pos,Efficiency
1,Kevin Durant,Texas Longhorns,G,28.35
2,Reggie Williams,VMI Keydets,F,27.30
3,Nick Fazekas,Nevada Wolf Pack,F,26.40
4,Jason Thompson,Rider Broncs,F,23.86
5,Rodney Stuckey,Eastern Washington Eagles,G,23.57
6,Herbert Hill,Providence Friars,F,23.20
7,Jared Dudley,Boston College Eagles,F,22.72
8,Morris Almond,Rice Owls,G,22.71
9,Kyle Hines,NC-Greensboro Spartans,F,22.56
10,Carlos Monroe,Florida Atlantic Owls,F,22.26
11,Stephane Lasme,Massachusetts Minutemen,F,22.10
13,Ruben Boykin Jr.,Northern Arizona Lumberjacks,F,21.89
14,Greg Oden,Ohio St Buckeyes,C,21.75
15,Caleb Green,Oral Roberts Golden Eagles,F,21.50
16,Arizona Reid,High Point Panthers,F,21.38
17,Mark Zoller,Pennsylvania Quakers,F,21.37
18,Jason Smith,Colorado St. Rams,F,21.32
19,Glen Davis,Louisiana State Tigers,F,21.04
20,Chris Oliver,Radford Highlanders,F,20.92
21,Jaycee Carroll,Utah St. Aggies,G,20.91
22,Tony Lee,Robert Morris Colonials,G,20.77
23,Luke Nevill,Utah Utes,C,20.71
24,Gary Neal,Towson Tigers,G,20.50
24,Al Horford,Florida Gators,F,20.50
26,Kentrell Gransberry,South Florida Bulls,C,20.48
27,Al Thornton,Florida St. Seminoles,F,20.45
28,Matt Lojeski,Hawaii Warriors,G,20.45
29,Andre Smith,North Dakota State Bison,F,20.44
30,Mark Tyndale,Temple Owls,F,20.42
31,Carl Landry,Purdue Boilermakers,F,20.41
32,Brian Cusworth,Harvard Crimson,C,20.33
33,Jared Jordan,Marist Red Foxes,G,20.30
34,Rashad Jones-Jennings,Arkansas-Little Rock Trojans,F,20.11
35,Jonathan Rodriguez,Campbell Fighting Camels,F,20.00
36,Ryvon Covile,Detroit Titans,C,19.78
37,Kieron Achara,Duquesne Dukes,F,19.61
38,Tyler Hansbrough,North Carolina Tar Heels,F,19.54
39,Mario Boggan,Oklahoma St. Cowboys,C,19.52
40,Ibrahim  Jaaber,Pennsylvania Quakers,G,19.48
41,Richard Hendrix,Alabama Crimson Tide,F,19.40
42,Randolph Morris,Kentucky Wildcats,F,19.34
44,Josh McRoberts,Duke Blue Devils,F,19.29
45,Bryant Dunston,Fordham Rams,F,19.26
46,Stephen Curry,Davidson Wildcats,G,19.24
47,Obie Nwadike,Central Conn. St. Blue Devils,F,19.18
48,Dashaun Wood,Wright St. Raiders,G,19.10
49,Calvin Henry,Mercer Bears,F,19.00
49,Stefan Blaszczynksi,Nicholls State Colonels,F,19.00
51,Dominic McGuire,Fresno St. Bulldogs,F,18.96
52,Aaron Gray,Pittsburgh Panthers,C,18.82
53,Keith Simmons,Holy Cross Crusaders,G,18.78
54,Lamar Sanders,Lamar Cardinals,F,18.76
55,James Davis,Lamar Cardinals,C,18.62
56,Roy Hibbert,Georgetown Hoyas,C,18.60
57,Ryan Bright,Sam Houston St. Bearkats,F,18.59
58,Ivan Radenovic,Arizona Wildcats,F,18.48
59,Aleks Maric,Nebraska Cornhuskers,C,18.39
60,Joakim Noah,Florida Gators,F,18.33
61,Leon Williams,Ohio Bobcats,F,18.32
62,Andre Harris,Fairleigh Dickinson Knights,F,18.29
63,Javier Mojica,Central Conn. St. Blue Devils,G,18.26
64,Adrian Banks,Arkansas St. Red Wolves,G,18.21
65,Adam Haluska,Iowa Hawkeyes,G,18.21
67,Gyno Pomare,San Diego Toreros,F,18.17
68,Charron Fisher,Niagara Purple Eagles,G,18.15
68,Brandon Wallace,South Carolina Gamecocks,F,18.15
70,Matt Murrer,VMI Keydets,F,18.14
71,Yassin Idbihi,Buffalo Bulls,F,18.12
72,Demetris Nichols,Syracuse Orange,F,18.10
73,Acie Law,Texas A&M Aggies,G,18.09
74,Brett Winkelman,North Dakota State Bison,F,18.08
75,Derek Stockalper,Cal Poly SLO Mustangs,G,18.04
76,Ahmad Nivins,St. Joseph's Hawks,F,18.03
77,Brandan Wright,North Carolina Tar Heels,F,18.00
78,Quin Humphrey,Youngstown St. Penguins,G,17.93
79,Michael Haddix,Siena Saints,C,17.90
80,Grant Stout,Northern Iowa Panthers,F,17.90
81,Ben McCauley,N.C. State Wolfpack,F,17.88
82,Jamont Gordon,Mississippi St. Bulldogs,F,17.88
82,Aaron Brooks,Oregon Ducks,G,17.88
84,Josh Heytvelt,Gonzaga Bulldogs,F,17.86
85,Jerome Tillman,Ohio Bobcats,F,17.81
86,Chris Lofton,Tennessee Volunteers,G,17.79
87,Rob Kurz,Notre Dame Fighting Irish,F,17.78
88,William Byrd,Arkansas-Pine Bluff Golden Lions,F,17.77
89,Moses Sonko,Coastal Carolina Chanticleers,F,17.67
90,Loren Stokes,Hofstra Pride,G,17.61
91,James Gist,Maryland Terrapins,F,17.60
91,Dionte Christmas,Temple Owls,G,17.60
93,Herb Courtney,Delaware Blue Hens,F,17.55
94,Alex Harris,UC Santa Barbara Gauchos,G,17.48
95,Durrel Nevels,Central Arkansas Bears,F,17.46
96,Calvin Brown,Norfolk State Spartans,C,17.45
97,Chris Daniels,Texas A&M CC Islanders,C,17.44
98,Shaddean Aaron,Mercer Bears,G,17.42
99,Kyle Weaver,Washington St. Cougars,G,17.42
100,Sean Singletary,Virginia Cavaliers,G,17.39
101,Pat Calathes,St. Joseph's Hawks,G,17.37
102,Marcus Williams,Arizona Wildcats,F,17.36
103,DeAndre Rice,Florida Atlantic Owls,G,17.33
