Rank,Player,Team,Pos,Efficiency
1,Doug McDermott,Creighton Bluejays,F,813
2,Jerrelle Benimon,Towson Tigers,F,806
3,Billy Baron,Canisius Golden Griffins,G,788
4,Kyle Anderson,UCLA Bruins,G,762
5,Delon Wright,Utah Utes,G,758
6,T.J. Warren,N.C. State Wolfpack,F,742
7,D.J. Covington,VMI Keydets,F,736
8,Shawn Long,Louisiana-Lafayette Ragin' Cajuns,F,730
9,Alan Williams,UC Santa Barbara Gauchos,C,726
10,Tyler Stone,SE Missouri St. Redhawks,F,714
11,Cameron Bairstow,New Mexico Lobos,F,712
12,Kendrick Perry,Youngstown St. Penguins,G,703
13,Javon McCrea,Buffalo Bulls,F,702
14,Aaric Murray,Texas Southern Tigers,C,699
15,Brandon Edwards,Texas-Arlington Mavericks,F,698
16,John Brown,High Point Panthers,F,690
17,Jalan West,Northwestern St. Demons,G,689
18,TaShawn Thomas,Houston Cougars,F,687
19,Khem Birch,UNLV Runnin' Rebels,F,681
19,Elfrid Payton,Louisiana-Lafayette Ragin' Cajuns,G,681
21,Ryan Watkins,Boise St. Broncos,F,680
22,Jabari Parker,Duke Blue Devils,F,671
22,Shabazz Napier,Connecticut Huskies,G,671
24,Stephen Madison,Idaho Vandals,F,667
25,Tim Williams,Samford Bulldogs,F,665
26,Javonte Green,Radford Highlanders,F,664
27,Jarnell Stokes,Tennessee Volunteers,F,659
28,Zaccheus Mason,Chattanooga Mocs,F,653
28,Jameel Warney,Stony Brook Seawolves,F,653
30,Shawn Glover,Oral Roberts Golden Eagles,F,652
31,Bryce Cotton,Providence Friars,G,648
32,Juwan Staten,West Virginia Mountaineers,G,645
33,Stephen Maxwell,CSU Northridge Matadors,F,641
34,Scott Eatherton,Northeastern Huskies,F,640
35,Denzel Livingston,Incarnate Word Cardinals,G,639
36,Tymell Murphy,Florida International Golden Panthers,F,636
37,Montrezl Harrell,Louisville Cardinals,F,635
38,DeAndre Kane,Iowa St. Cyclones,G,632
38,Stephan Hicks,CSU Northridge Matadors,G,632
40,Shawn Jones,Middle Tennessee St. Blue Raiders,F,630
41,Jordan Adams,UCLA Bruins,G,628
42,Kyle Collinsworth,Brigham Young Cougars,G,626
43,Jarekious Bradley,SE Missouri St. Redhawks,G,624
43,Julius Randle,Kentucky Wildcats,F,624
43,Jacob Parker,Stephen F. Austin Lumberjacks,F,624
46,Davon Usher,Delaware Blue Hens,G,623
46,Deonte Burton,Nevada Wolf Pack,G,623
48,Troy Huff,North Dakota,G,622
49,Melvin Ejim,Iowa St. Cyclones,F,621
50,Chris Horton,Austin Peay Governors,C,619
50,Josh Scott,Colorado Buffaloes,F,619
52,J.J. Mann,Belmont Bruins,G,617
53,Alex Francis,Bryant Bulldogs,F,613
54,Rodney Glasgow,VMI Keydets,G,611
55,K.J. McDaniels,Clemson Tigers,F,610
56,Chase Fieler,Florida Gulf Coast Eagles,F,609
57,Seth Tuttle,Northern Iowa Panthers,F,608
57,Shayne Whittington,Western Michigan Broncos,C,608
59,Brad Waldow,St. Mary's Gaels,F,606
60,Killian Larson,Grand Canyon Antelopes,C,604
61,Taylor Braun,North Dakota State Bison,G,602
62,Markel Brown,Oklahoma St. Cowboys,G,600
63,Marcus Smart,Oklahoma St. Cowboys,G,594
64,Russ Smith,Louisville Cardinals,G,593
64,Keifer Sykes,Green Bay Phoenix,G,593
64,Christian Standhardinger,Hawaii Warriors,F,593
67,Lamar Patterson,Pittsburgh Panthers,G,592
68,Tyler Harvey,Eastern Washington Eagles,G,591
69,R.J. Hunter,Georgia St Panthers,G,590
70,J.J. Avila,Colorado St. Rams,F,589
70,Daniel Miller,Georgia Tech Yellow Jackets,C,589
72,Tyler Haws,Brigham Young Cougars,G,588
72,Jarvis Williams,Murray St. Racers,F,588
74,Karvel Anderson,Robert Morris Colonials,G,585
74,Fred VanVleet,Wichita St. Shockers,G,585
74,Augustine Rubit,South Alabama Jaguars,F,585
77,Jordan Bachynski,Arizona St. Sun Devils,C,583
78,Halil Kanacevic,St. Joseph's Hawks,F,581
79,Tony Wroblicky,American U. Eagles,C,580
79,Glenn Cosey,Eastern Kentucky Colonels,G,580
79,Pat Connaughton,Notre Dame Fighting Irish,G,580
79,D.J. Balentine,Evansville Purple Aces,G,580
79,Sam Dower,Gonzaga Bulldogs,C,580
84,Patrick Miller,Tennessee St. Tigers,G,579
85,Sean Kilpatrick,Cincinnati Bearcats,G,578
86,Frank Kaminsky,Wisconsin Badgers,F,576
87,Angelo Warner,Morehead St. Eagles,G,575
88,Maurice Watson Jr.,Boston U Terriers,G,574
89,Cory Jefferson,Baylor Bears,F,572
89,Richaun Holmes,Bowling Green Falcons,F,572
89,Ricardo Glenn,South Carolina Upstate Spartans,F,572
92,LaDontae Henton,Providence Friars,F,571
93,Desmar Jackson,Southern Illinois Salukis,G,570
93,Pendarvis Williams,Norfolk State Spartans,G,570
93,Kendall Williams,New Mexico Lobos,G,570
93,Daniel Bejarano,Colorado St. Rams,G,570
97,Derrick Barden,Northern Colorado Bears,F,567
97,Jordan Mickey,Louisiana State Tigers,F,567
99,Tyler Johnson,Fresno St. Bulldogs,G,566
100,Kareem Jamar,Montana Grizzlies,G,564
