Rank,Player,Team,Pos,Efficiency
1,Kenneth Faried,Morehead St. Eagles,F,27.54
2,Kyle O'Quinn,Norfolk State Spartans,F,24.34
3,Ryan Rossiter,Siena Saints,F,24.32
4,Ken Horton,Central Conn. St. Blue Devils,F,24.03
5,Thomas Coleman,No.Carolina A&T Aggies,C,23.90
6,Keith Benson,Oakland Golden Grizzlies,C,23.69
7,Marshon Brooks,Providence Friars,G,23.03
8,JaJuan Johnson,Purdue Boilermakers,F,22.71
9,Charles Jenkins,Hofstra Pride,G,22.67
10,Papa Dia,Southern Methodist Mustangs,F,22.51
11,Norris Cole,Cleveland St. Vikings,G,22.42
12,Jimmer Fredette,Brigham Young Cougars,G,22.30
13,Nikola Vucevic,Southern California Trojans,F,21.82
14,Antwan Carter,Longwood Lancers,C,21.76
15,Michael Glover,Iona Gaels,F,21.70
16,Derrick Williams,Arizona Wildcats,F,21.66
17,Rick Jackson,Syracuse Orange,F,21.66
18,Kemba Walker,Connecticut Huskies,G,21.54
19,Jared Sullinger,Ohio St Buckeyes,F,21.30
20,Arsalan Kazemi,Rice Owls,F,21.25
21,Jordan Williams,Maryland Terrapins,F,21.24
22,Denzel Bowles,James Madison Dukes,F,20.91
23,Brian Qvale,Montana Grizzlies,C,20.75
24,Luke Sikma,Portland Pilots,F,20.72
25,C.J. McCollum,Lehigh Mountain Hawks,G,20.58
26,Greg Mangano,Yale Bulldogs,F,20.54
27,Noah Dahlman,Wofford Terriers,F,20.44
28,Orlando Johnson,UC Santa Barbara Gauchos,G,20.28
29,Kawhi Leonard,San Diego St. Aztecs,F,20.14
30,Nate Wolters,South Dakota State Jackrabbits,G,20.10
31,Andrew Nicholson,St. Bonaventure Bonnies,F,20.00
32,Terrell Holloway,Xavier Musketeers,G,19.97
33,Trevor Mbakwe,Minnesota Golden Gophers,F,19.97
34,Frank Hassell,Old Dominion Monarchs,F,19.94
35,Mike Scott,Virginia Cavaliers,F,19.90
36,Alec Burks,Colorado Buffaloes,G,19.87
37,Justin Harper,Richmond Spiders,F,19.84
38,Klay Thompson,Washington St. Cougars,G,19.71
39,Marcus Morris,Kansas Jayhawks,F,19.66
40,Kyrie Irving,Duke Blue Devils,G,19.55
41,Keith Wright,Harvard Crimson,F,19.48
42,Sam Willard,Pacific Tigers,F,19.32
42,Damian Saunders,Duquesne Dukes,F,19.32
44,Tai Wesley,Utah St. Aggies,F,19.29
45,Kelvin Martin,Charleston Southern Buccaneers,F,19.23
46,Kareem Maddox,Princeton Tigers,F,19.06
47,Reggie Jackson,Boston College Eagles,G,18.97
48,Stan Okoye,VMI Keydets,F,18.97
49,Nolan Smith,Duke Blue Devils,G,18.86
50,Bill Amis,Hawaii Warriors,F,18.86
51,Augustine Rubit,South Alabama Jaguars,C,18.86
52,Jon Leuer,Wisconsin Badgers,F,18.82
53,Draymond Green,Michigan St Spartans,F,18.79
53,Devin Gibson,Texas-San Antonio Roadrunners,G,18.79
55,Josh Slater,Lipscomb Bison,G,18.73
56,Andrew Goudelock,Charleston Cougars,G,18.73
57,Gary Flowers,Southern Miss Golden Eagles,F,18.68
58,Matt Howard,Butler Bulldogs,F,18.68
59,Demond Watt,Texas A&M CC Islanders,F,18.65
60,Desmond Holloway,Coastal Carolina Chanticleers,G,18.62
61,Donald Sims,Appalachian St. Mountaineers,G,18.55
62,Eli Holman,Detroit Titans,C,18.50
62,PJ Alawoya,McNeese St. Cowboys,F,18.50
62,Mickey McConnell,St. Mary's Gaels,G,18.50
65,Jordan Hamilton,Texas Longhorns,G,18.44
66,Dominique Morrison,Oral Roberts Golden Eagles,F,18.39
67,Brandon Bowdry,Eastern Michigan Eagles,F,18.37
68,Markieff Morris,Kansas Jayhawks,F,18.32
69,JaMychal Green,Alabama Crimson Tide,F,18.24
69,Mike Muscula,Bucknell Bison,F,18.24
69,Ben Hansbrough,Notre Dame Fighting Irish,G,18.24
69,Jordan Taylor,Wisconsin Badgers,G,18.24
73,Vlad Moldoveanu,American U. Eagles,F,18.20
74,Kendall Timmons,Tulane Green Wave,G,18.17
75,Adrian Oliver,San Jose St. Spartans,G,18.16
76,Tyler Zeller,North Carolina Tar Heels,F,18.11
77,Devon Beitzel,Northern Colorado Bears,G,18.09
78,Kyle Weems,Missouri St. Bears,F,18.09
79,Jamie Skeen,VCU Rams,F,18.03
80,Matthew Bryan-Amaning,Washington Huskies,F,18.00
81,Terrence Jones,Kentucky Wildcats,F,17.97
82,Andy Ogide,Colorado St. Rams,F,17.97
83,Andrew Gonzalez,Houston Baptist Huskies,F,17.97
84,Keith Clanton,Central Florida Knights,F,17.91
85,Reggie Johnson,Miami-Florida Hurricanes,C,17.89
86,Delroy James,Rhode Island Rams,F,17.88
87,Iman Shumpert,Georgia Tech Yellow Jackets,G,17.87
88,Tony Mitchell,Alabama Crimson Tide,F,17.86
89,Travis Leslie,Georgia Bulldogs,G,17.85
90,Aaric Murray,La Salle Explorers,C,17.84
91,Bill Clark,Duquesne Dukes,G,17.81
92,Jimmy Butler,Marquette Golden Eagles,G,17.78
93,D.J. Cooper,Ohio Bobcats,G,17.77
94,William Mosley,Northwestern St. Demons,C,17.75
95,Drew Gordon,New Mexico Lobos,F,17.69
96,Alex Young,Indiana - Purdue Jaguars,G,17.67
97,Cameron Moore,UAB Blazers,F,17.61
98,Mark Payne,UC Davis Aggies,G,17.59
99,Larry Anderson,Long Beach St. 49ers,G,17.57
100,Ayron Hardy,Jacksonville Dolphins,F,17.56
