Team,Player,Height,Weight,Age
Abilene Christian,136,3324,0.491,80
Abilene Christian,101,3024,0.401,89
Abilene Christian,88,1908,0.553,37
Abilene Christian,80,2196,0.437,37
Abilene Christian,65,2100,0.371,52
Abilene Christian,55,1500,0.44,46
Abilene Christian,55,1764,0.374,61
Abilene Christian,55,1332,0.495,49
Abilene Christian,44,1332,0.396,12
Abilene Christian,39,984,0.476,32
Abilene Christian,17,396,0.515,4
Abilene Christian,2,108,0.222,0
Air Force,Scott Adler,75,190,Junior
Air Force,Kyle Broekhuis,79,195,Freshman
Air Force,Tre` Coggins,74,185,Sophomore
Air Force,DeLovell Earls,78,235,Junior
Air Force,Austin Flues,80,205,Freshman
Air Force,Hayden Graham,77,190,Freshman
Air Force,Justin Hammonds,78,190,Sophomore
Air Force,Nick Jorgensen,78,208,Freshman
Air Force,Chase Kammerer,79,245,Senior
Air Force,Zach Kocur,75,195,Freshman
Air Force,Eric Lewis,79,225,Freshman
Air Force,Callum Long,77,190,Freshman
Air Force,Ethan Michael,80,232,Junior
Air Force,Zach Moer,83,218,Sophomore
Air Force,Marek Olesinski,81,220,Junior
Air Force,Darrius Parker,79,215,Freshman
Air Force,Joe Tuss,80,200,Freshman
Air Force,Kamryn Williams,76,193,Junior
Air Force,Max Yon,76,198,Junior
Akron,Carmelo Betancourt,71,182,Sophomore
Akron,Kwan Cheatham Jr.,81,233,Freshman
Akron,Quincy Diggs,78,209,Senior
Akron,Nyles Evans,71,170,Junior
Akron,Pat Forsythe,83,235,Sophomore
Akron,B.J. Gladden,78,215,Freshman
Akron,Nick Harney,80,210,Senior
Akron,Darius Hoisten,77,180,Sophomore
Akron,Deji Ibitayo,76,205,Junior
Akron,Aaron Jackson,79,193,Freshman
Akron,Isaiah Johnson,82,285,Freshman
Akron,Jake Kretzer,79,215,Sophomore
Akron,Reggie McAdams,79,210,Sophomore
Akron,Mark Noble,74,170,Freshman
Akron,Jonas Stalyga,80,220,Junior
Akron,Demetrius Treadwell,79,235,Senior
Alabama,Rodney Cooper,78,215,Junior
Alabama,Carl Engstrom,85,265,Junior
Alabama,Shannon Hale,80,220,Freshman
Alabama,Nick Jacobs,80,245,Junior
Alabama,Michael Kessens,81,215,Sophomore
Alabama,Algie Key,76,195,Junior
Alabama,Retin Obasohan,73,205,Sophomore
Alabama,Levi Randolph,77,205,Junior
Alabama,Trevor Releford,72,190,Senior
Alabama,Dakota Slaughter,78,215,Junior
Alabama,Ricky Tarrant,74,190,Junior
Alabama,Jimmie Taylor,82,240,Freshman
Alabama,Isiah Wilson,75,185,Senior
Alabama A&M,Justan Banks,85,215,Senior
Alabama A&M,Rakiya Battle,70,180,Freshman
Alabama A&M,Arthur Capers,77,185,Senior
Alabama A&M,Justin Colvin,75,190,Sophomore
Alabama A&M,Matthew Cotton,70,185,Freshman
Alabama A&M,Jeremy Crutcher,68,160,Senior
Alabama A&M,Tyler Davis,74,180,Sophomore
Alabama A&M,Isaiah Edwards,74,200,Freshman
Alabama A&M,Brandon Ellis,75,200,Senior
Alabama A&M,Green Hill,70,175,Senior
Alabama A&M,Baryn Houston,79,190,Sophomore
Alabama A&M,Jerome Hunter,80,230,Junior
Alabama A&M,Jose Long,77,210,Junior
Alabama A&M,Demarquelle Tabb,77,210,Senior
Alabama A&M,Nicholas West,82,190,Sophomore
Alabama A&M,Xavier Williams,80,205,Freshman
Alabama State,Tony Armstrong,78,185,Freshman
Alabama State,Bobby Brown,78,185,Sophomore
Alabama State,Sean Burroughs,79,195,Freshman
Alabama State,Princeton Davis,,0,
Alabama State,Nick Davis,77,180,Freshman
Alabama State,Brandon Graham,79,195,Junior
Alabama State,Billy Ingram,78,185,Freshman
Alabama State,Tony Jacob,80,360,Junior
Alabama State,Terrance LeFlore,73,170,Freshman
Alabama State,Devonte` Neal,82,220,Sophomore
Alabama State,Robert Ojeah,81,245,Junior
Alabama State,Luther Page,78,190,Sophomore
Alabama State,DeMarcus Robinson,70,165,Junior
Alabama State,Darius Scott,77,215,Sophomore
Alabama State,Darius Sizemore,76,205,Freshman
Alabama State,DeAngelo Stewart,76,185,Freshman
Alabama State,Maurice Strong,77,210,Junior
Alabama State,Jamel Waters,69,160,Sophomore
Albany,Mike Black,72,180,Senior
Albany,Luke Devlin,80,235,Junior
Albany,Deba Egharevba,,0,
Albany,Dallas Ennema,,0,
Albany,DJ Evans,69,175,Junior
Albany,Tanner Gibson,74,185,Sophomore
Albany,Jayson Guerrier,76,210,Senior
Albany,Anders Haas,,0,
Albany,Peter Hooley,76,200,Freshman
Albany,Jacob Iati,70,165,Senior
Albany,Gary Johnson,78,200,Junior
Albany,Blake Metcalf,81,235,Senior
Albany,Anthony Odunsi,,0,
Albany,Chris Page,77,190,Freshman
Albany,John Puk,82,235,Junior
Albany,Michael Rowley,,0,
Albany,Sam Rowley,78,230,Sophomore
Albany,Levan Shengelia,,0,
Albany,Dave Wiegmann,80,210,Junior
Albany,Reece Williams,73,190,Freshman
Alcorn State,Terrance Birdie,74,189,Sophomore
Alcorn State,Octavius Brown,80,210,Junior
Alcorn State,Anthony Evans,73,170,Senior
Alcorn State,Devonte Hampton,73,170,Sophomore
Alcorn State,Isaiah Hill,83,280,Freshman
Alcorn State,DeCarlos Holmes,80,215,Freshman
Alcorn State,Tyrel Hunt,77,205,Sophomore
Alcorn State,Rahkeem Lehaman,77,180,Freshman
Alcorn State,LeAntwan Luckett,76,184,Sophomore
Alcorn State,Marius Myles,77,185,Senior
Alcorn State,Josh Nicholas,84,225,Senior
Alcorn State,Twann Oakley,76,185,Senior
Alcorn State,Denarius Odell,73,170,Freshman
Alcorn State,Stephan Raquil,82,225,Senior
Alcorn State,Martrevious Sanders,70,165,Senior
Alcorn State,Shaunessy Smith,78,210,Senior
Alcorn State,George Thomas,78,210,Sophomore
Alcorn State,Marquis Vance,79,225,Freshman
Alcorn State,Corey Young,78,250,Junior
American University,Jordan Borucki,76,195,Senior
American University,Austin Carroll,75,210,Junior
American University,Jonathan Davis,79,220,Junior
American University,Zach Elcano,83,230,Sophomore
American University,Darius Gardner,69,165,Junior
